instance family sequential-except-0 sequential-except-1 sequential-except-2 sequential-except-3
si4_r005_m400.01 7 16276 42531 32543 46556
si4_r005_m400.04 7 33218 16016 150237 9058
si4_r005_m400.00 7 30354 12801 71655 160853
si4_r005_m400.09 7 12829 31906 16978 73336
si4_r005_m400.05 7 16119 18162 156308 32319
si4_r005_m400.08 7 7691 129764 48864 35746
si4_r005_m400.02 7 23609 28914 96579 88562
si4_m4Dr2_m1296.07 6 208 617 19286 5189
si4_m4Dr2_m1296.00 6 204 278 3587 29151
si4_m4Dr2_m1296.05 6 213 311 58219 5102
si4_m4Dr2_m1296.04 6 204 589 15575 2878
si4_m4Dr2_m1296.08 6 2161 6670 33569 56158
si4_m4Dr2_m1296.01 6 212 242 10613 10844
si4_m4Dr2_m1296.06 6 204 1389 5037 30047
si4_m4Dr2_m1296.02 6 211 305 8219 140353
si4_m4Dr2_m1296.03 6 46454 140354 36503 63601
si4_m4Dr2_m1296.09 6 213 788 76617 197608
si6_b09_m800.03 3 102 118 106 254
si6_b09_m800.09 3 102 134 122 108
si6_b09_m800.07 3 100 134 226 165
si6_b09_m800.05 3 102 223 254 260
si6_b09_m800.04 3 100 147 166 249
si6_b09_m800.01 3 100 142 133 534
si6_b09_m800.00 3 102 131 150 106
si6_b09_m800.02 3 104 143 147 320
si6_b09_m800.06 3 104 139 270 144
si6_b09_m800.08 3 100 104 180 110
si6_b06m_m400.00 4 16 19 31 39
si6_b06m_m400.08 4 15 24 24 82
si6_b06m_m400.03 4 16 16 31 143
si6_b06m_m400.04 4 15 19 22 37
si6_b06m_m400.06 4 21 18 18 19
si6_b06m_m400.07 4 20 25 30 48
si6_b06m_m400.09 4 16 17 59 108
si6_b06m_m400.02 4 16 22 21 30
si6_b06m_m400.01 4 16 16 17 64
si6_b06m_m400.05 4 15 25 504 176
si2_m4Dr4_m1296.08 6 182 258294 458205 1000001
si2_m4Dr4_m1296.07 6 110 60145 73307 307322
si2_m4Dr4_m1296.03 6 11167 851133 239263 1000001
si2_m4Dr4_m1296.05 6 105 253 7164 66101
si2_m4Dr4_m1296.06 6 104 179 1088 3689
si2_m4Dr4_m1296.04 6 105 122 387 377
si2_m4Dr4_m1296.09 6 137 13917 32727 1462
si2_m4Dr4_m1296.01 6 167 608 8310 599047
si2_m4Dr4_m1296.00 6 108 123 61720 1000000
si2_m4Dr4_m1296.02 6 334 1000001 1000001 1000001
si6_m4Dr6_m1296.02 6 346 660 3881 21231
si6_m4Dr6_m1296.08 6 327 384 1573 3127
si6_m4Dr6_m1296.07 6 334 413 839 3718
si6_m4Dr6_m1296.06 6 331 375 717 1338
si6_m4Dr6_m1296.03 6 357 14263 1000002 1000002
si6_m4Dr6_m1296.04 6 340 2414 3192 8468
si6_m4Dr6_m1296.05 6 349 875 12500 37761
si6_m4Dr6_m1296.00 6 330 368 3389 31397
si6_m4Dr6_m1296.09 6 329 379 2954 2183
si6_m4Dr6_m1296.01 6 349 920 1167 3223
si4_m4Dr2_m256.00 6 4 123 976 1676
si4_m4Dr2_m256.01 6 3 10 107 922
si4_m4Dr2_m256.05 6 5 21 66 364
si4_m4Dr2_m256.04 6 5 16 1165 2699
si4_m4Dr2_m256.08 6 3 52 147 5211
si4_m4Dr2_m256.07 6 3 110 40 673
si4_m4Dr2_m256.06 6 3 14 13 82
si4_m4Dr2_m256.02 6 3 12 498 1047
si4_m4Dr2_m256.09 6 5 114 1296 430
si4_m4Dr2_m256.03 6 4 130 101 635
si4_b09m_m200.01 4 2 3 22 262
si4_b09m_m200.00 4 2 9 99 63
si4_b09m_m200.03 4 2 6 145 126
si4_b09m_m200.06 4 3 22 237 210
si4_b09m_m200.02 4 2 3 122 224
si4_b09m_m200.04 4 2 3 9 44
si4_b09m_m200.05 4 2 2 16 162
si4_b09m_m200.07 4 2 2 11 74
si4_b09m_m200.08 4 2 2 23 227
si4_b09m_m200.09 4 2 20 49 268039
si4_m4Dr4_m625.07 6 50 112 11006 29997
si4_m4Dr4_m625.05 6 29 56 2280 2034
si4_m4Dr4_m625.01 6 33 53 107 2415
si4_m4Dr4_m625.08 6 86 2082 3193 5759
si4_m4Dr4_m625.09 6 53 95 1808 2651
si4_m4Dr4_m625.00 6 390 87487 3713 15876
si4_m4Dr4_m625.04 6 30 34 1028 1034
si4_m4Dr4_m625.06 6 32 7398 1378 1009
si4_m4Dr4_m625.03 6 29 4916 9426 27974
si4_m4Dr4_m625.02 6 29 168 866 1376
si4_m4Dr4_m1296.03 6 232 273 640 5204
si4_m4Dr4_m1296.01 6 241 3900 10833 147216
si4_m4Dr4_m1296.00 6 209 249 7591 32932
si4_m4Dr4_m1296.07 6 211 270 1311 21825
si4_m4Dr4_m1296.02 6 205 278 699 25819
si4_m4Dr4_m1296.04 6 304 1567 18261 10416
si4_m4Dr4_m1296.09 6 249 358 1469 70857
si4_m4Dr4_m1296.06 6 508 28965 32080 32213
si4_m4Dr4_m1296.08 6 344 275 1721 3907
si4_m4Dr4_m1296.05 6 741 7887 87542 146891
si2_r005_m400.05 7 20128 17677 54328 197054
si2_r005_m400.06 7 3393 1000000 475912 1000000
si2_r005_m400.08 7 25152 45285 1000000 1000000
si2_r005_m400.02 7 1000000 193390 1000000 217573
si2_r005_m400.03 7 20698 1000000 22976 1000000
si2_r005_m400.00 7 23519 1000000 31164 1000000
si2_r005_m400.07 7 86630 1000000 1000000 1000000
si2_r005_m400.09 7 20265 2368 377402 1000000
si2_r005_m400.04 7 109497 60002 41129 12614
si2_r005_m400.01 7 8347 47010 1000000 16870
si2_b06m_m400.03 4 7 12 51 125
si2_b06m_m400.06 4 8 32 135337 117
si2_b06m_m400.05 4 7 13 59 134
si2_b06m_m400.01 4 7 10 96990 223
si2_b06m_m400.00 4 8 1000000 1000000 1000000
si2_b06m_m400.08 4 25 488 1000000 1000000
si2_b06m_m400.07 4 6 8 65 55
si2_b06m_m400.09 4 6 9 1000000 255364
si2_b06m_m400.04 4 9 1000000 781 535
si2_b06m_m400.02 4 6 10 296 6070
si6_r005_m600.02 7 152580 188986 554897 260081
si6_r005_m600.08 7 57318 546888 390357 226493
si6_r005_m600.03 7 181563 78213 45850 28444
si6_r005_m600.05 7 366639 461839 213129 582985
si6_r005_m600.07 7 76905 70768 460157 309936
si6_r005_m600.04 7 172773 165667 54368 120905
si6_r005_m600.06 7 256569 291443 139651 594046
si6_r005_m600.01 7 43110 38224 417679 291968
si6_r005_m600.09 7 542329 48775 65489 164964
si6_r005_m600.00 7 56598 43704 203101 211141
si6_r005_m200.02 7 158 295 577 556
si6_r005_m200.08 7 613 261 3020 185
si6_r005_m200.09 7 568 698 258 636
si6_r005_m200.05 7 1969 653 679 1627
si6_r005_m200.03 7 164 175 1069 596
si6_r005_m200.00 7 3204 530 160 566
si6_r005_m200.04 7 748 529 762 635
si6_r005_m200.07 7 245 480 471 3741
si6_r005_m200.01 7 426 280 765 560
si6_r005_m200.06 7 184 672 6241 2567
si2_m4Dr6_m625.06 6 21 2413 1000000 1000000
si2_m4Dr6_m625.08 6 50 2247 3153 5903
si2_m4Dr6_m625.07 6 375 313462 436 471981
si2_m4Dr6_m625.03 6 31 177 7716 10209
si2_m4Dr6_m625.04 6 15 126 342 5873
si2_m4Dr6_m625.05 6 20 64 3474 9460
si2_m4Dr6_m625.09 6 358 9608 1798 1847
si2_m4Dr6_m625.01 6 49 221 938 73089
si2_m4Dr6_m625.02 6 513 108 11959 866
si2_m4Dr6_m625.00 6 16 39 1040 1000000
si6_b03_m800.02 3 93 97 100 102
si6_b03_m800.04 3 93 95 102 104
si6_b03_m800.03 3 93 95 102 105
si6_b03_m800.05 3 93 98 98 101
si6_b03_m800.06 3 93 95 166 169
si6_b03_m800.01 3 93 100 99 106
si6_b03_m800.00 3 93 98 99 100
si6_b03_m800.07 3 93 100 99 106
si6_b03_m800.09 3 93 98 118 163
si6_b03_m800.08 3 93 95 97 103
si4_m4D_m1296.09 5 224 545 640 961
si4_m4D_m1296.06 5 225 415 398 1576
si4_m4D_m1296.05 5 319 522 664 246
si4_m4D_m1296.00 5 1166 2332 3878 8439
si4_m4D_m1296.03 5 1763 3118 13587 19434
si4_m4D_m1296.04 5 234 236 260 637
si4_m4D_m1296.08 5 1000004 1000002 1000002 1000002
si4_m4D_m1296.02 5 2957 34833 179571 10939
si4_m4D_m1296.01 5 236 403 668 294
si4_m4D_m1296.07 5 226 315 367 688
si6_b03m_m400.03 4 17 25 59 135
si6_b03m_m400.01 4 18 27 175 37915
si6_b03m_m400.09 4 20 33 84 821
si6_b03m_m400.08 4 16 42 37 279
si6_b03m_m400.07 4 16 26 100 38
si6_b03m_m400.02 4 17 39 437 204
si6_b03m_m400.05 4 17 31 33 192
si6_b03m_m400.00 4 16 39 2347 64
si6_b03m_m400.06 4 18 30 242 73
si6_b03m_m400.04 4 17 34 35 2476
si4_m4D_m256.07 5 3 219 73 578
si4_m4D_m256.06 5 3 6 42 172
si4_m4D_m256.05 5 3 42 26 372
si4_m4D_m256.08 5 4 121 36 796
si4_m4D_m256.04 5 6 74 316 4155
si4_m4D_m256.09 5 5 160 76 467
si4_m4D_m256.02 5 4 239 216 492
si4_m4D_m256.00 5 5 21 40 1489
si4_m4D_m256.03 5 3 53 212 656
si4_m4D_m256.01 5 3 173 83 362
si6_b06m_m800.07 4 94 101 103 180
si6_b06m_m800.04 4 94 96 112 168
si6_b06m_m800.01 4 146 90 160 173
si6_b06m_m800.00 4 92 97 99 110
si6_b06m_m800.05 4 90 98 123 153
si6_b06m_m800.08 4 93 94 122 139
si6_b06m_m800.09 4 92 95 149 616
si6_b06m_m800.02 4 94 99 111 119
si6_b06m_m800.03 4 92 93 100 113
si6_b06m_m800.06 4 92 94 104 135
si4_r001_m400.08 7 1000000 1000000 1000000 1000000
si4_r001_m400.06 7 1000000 151584 1000000 1000000
si4_r001_m400.02 7 25619 79087 1000000 1000000
si4_r001_m400.00 7 33964 1000000 1000000 1000000
si4_r001_m400.04 7 1000000 1000000 1000000 1000000
si4_r001_m400.03 7 1000000 433804 1000000 1000000
si4_r001_m400.09 7 35829 1000000 482618 1000000
si4_r001_m400.05 7 1000000 1000000 1000000 1000000
si4_r001_m400.01 7 1000000 1000000 1000000 1000000
si4_r001_m400.07 7 966244 1000000 1000000 1000000
si2_m4Dr6_m1296.00 6 114 4117 1179 1000000
si2_m4Dr6_m1296.01 6 121 159310 76258 1000001
si2_m4Dr6_m1296.09 6 124 4756 1000001 1000000
si2_m4Dr6_m1296.06 6 185 709 1000001 1000001
si2_m4Dr6_m1296.03 6 104 108 529 5262
si2_m4Dr6_m1296.02 6 107 263 19013 9448
si2_m4Dr6_m1296.05 6 113 249 6525 28122
si2_m4Dr6_m1296.08 6 142 734 2507 9924
si2_m4Dr6_m1296.04 6 649 12337 1000000 1000001
si2_m4Dr6_m1296.07 6 208 619 162250 17654
si2_b03_m800.07 3 29 30 37 32
si2_b03_m800.08 3 29 30 30 31
si2_b03_m800.04 3 29 30 30 31
si2_b03_m800.05 3 29 30 31 31
si2_b03_m800.09 3 29 30 30 32
si2_b03_m800.00 3 43 46 47 47
si2_b03_m800.02 3 29 31 31 50
si2_b03_m800.03 3 29 29 31 32
si2_b03_m800.01 3 29 44 30 48
si2_b03_m800.06 3 29 30 30 31
si4_b03m_m200.05 4 2 7 3341 28
si4_b03m_m200.02 4 2 4 5 5
si4_b03m_m200.04 4 2 11 6 29
si4_b03m_m200.07 4 2 22 51 161
si4_b03m_m200.00 4 2 3 1828 4524
si4_b03m_m200.06 4 2 37 487 64
si4_b03m_m200.03 4 2 27 56765 1655
si4_b03m_m200.09 4 2 4 5 100
si4_b03m_m200.08 4 2 3 6 9
si4_b03m_m200.01 4 2 4 4 18
si2_b06m_m200.04 4 1 33 3 3
si2_b06m_m200.03 4 1 6 75 52
si2_b06m_m200.08 4 1 3 11 47
si2_b06m_m200.06 4 1 2 1816 21
si2_b06m_m200.05 4 1 2 10 25
si2_b06m_m200.02 4 1 2 948 15239
si2_b06m_m200.00 4 1 29 54 9
si2_b06m_m200.01 4 2 121319 24 2
si2_b06m_m200.09 4 1 2 113881 3
si2_b06m_m200.07 4 1 2 6 3
si6_m4Dr4_m625.05 6 48 55 171 4084
si6_m4Dr4_m625.09 6 50 60 118 2204
si6_m4Dr4_m625.04 6 48 81 113 222
si6_m4Dr4_m625.00 6 48 161 3458 2920
si6_m4Dr4_m625.08 6 48 57 99 525
si6_m4Dr4_m625.06 6 47 89 278 345
si6_m4Dr4_m625.01 6 60 216 3960 2734
si6_m4Dr4_m625.03 6 90 88 361 6089
si6_m4Dr4_m625.07 6 76 2011 311 9982
si6_m4Dr4_m625.02 6 62 75 248 254
si4_b03_m200.06 3 2 2 2 2
si4_b03_m200.02 3 3 2 2 3
si4_b03_m200.07 3 2 2 2 2
si4_b03_m200.04 3 2 2 2 2
si4_b03_m200.03 3 2 2 2 2
si4_b03_m200.05 3 3 3 3 3
si4_b03_m200.09 3 2 2 2 2
si4_b03_m200.01 3 2 2 3 3
si4_b03_m200.00 3 2 2 2 2
si4_b03_m200.08 3 2 3 3 3
si2_b03_m400.03 3 5 6 6 9
si2_b03_m400.06 3 5 6 6 6
si2_b03_m400.07 3 5 8 8 6
si2_b03_m400.01 3 5 6 6 9
si2_b03_m400.05 3 5 8 9 9
si2_b03_m400.09 3 5 6 6 6
si2_b03_m400.02 3 5 6 6 6
si2_b03_m400.00 3 5 6 6 6
si2_b03_m400.08 3 8 8 6 9
si2_b03_m400.04 3 5 6 6 9
si4_b09_m200.02 3 2 4 7 4
si4_b09_m200.01 3 2 3 7 4
si4_b09_m200.00 3 3 4 11 47
si4_b09_m200.09 3 2 4 8 5
si4_b09_m200.08 3 2 3 4 14
si4_b09_m200.04 3 2 8 11 12
si4_b09_m200.06 3 2 6 6 6
si4_b09_m200.05 3 2 4 8 4
si4_b09_m200.07 3 2 6 8 3
si4_b09_m200.03 3 2 4 6 3
si4_m4Dr4_m256.05 6 3 11 15 18
si4_m4Dr4_m256.09 6 3 15 179 89
si4_m4Dr4_m256.01 6 3 26 209 3448
si4_m4Dr4_m256.03 6 14 733 5491 7058
si4_m4Dr4_m256.06 6 4 473 1555 3560
si4_m4Dr4_m256.07 6 4 14 161 399
si4_m4Dr4_m256.00 6 4 166 170 10330
si4_m4Dr4_m256.02 6 5 26 385 2931
si4_m4Dr4_m256.08 6 3 108 542 41359
si4_m4Dr4_m256.04 6 4 576 1937 1000000
si2_m4D_m625.01 5 18 24 357 659
si2_m4D_m625.00 5 46 1282 52 4722
si2_m4D_m625.08 5 25 50 365 549
si2_m4D_m625.04 5 37 212 982 1140
si2_m4D_m625.09 5 20 64 465 1068
si2_m4D_m625.02 5 166 113 105 24237
si2_m4D_m625.05 5 16 42 367 1044
si2_m4D_m625.06 5 17 18 296 629
si2_m4D_m625.07 5 17 125 628 1324
si2_m4D_m625.03 5 250 467 2197 6838
si4_b09_m800.03 3 62 70 67 146
si4_b09_m800.02 3 64 87 147 71
si4_b09_m800.09 3 65 66 80 84
si4_b09_m800.06 3 62 69 136 88
si4_b09_m800.04 3 64 82 105 238
si4_b09_m800.05 3 65 71 82 82
si4_b09_m800.00 3 64 82 77 100
si4_b09_m800.01 3 67 82 96 148
si4_b09_m800.07 3 63 71 67 135
si4_b09_m800.08 3 63 68 152 110
si2_m4Dr4_m256.05 6 4 5 342 1747
si2_m4Dr4_m256.02 6 2 129 416 1716
si2_m4Dr4_m256.00 6 13 65 103 79
si2_m4Dr4_m256.07 6 16 311 1262 54
si2_m4Dr4_m256.03 6 162 1913 1421 7420
si2_m4Dr4_m256.06 6 2 1179 1175 80
si2_m4Dr4_m256.04 6 45 630 849 367
si2_m4Dr4_m256.09 6 3 81184 1000000 173
si2_m4Dr4_m256.01 6 2 100 4325 814
si2_m4Dr4_m256.08 6 45 27 2698 51
si6_m4Dr2_m256.04 6 5 6 350 768
si6_m4Dr2_m256.08 6 5 11 238 565
si6_m4Dr2_m256.00 6 4 17 340 734
si6_m4Dr2_m256.07 6 4 10 139 55
si6_m4Dr2_m256.01 6 5 16 69 939
si6_m4Dr2_m256.09 6 5 11 189 2111
si6_m4Dr2_m256.03 6 4 10 214 2119
si6_m4Dr2_m256.05 6 5 179 291 1533
si6_m4Dr2_m256.02 6 5 38 54 7711
si6_m4Dr2_m256.06 6 6 58 442 1332
si6_b06_m800.00 3 118 130 106 130
si6_b06_m800.05 3 94 99 129 174
si6_b06_m800.02 3 94 119 103 116
si6_b06_m800.07 3 96 105 107 112
si6_b06_m800.08 3 96 99 107 107
si6_b06_m800.09 3 94 119 122 115
si6_b06_m800.06 3 96 104 107 108
si6_b06_m800.01 3 96 183 168 111
si6_b06_m800.04 3 94 128 109 172
si6_b06_m800.03 3 94 103 106 110
si4_b09m_m800.06 4 58 62 180 787
si4_b09m_m800.01 4 70 78 91 116
si4_b09m_m800.02 4 59 94 72 178
si4_b09m_m800.08 4 57 81 697 261
si4_b09m_m800.04 4 57 58 64 854
si4_b09m_m800.03 4 58 63 101 1024
si4_b09m_m800.09 4 57 57 169 133
si4_b09m_m800.05 4 59 96 364 193
si4_b09m_m800.00 4 59 63 64 87
si4_b09m_m800.07 4 58 98 78 253
si2_b06_m800.04 3 30 32 31 32
si2_b06_m800.07 3 30 33 52 51
si2_b06_m800.02 3 30 31 31 48
si2_b06_m800.00 3 30 31 42 37
si2_b06_m800.03 3 30 32 51 52
si2_b06_m800.05 3 29 36 52 34
si2_b06_m800.09 3 30 33 32 35
si2_b06_m800.01 3 30 39 33 34
si2_b06_m800.08 3 30 31 32 32
si2_b06_m800.06 3 30 32 34 52
si6_m4D_m256.03 5 5 35 115 263
si6_m4D_m256.08 5 5 8 10 319
si6_m4D_m256.07 5 5 6 24 345
si6_m4D_m256.00 5 5 9 9 127
si6_m4D_m256.01 5 6 7 49 2055
si6_m4D_m256.05 5 5 9 25 556
si6_m4D_m256.09 5 28 2363 3455 4038
si6_m4D_m256.04 5 5 7 10 279
si6_m4D_m256.02 5 5 7 9 225
si6_m4D_m256.06 5 7 8 37 352
si2_b06m_m800.07 4 49 381 49290 1000000
si2_b06m_m800.02 4 32 120 441695 35168
si2_b06m_m800.03 4 37 108 164 218
si2_b06m_m800.01 4 41 155 761 1000000
si2_b06m_m800.08 4 38 1000000 1000001 1000000
si2_b06m_m800.04 4 45 1000000 1000000 1000000
si2_b06m_m800.06 4 31 64 98 902
si2_b06m_m800.09 4 47 819 169637 1000000
si2_b06m_m800.05 4 35 821 568 934
si2_b06m_m800.00 4 51 72 1000000 430829
si4_b06m_m200.00 4 2 2022 7385 180
si4_b06m_m200.08 4 2 3 3 19
si4_b06m_m200.05 4 2 3 57 141
si4_b06m_m200.09 4 2 3 15 575
si4_b06m_m200.01 4 2 3 348 57
si4_b06m_m200.07 4 3 19 140 112637
si4_b06m_m200.02 4 2 6 19 331
si4_b06m_m200.04 4 2 6 10 103
si4_b06m_m200.06 4 2 2 41 21
si4_b06m_m200.03 4 2 4 277 21
si6_r001_m400.09 7 4776 1485 24086 1000000
si6_r001_m400.05 7 84828 5734 1081 20689
si6_r001_m400.00 7 407 947 1468 191845
si6_r001_m400.04 7 18563 87520 33061 274327
si6_r001_m400.07 7 272 1052 1039 7592
si6_r001_m400.06 7 4414 76483 85993 1000000
si6_r001_m400.02 7 171 319 12320 108
si6_r001_m400.03 7 271 1386 118 65261
si6_r001_m400.08 7 833 1000001 1000000 1000000
si6_r001_m400.01 7 74 989 4664 273238
si6_m4D_m625.00 5 75 83 131 2587
si6_m4D_m625.07 5 1057 1000001 1000000 12565
si6_m4D_m625.05 5 103419 1000001 307095 87326
si6_m4D_m625.08 5 50 158 53 2024
si6_m4D_m625.02 5 49 53 72 2928
si6_m4D_m625.03 5 48808 39268 1000001 1000001
si6_m4D_m625.04 5 50 61 174 2146
si6_m4D_m625.09 5 14205 1000001 24019 23672
si6_m4D_m625.01 5 50 67 76 2295
si6_m4D_m625.06 5 316 15234 89265 25012
si6_b09m_m800.02 4 90 88 101 110
si6_b09m_m800.09 4 95 100 1015 204
si6_b09m_m800.04 4 90 101 121 205
si6_b09m_m800.07 4 90 94 102 182
si6_b09m_m800.00 4 90 88 108 117
si6_b09m_m800.05 4 91 93 106 747
si6_b09m_m800.03 4 92 107 267 769
si6_b09m_m800.01 4 95 99 172 176
si6_b09m_m800.06 4 93 95 132 140
si6_b09m_m800.08 4 94 102 107 166
si4_m4Dr6_m1296.01 6 209 447 19994 151549
si4_m4Dr6_m1296.07 6 226 25040 1000001 1000002
si4_m4Dr6_m1296.06 6 253 368 2026 1000004
si4_m4Dr6_m1296.02 6 210 221 47552 6665
si4_m4Dr6_m1296.08 6 211 270 14416 327913
si4_m4Dr6_m1296.03 6 212 344 920 43931
si4_m4Dr6_m1296.00 6 418 2658 9740 3458
si4_m4Dr6_m1296.09 6 213 993 7808 8909
si4_m4Dr6_m1296.05 6 215 221 1036 2712
si4_m4Dr6_m1296.04 6 210 425 13750 29274
si2_b06_m400.09 3 6 7 7 12
si2_b06_m400.02 3 6 6 7 8
si2_b06_m400.00 3 6 6 10 7
si2_b06_m400.03 3 6 6 7 7
si2_b06_m400.07 3 6 6 6 10
si2_b06_m400.04 3 6 6 7 7
si2_b06_m400.05 3 6 7 7 7
si2_b06_m400.01 3 6 6 7 7
si2_b06_m400.08 3 6 7 7 9
si2_b06_m400.06 3 6 7 7 8
si4_r01_m200.01 7 624 11021 12756 2386
si4_r01_m200.08 7 43187 37284 44735 46764
si4_r01_m200.03 7 8071 2679 4311 7491
si4_r01_m200.04 7 4924 10798 13617 583332
si4_r01_m200.07 7 5303 4173 7604 5438
si4_r01_m200.02 7 23440 19330 42349 442296
si4_r01_m200.05 7 18070 2197 4297 4677
si4_r01_m200.06 7 3143 14601 12895 23568
si4_r01_m200.00 7 16108 12663 70348 5446
si4_r01_m200.09 7 18262 24836 2831 7228
si2_r001_m400.06 7 1000000 1000000 1000000 1000000
si2_r001_m400.08 7 1000000 1000000 1000000 1000000
si2_r001_m400.09 7 1000000 1000000 1000000 1000000
si2_r001_m400.01 7 1000000 1000000 1000000 1000000
si2_r001_m400.03 7 1000000 1000000 1000000 1000000
si2_r001_m400.04 7 1000000 1000000 1000000 1000000
si2_r001_m400.05 7 1000000 1000000 1000000 1000000
si2_r001_m400.02 7 1000000 1000000 1000000 1000000
si2_r001_m400.00 7 87059 1000000 1000000 1000000
si2_r001_m400.07 7 1000000 1000000 1000000 1000000
si4_b03m_m800.03 4 81 503 1000002 1000001
si4_b03m_m800.05 4 79 23040 1000001 1000001
si4_b03m_m800.06 4 77 151 218 1000001
si4_b03m_m800.01 4 77 2021 1976 80109
si4_b03m_m800.08 4 82 1000002 1000001 1000001
si4_b03m_m800.09 4 85 222 1000001 1000001
si4_b03m_m800.00 4 79 118 80359 1000001
si4_b03m_m800.02 4 84 1000001 1000001 1000003
si4_b03m_m800.07 4 73 107 647 1000001
si4_b03m_m800.04 4 76 852 1000001 1000000
si2_r01_m200.03 7 1000000 40094 215185 279412
si2_r01_m200.00 7 8537 5043 1000000 20721
si2_r01_m200.05 7 1738 18539 12188 39676
si2_r01_m200.01 7 41985 36601 254336 15029
si2_r01_m200.08 7 4078 337393 2930 277082
si2_r01_m200.06 7 310383 16587 92233 1000000
si2_r01_m200.09 7 15755 259103 10619 147816
si2_r01_m200.02 7 38100 1000000 55050 1000000
si2_r01_m200.07 7 17470 23203 62217 110328
si2_r01_m200.04 7 2001 46760 99513 237273
si2_r01_m400.04 7 142834 1000000 1000000 35305
si2_r01_m400.00 7 1000000 685203 464246 1000000
si2_r01_m400.07 7 1000000 1000000 1000000 823700
si2_r01_m400.09 7 790934 917608 1000000 1000000
si2_r01_m400.01 7 1000000 524281 506324 1000001
si2_r01_m400.03 7 80781 217018 288274 1000000
si2_r01_m400.02 7 87331 1000000 1000000 1000000
si2_r01_m400.05 7 1000000 1000000 444273 1000000
si2_r01_m400.06 7 402373 1000000 1000000 1000000
si2_r01_m400.08 7 557530 192781 357675 1000000
si4_m4D_m625.09 5 33 63 326 1012
si4_m4D_m625.03 5 33 109 820 12732
si4_m4D_m625.07 5 421 204 981 2249
si4_m4D_m625.02 5 166 113 792 1363
si4_m4D_m625.00 5 34 90 303 1680
si4_m4D_m625.01 5 191 376 1058 1964
si4_m4D_m625.04 5 32 93 96 1547
si4_m4D_m625.06 5 33 46 47 1485
si4_m4D_m625.08 5 119 38845 40025 1631
si4_m4D_m625.05 5 53 32 512 2434
si6_m4Dr6_m256.05 6 5 11 124 123
si6_m4Dr6_m256.04 6 8 14 36 69
si6_m4Dr6_m256.03 6 5 8 417 175
si6_m4Dr6_m256.02 6 4 43 71 1277
si6_m4Dr6_m256.08 6 5 9 1619 316
si6_m4Dr6_m256.00 6 5 391 195 55
si6_m4Dr6_m256.09 6 5 36 221 514
si6_m4Dr6_m256.07 6 5 14 40 251
si6_m4Dr6_m256.06 6 5 11 212 2191
si6_m4Dr6_m256.01 6 6 9 15 165
si6_b09_m400.07 3 17 30 32 22
si6_b09_m400.03 3 18 27 21 18
si6_b09_m400.04 3 18 41 29 55
si6_b09_m400.06 3 17 21 29 30
si6_b09_m400.05 3 19 23 25 28
si6_b09_m400.09 3 17 20 38 61
si6_b09_m400.02 3 18 35 61 43
si6_b09_m400.01 3 18 31 28 48
si6_b09_m400.08 3 18 30 77 53
si6_b09_m400.00 3 19 34 68 18
si6_b06_m400.03 3 16 17 19 21
si6_b06_m400.08 3 16 27 21 22
si6_b06_m400.07 3 17 19 18 20
si6_b06_m400.04 3 17 19 18 19
si6_b06_m400.05 3 23 18 30 34
si6_b06_m400.06 3 16 23 18 21
si6_b06_m400.02 3 17 18 19 21
si6_b06_m400.01 3 16 34 18 21
si6_b06_m400.00 3 16 20 21 20
si6_b06_m400.09 3 23 24 24 21
si6_b03m_m200.04 4 3 7 8 117
si6_b03m_m200.07 4 3 27 99 13
si6_b03m_m200.08 4 2 5 76 32
si6_b03m_m200.02 4 3 8 11 14
si6_b03m_m200.03 4 3 7 10 25
si6_b03m_m200.06 4 3 5 14 19
si6_b03m_m200.01 4 3 5 14 48
si6_b03m_m200.09 4 3 5 131 48
si6_b03m_m200.00 4 3 16 151 1000000
si6_b03m_m200.05 4 3 6 18 117
si4_b06_m800.04 3 61 66 69 69
si4_b06_m800.00 3 76 89 74 90
si4_b06_m800.08 3 61 62 63 69
si4_b06_m800.05 3 95 63 85 73
si4_b06_m800.03 3 59 75 64 69
si4_b06_m800.06 3 59 69 69 70
si4_b06_m800.07 3 59 68 79 105
si4_b06_m800.01 3 59 99 65 70
si4_b06_m800.02 3 61 69 85 67
si4_b06_m800.09 3 59 67 66 68
si6_b09m_m200.07 4 4 7 18 24
si6_b09m_m200.06 4 2 4 21 69
si6_b09m_m200.01 4 2 4 38 34
si6_b09m_m200.08 4 3 4 35 71
si6_b09m_m200.00 4 2 4 28 13
si6_b09m_m200.09 4 2 5 12 16
si6_b09m_m200.02 4 2 3 67 12
si6_b09m_m200.05 4 3 4 6 62
si6_b09m_m200.03 4 2 6 28 27
si6_b09m_m200.04 4 2 3 80 26
si4_b09m_m400.07 4 14 12 25 215
si4_b09m_m400.06 4 10 15 30 249
si4_b09m_m400.00 4 15 23 96 45
si4_b09m_m400.08 4 15 24 445 429
si4_b09m_m400.04 4 11 14 303 3774
si4_b09m_m400.09 4 10 13 700 426
si4_b09m_m400.02 4 10 18 17 43
si4_b09m_m400.03 4 10 12 42 23
si4_b09m_m400.01 4 11 11 23 20
si4_b09m_m400.05 4 11 12 100 8428
si6_m4Dr4_m1296.03 6 338 375 873 3084
si6_m4Dr4_m1296.06 6 342 422 8278 9068
si6_m4Dr4_m1296.04 6 330 484 483 870
si6_m4Dr4_m1296.01 6 329 389 651 4030
