instance family sequential-induced-nofilter-except-0 sequential-induced-nofilter-except-1 sequential-induced-nofilter-except-2 sequential-induced-nofilter-except-3
g10-g32 2 0 1 2 3
g10-g33 2 4 13 35 56
g10-g37 2 41 128 315 394
g10-g38 2 3 6 8 11
g10-g40 2 9228 17879 25118 33958
g10-g41 2 5 14 49 79
g10-g42 2 17 67 85 116
g10-g43 2 52 147 353 370
g10-g44 2 5563 13396 121424 129426
g10-g45 2 1763 4591 36321 38628
g10-g46 2 910 2774 78646 82665
g10-g47 2 648 2197 56268 58282
g10-g48 2 1952 5440 143779 150739
g10-g49 2 96 289 520 756
g10-g50 2 754 2371 3922 5253
g11-g12 2 29 90 93 128
g11-g13 2 2 5 7 10
g11-g14 2 1 5 5 11
g11-g15 2 2 6 13 13
g11-g16 2 1 8 17 26
g11-g20 2 861 2522 4238 5500
g11-g21 2 1 3 5 6
g11-g22 2 3 9 16 23
g11-g23 2 7 10 16 21
g11-g25 2 2 6 9 12
g11-g26 2 7 22 38 32
g11-g27 2 10 23 37 52
g11-g28 2 1 3 5 10
g11-g29 2 2292 6187 10189 13852
g11-g30 2 1326 3624 5853 7970
g11-g31 2 4723 12461 20718 28874
g11-g32 2 0 1 1 3
g11-g33 2 3 11 20 29
g11-g37 2 48 116 189 260
g11-g38 2 30 38 73 81
g11-g40 2 5218 10789 16801 22507
g11-g41 2 5 18 30 65
g11-g42 2 10 40 84 91
g11-g43 2 35 114 174 219
g11-g44 2 1538 5111 8532 11634
g11-g45 2 629 2144 3592 4932
g11-g46 2 648 1895 3095 4106
g11-g47 2 466 1672 2618 3369
g11-g48 2 803 2669 4636 5742
g11-g49 2 64 183 291 400
g11-g50 2 428 1101 1631 2196
g12-g20 2 16 127 270 476
g12-g21 2 1 3 5 7
g12-g23 2 2 6 8 11
g12-g26 2 2 5 9 13
g12-g27 2 4 14 16 24
g12-g29 2 35 171 466 792
g12-g30 2 6 65 237 396
g12-g31 2 93 413 860 1380
g12-g32 2 0 2 2 2
g12-g38 2 10 25 57 224
g12-g40 2 3245 7141 10709 13977
g12-g43 2 13 64 75 111
g12-g44 2 83 273 567 903
g12-g45 2 20 106 248 391
g12-g46 2 8 58 189 387
g12-g47 2 7 41 143 391
g12-g48 2 9 110 330 612
g12-g50 2 348 970 1370 1860
g13-g15 2 1 1 2 5
g13-g20 2 299 841 1358 1979
g13-g21 2 1 4 6 8
g13-g23 2 2 6 9 13
g13-g25 2 1 2 5 5
g13-g26 2 3 8 17 19
g13-g27 2 6 20 24 61
g13-g29 2 34 78 132 178
g13-g30 2 14 43 79 112
g13-g31 2 66 129 222 270
g13-g32 2 0 1 2 2
g13-g38 2 4 7 7 10
g13-g40 2 10613 20657 30472 38898
g13-g43 2 33 93 112 191
g13-g44 2 62 159 237 382
g13-g45 2 30 78 127 170
g13-g46 2 12 55 80 158
g13-g47 2 12 36 68 102
g13-g48 2 17 60 123 149
g13-g49 2 27 121 187 325
g13-g50 2 1667 2666 3402 5026
g14-g15 2 3 6 13 18
g14-g20 2 302 1054 1644 2067
g14-g21 2 1 5 6 8
g14-g23 2 4 8 12 20
g14-g25 2 1 3 4 8
g14-g26 2 4 14 19 45
g14-g27 2 12 24 48 1299
g14-g29 2 58 114 178 243
g14-g30 2 27 73 131 159
g14-g31 2 61 168 261 339
g14-g32 2 0 1 1 2
g14-g38 2 4 6 8 18
g14-g40 2 8103 19582 31683 70694
g14-g43 2 49 113 235 6745
g14-g44 2 61 188 289 386
g14-g45 2 28 119 167 226
g14-g46 2 19 69 146 168
g14-g47 2 17 61 107 153
g14-g48 2 27 101 159 204
g14-g49 2 92 243 431 3004
g14-g50 2 1475 5433 8565 316528
g15-g20 2 96 623 995 1419
g15-g21 2 1 4 6 9
g15-g23 2 2 5 8 12
g15-g25 2 1 2 4 5
g15-g26 2 4 6 10 15
g15-g27 2 9 20 33 38
g15-g29 2 19 53 99 145
g15-g30 2 10 24 55 101
g15-g31 2 35 100 166 224
g15-g32 2 0 1 1 2
g15-g38 2 3 5 7 10
g15-g40 2 11506 21209 31317 42450
g15-g43 2 41 83 122 184
g15-g44 2 26 112 184 248
g15-g45 2 14 58 98 136
g15-g46 2 9 32 55 90
g15-g47 2 6 24 60 77
g15-g48 2 12 52 78 120
g15-g49 2 26 69 138 295
g15-g50 2 1074 3073 3842 5666
g16-g20 2 658 1654 2601 3963
g16-g21 2 1 5 7 9
g16-g22 2 3 7 15 17
g16-g23 2 4 14 17 24
g16-g25 2 3 4 7 11
g16-g26 2 8 18 28 39
g16-g27 2 14 36 55 87
g16-g28 2 2 3 5 7
g16-g29 2 237 295 562 824
g16-g30 2 149 180 351 497
g16-g31 2 365 546 973 1421
g16-g32 2 1 1 3 2
g16-g33 2 4 9 13 19
g16-g37 2 21 29 47 38
g16-g38 2 3 10 10 14
g16-g40 2 8596 17223 25609 33142
g16-g43 2 50 170 253 338
g16-g44 2 249 449 874 1274
g16-g45 2 161 257 494 717
g16-g46 2 64 154 250 357
g16-g47 2 57 174 223 324
g16-g48 2 92 185 341 494
g16-g49 2 92 356 481 659
g16-g50 2 549 1787 2617 3955
g17-g18 2 37 146 150 200
g17-g19 2 56 226 406 555
g17-g20 2 39 115 191 230
g17-g21 2 2 8 13 11
g17-g22 2 38 53 103 104
g17-g23 2 10 30 32 41
g17-g24 2 2 5 11 9
g17-g25 2 8 16 26 22
g17-g26 2 26 51 70 70
g17-g27 2 35 89 168 183
g17-g28 2 3 6 9 12
g17-g29 2 156285 334966 519244 693374
g17-g30 2 63630 133695 205485 274104
g17-g31 2 206860 442678 671673 900925
g17-g32 2 1 1 2 2
g17-g33 2 34 70 104 137
g17-g34 2 88 172 255 339
g17-g35 2 62 180 185 237
g17-g36 2 186 366 534 660
g17-g37 2 658 1357 2001 2432
g17-g38 2 35 70 105 172
g17-g39 2 34 67 100 132
g17-g40 2 5048 10214 15624 21517
g17-g41 2 40 105 155 205
g17-g42 2 51 130 249 256
g17-g43 2 124 396 553 621
g17-g44 2 66943 218881 368426 528212
g17-g45 2 20080 63736 104937 149502
g17-g46 2 149502 542022 996689 1000000
g17-g47 2 105471 380366 692646 1000000
g17-g48 2 234126 853936 1000000 1000000
g17-g49 2 248 630 903 1191
g17-g50 2 673 1730 2638 3589
g18-g19 2 46 253 460 698
g18-g20 2 41 122 183 245
g18-g21 2 2 6 9 12
g18-g22 2 31 60 89 119
g18-g23 2 12 22 33 62
g18-g24 2 2 8 7 10
g18-g25 2 9 12 17 23
g18-g26 2 29 39 58 76
g18-g27 2 42 80 152 242
g18-g28 2 3 6 9 12
g18-g29 2 242376 466984 693197 921830
g18-g30 2 99971 184851 274123 364469
g18-g31 2 311917 593691 882763 1000000
g18-g32 2 1 1 2 2
g18-g33 2 39 97 113 150
g18-g34 2 99 192 302 380
g18-g35 2 103 145 212 280
g18-g36 2 263 456 654 850
g18-g37 2 949 1707 2454 3170
g18-g38 2 34 71 108 211
g18-g39 2 35 70 104 139
g18-g40 2 4473 9584 15081 20828
g18-g41 2 44 127 169 224
g18-g42 2 84 163 211 280
g18-g43 2 159 366 529 707
g18-g44 2 80092 220067 334332 445657
g18-g45 2 24761 66798 101335 133599
g18-g46 2 213984 574377 861629 1000000
g18-g47 2 152744 407773 613428 810908
g18-g48 2 328468 885469 1000000 1000000
g18-g49 2 419 727 1081 1371
g18-g50 2 784 2028 2813 3777
g19-g20 2 44 129 208 254
g19-g21 2 2 5 8 11
g19-g22 2 12 15 23 30
g19-g23 2 9 18 26 34
g19-g25 2 5 10 15 20
g19-g26 2 12 25 37 49
g19-g27 2 20 39 58 99
g19-g28 2 3 5 8 10
g19-g29 2 31125 57455 89679 122325
g19-g30 2 14511 27196 43108 58763
g19-g31 2 57928 109563 168570 229223
g19-g32 2 1 2 2 4
g19-g33 2 11 14 21 28
g19-g35 2 5 9 14 18
g19-g37 2 156 284 412 549
g19-g38 2 30 60 90 172
g19-g40 2 6076 11845 17548 23806
g19-g41 2 8 21 32 42
g19-g42 2 37 73 108 143
g19-g43 2 67 168 265 333
g19-g44 2 13599 32631 50923 68966
g19-g45 2 4362 10703 16641 22952
g19-g46 2 9897 22383 35172 48545
g19-g47 2 7737 17241 27208 37622
g19-g48 2 15530 34409 56254 77500
g19-g49 2 128 344 480 640
g19-g50 2 689 1696 2526 3319
g2-g10 2 0 0 0 0
g2-g11 2 0 0 0 0
g2-g12 2 32 0 0 0
g2-g13 2 1 0 0 0
g2-g14 2 1 0 0 0
g2-g15 2 2 0 0 0
g2-g16 2 0 0 0 0
g2-g17 2 0 0 0 0
g2-g18 2 0 0 0 0
g2-g19 2 0 0 0 0
g2-g20 2 0 0 0 0
g2-g21 2 0 0 1 1
g2-g22 2 0 0 0 0
g2-g23 2 2 2 0 0
g2-g24 2 0 0 0 0
g2-g25 2 2 6 0 0
g2-g26 2 12 0 0 0
g2-g27 2 0 0 0 0
g2-g28 2 0 0 0 0
g2-g29 2 0 0 0 0
g2-g3 2 0 0 0 1
g2-g30 2 0 0 0 0
g2-g31 2 0 0 0 0
g2-g32 2 0 0 0 0
g2-g33 2 0 0 0 0
g2-g34 2 0 0 0 0
g2-g35 2 0 0 0 0
g2-g36 2 0 0 0 0
g2-g37 2 0 0 0 0
g2-g38 2 5 33 73 81
g2-g39 2 0 0 0 0
g2-g4 2 0 0 0 0
g2-g40 2 9947 24810 0 0
g2-g41 2 0 0 0 0
g2-g42 2 0 0 0 0
g2-g43 2 0 0 0 0
g2-g44 2 0 0 0 0
g2-g45 2 0 0 0 0
g2-g46 2 0 0 0 0
g2-g47 2 0 0 0 0
g2-g48 2 0 0 0 0
g2-g49 2 0 0 0 0
g2-g5 2 0 0 0 0
g2-g50 2 0 0 0 0
g2-g6 2 0 1 0 0
g2-g7 2 0 0 0 1
g2-g8 2 0 0 0 0
g2-g9 2 0 1 2 3
g20-g21 2 1 7 8 10
g20-g23 2 4 5 8 15
g20-g26 2 3 7 10 13
g20-g27 2 6 18 19 25
g20-g29 2 5 11 18 30
g20-g30 2 5 10 15 21
g20-g31 2 11 25 43 67
g20-g32 2 1 2 2 3
g20-g38 2 3 5 8 11
g20-g40 2 7568 15583 23782 33107
g20-g43 2 14 56 79 91
g20-g44 2 15 63 86 119
g20-g45 2 8 27 50 57
g20-g48 2 6 17 26 49
g20-g50 2 384 1030 1490 2082
g21-g27 2 4 8 14 16
g21-g32 2 1 1 2 5
g21-g40 2 624 1286 6836 13156
g21-g50 2 309 921 1594 2237
g22-g23 2 6 15 21 30
g22-g25 2 3 10 10 16
g22-g26 2 13 38 39 51
g22-g27 2 36 63 87 112
g22-g28 2 2 5 7 9
g22-g29 2 85 183 261 332
g22-g30 2 64 142 211 242
g22-g31 2 164 274 371 469
g22-g32 2 1 1 4 3
g22-g33 2 6 17 17 30
g22-g37 2 43 24 3 10
g22-g38 2 6 15 13 18
g22-g40 2 10297 21373 40436 62208
g22-g43 2 193 388 522 632
g22-g44 2 102 459 460 582
g22-g45 2 63 189 270 354
g22-g46 2 58 157 223 286
g22-g47 2 54 161 209 267
g22-g48 2 68 185 261 334
g22-g49 2 355 729 979 1172
g22-g50 2 2416 4655 6647 9721
g23-g27 2 4 20 36 46
g23-g32 2 1 1 2 3
g23-g40 2 8456 18742 30534 35151
g23-g50 2 14571 147547 152517 153251
g24-g25 2 6 171 1306 2019
g24-g26 2 1612 1000000 1000000 1000000
g24-g27 2 154 71160 496164 1000000
g24-g28 2 5 6 9 17
g24-g29 2 132513 136329 135528 133328
g24-g30 2 37294 37377 37688 37557
g24-g31 2 108115 108757 108582 108323
g24-g32 2 1 3 2 3
g24-g33 2 24 65 69 115
g24-g35 2 27 58 61 91
g24-g36 2 315210 315599 315195 316689
g24-g37 2 1000000 1000000 1000000 1000000
g24-g38 2 43 48 54 58
g24-g39 2 26 51 92 102
g24-g40 2 4129 630722 1000000 1000000
g24-g41 2 26 86 109 153
g24-g42 2 1818 1000000 1000000 1000000
g24-g43 2 202897 1000000 1000000 1000000
g24-g44 2 1000000 1000000 1000000 1000000
g24-g45 2 1000000 1000000 1000000 1000000
g24-g46 2 1000000 1000000 1000000 1000000
g24-g47 2 1000000 1000000 1000000 1000000
g24-g48 2 1000000 1000000 1000000 1000000
g24-g49 2 504000 1000000 1000000 1000000
g24-g50 2 1000000 1000000 1000000 1000000
g25-g26 2 6 23 128 338
g25-g27 2 21 43 294 578
g25-g29 2 39 118 202 286
g25-g30 2 26 111 144 206
g25-g31 2 70 171 278 383
g25-g32 2 1 2 2 5
g25-g38 2 4 9 14 19
g25-g40 2 10839 23849 88945 331016
g25-g43 2 61 374 3777 221930
g25-g44 2 54 187 319 487
g25-g45 2 29 114 196 288
g25-g46 2 14 95 174 281
g25-g47 2 12 87 161 237
g25-g48 2 24 122 214 306
g25-g49 2 46 443 3253 57461
g25-g50 2 1207 9664 497191 1000000
g26-g27 2 5 15 26 50
g26-g32 2 1 3 3 6
g26-g40 2 5388 13004 21109 27342
g26-g50 2 1313 2529 3138 4775
g27-g32 2 2 3 3 4
g27-g50 2 3684 5645 6619 7932
g28-g29 2 1799 3661 5134 5338
g28-g30 2 0 0 0 0
g28-g31 2 1601 3173 4783 5010
g28-g32 2 2 2 3 7
g28-g33 2 9 20 31 66
g28-g37 2 102 1744 2781 3804
g28-g38 2 42 93 761 1000000
g28-g40 2 410 748 1196 1521
g28-g43 2 127 653 1056 1534
g28-g44 2 33036 267609 1000000 1000000
g28-g45 2 7563 49061 189317 326146
g28-g46 2 122701 607658 1000000 1000000
g28-g47 2 68352 362919 1000000 1000000
g28-g48 2 150615 667261 1000000 1000000
g28-g49 2 256 1395 2236 2801
g28-g50 2 454 1602 2701 3513
g29-g30 2 0 0 0 0
g29-g31 2 10 78 127 192
g29-g32 2 1 3 3 4
g29-g40 2 2456 5935 8619 12517
g29-g44 2 20 128 235 334
g29-g45 2 12 43 79 126
g29-g50 2 210 644 963 1322
g3-g10 2 1 2 1 0
g3-g11 2 6 11 16 0
g3-g12 2 9 18 25 0
g3-g13 2 1 2 0 0
g3-g14 2 1 1 4 0
g3-g15 2 1 2 0 0
g3-g16 2 10 33 0 0
g3-g17 2 3 6 9 14
g3-g18 2 7 11 17 46
g3-g19 2 10 35 34 0
g3-g20 2 0 0 0 0
g3-g21 2 0 1 1 2
g3-g22 2 7 17 0 0
g3-g23 2 2 3 5 7
g3-g24 2 0 0 1 1
g3-g25 2 1 2 4 3
g3-g26 2 3 6 2 0
g3-g27 2 6 20 0 0
g3-g28 2 1 1 4 0
g3-g29 2 0 0 0 0
g3-g30 2 0 0 0 0
g3-g31 2 0 0 0 0
g3-g32 2 0 0 0 0
g3-g33 2 8 15 1 0
g3-g34 2 15 29 42 0
g3-g35 2 13 24 0 0
g3-g36 2 59 6 0 0
g3-g37 2 152 2 0 0
g3-g38 2 5 10 14 18
g3-g39 2 8 22 36 0
g3-g4 2 0 0 0 0
g3-g40 2 7317 18636 16 0
g3-g41 2 10 20 29 0
g3-g42 2 12 36 36 0
g3-g43 2 61 98 117 0
g3-g44 2 1 0 0 0
g3-g45 2 0 0 0 0
g3-g46 2 0 0 0 0
g3-g47 2 0 0 0 0
g3-g48 2 0 0 0 0
g3-g49 2 96 214 311 0
g3-g5 2 0 0 0 0
g3-g50 2 290 615 1303 0
g3-g6 2 0 0 0 1
g3-g7 2 0 1 1 1
g3-g8 2 1 2 0 0
g3-g9 2 0 1 1 1
g30-g31 2 0 0 0 0
g30-g32 2 0 0 0 0
g30-g40 2 0 0 0 0
g30-g44 2 0 0 0 0
g30-g45 2 2 4 7 13
g30-g50 2 0 0 1 0
g31-g32 2 1 2 3 7
g31-g40 2 3327 6463 9545 12592
g31-g50 2 249 625 914 1232
g33-g37 2 15 118 285 315
g33-g38 2 8 24 22 29
g33-g40 2 6457 12116 17889 27665
g33-g43 2 90 365 674 1023
g33-g44 2 879 2409 3752 4688
g33-g45 2 433 1191 2031 2361
g33-g46 2 164 501 734 961
g33-g47 2 142 456 647 860
g33-g48 2 262 753 1116 1445
g33-g49 2 171 819 1221 1611
g33-g50 2 737 2003 3710 4836
g34-g35 2 100 236 352 506
g34-g36 2 342 853 1113 1293
g34-g37 2 349 763 1187 1509
g34-g38 2 69 143 219 291
g34-g39 2 56 129 267 266
g34-g40 2 497 1019 1496 1968
g34-g41 2 98 288 367 462
g34-g42 2 118 312 504 584
g34-g43 2 174 495 728 926
g34-g44 2 9086 26472 40881 52527
g34-g45 2 0 300 913 1973
g34-g46 2 53193 147954 189232 232188
g34-g47 2 19014 57480 77515 97391
g34-g48 2 50210 141154 183396 227652
g34-g49 2 365 1118 1590 1966
g34-g50 2 265 713 1066 1411
g35-g37 2 219 506 737 879
g35-g38 2 9 81 89 99
g35-g40 2 6428 6990 13766 20529
g35-g41 2 26 94 141 188
g35-g42 2 76 217 332 446
g35-g43 2 287 626 915 1183
g35-g44 2 306 3550 3741 4273
g35-g45 2 0 245 519 768
g35-g46 2 123 2272 2447 2613
g35-g47 2 115 1994 2189 2324
g35-g48 2 221 2916 3147 3368
g35-g49 2 617 1362 1877 2337
g35-g50 2 1129 1843 3211 4413
g36-g37 2 191 438 1141 1385
g36-g38 2 11 19 123 166
g36-g40 2 7263 13883 14157 14695
g36-g41 2 61 134 181 259
g36-g42 2 112 247 352 530
g36-g43 2 285 617 864 1094
g36-g44 2 1345 5338 16956 20675
g36-g45 2 0 715 1235 2006
g36-g46 2 465 9154 43999 45726
g36-g47 2 407 4646 24716 26477
g36-g48 2 656 9981 50124 52276
g36-g49 2 483 1210 1788 2241
g36-g50 2 992 2397 2765 3222
g37-g38 2 8 16 53 60
g37-g40 2 6064 14780 15341 21439
g37-g43 2 105 284 451 643
g37-g44 2 1004 2159 4216 4519
g37-g45 2 0 377 608 783
g37-g46 2 321 653 1827 1965
g37-g47 2 271 557 1560 1692
g37-g48 2 487 930 2730 2757
g37-g49 2 231 576 849 1226
g37-g50 2 697 1781 2105 3100
g38-g40 2 455 929 1382 1833
g38-g43 2 18 67 143 218
g38-g44 2 27 129 297 537
g38-g45 2 0 0 93 159
g38-g50 2 245 621 957 1329
g39-g40 2 7017 13685 20201 26855
g39-g41 2 52 158 368 335
g39-g42 2 95 254 405 547
g39-g43 2 350 950 1459 2006
g39-g44 2 826 2348 3476 4674
g39-g45 2 0 0 461 974
g39-g46 2 190 497 753 1058
g39-g47 2 168 456 662 893
g39-g48 2 281 757 1153 1544
g39-g49 2 625 1710 3029 3577
g39-g50 2 1502 3644 5318 7119
g4-g10 2 0 0 0 0
g4-g11 2 0 0 0 0
g4-g12 2 0 1 1 1
g4-g13 2 2 0 0 0
g4-g14 2 1 4 0 0
g4-g15 2 0 0 0 0
g4-g16 2 0 1 3 8
g4-g20 2 42 114 0 0
g4-g21 2 0 0 0 0
g4-g22 2 2 0 0 0
g4-g23 2 0 0 0 0
g4-g25 2 0 1 0 0
g4-g26 2 0 1 1 0
g4-g27 2 0 15 0 0
g4-g28 2 0 1 1 1
g4-g29 2 6 13 19 27
g4-g30 2 5 9 24 32
g4-g31 2 13 17 26 37
g4-g32 2 0 0 0 0
g4-g33 2 0 1 2 3
g4-g37 2 7 0 0 0
g4-g38 2 0 2 1 2
g4-g40 2 0 0 0 0
g4-g41 2 0 1 3 8
g4-g42 2 41 216 0 1
g4-g43 2 22 0 1 4
g4-g44 2 7 18 46 39
g4-g45 2 8 12 18 24
g4-g46 2 5 11 15 20
g4-g47 2 8 10 14 19
g4-g48 2 8 15 17 23
g4-g49 2 245 0 0 0
g4-g5 2 0 0 0 0
g4-g50 2 0 0 0 0
g4-g6 2 0 0 0 0
g4-g7 2 0 0 1 1
g4-g9 2 0 0 0 0
g40-g50 2 75 198 341 524
g41-g42 2 64 179 213 302
g41-g43 2 198 509 792 1082
g41-g44 2 695 1782 2921 4116
g41-g45 2 0 0 0 1
g41-g46 2 258 678 957 1238
g41-g47 2 0 0 0 307
g41-g48 2 347 1093 1436 1785
g41-g49 2 374 912 1396 1871
g41-g50 2 1076 2424 3673 4879
g42-g43 2 417 907 1372 1684
g42-g44 2 219 578 771 1093
g42-g45 2 0 0 0 0
g42-g46 2 117 311 472 663
g42-g47 2 0 0 1 194
g42-g48 2 136 379 549 723
g42-g49 2 666 1462 2314 2970
g42-g50 2 2006 4385 5944 7737
g43-g44 2 29 88 179 230
g43-g45 2 1 0 0 1
g43-g50 2 1064 3194 4903 5841
g44-g45 2 0 1 1 0
g44-g50 2 264 770 1322 1686
g45-g50 2 1 0 1 1
g46-g47 2 0 0 0 77
g46-g48 2 15 85 155 224
g46-g50 2 331 1007 1569 2225
g47-g48 2 0 1 0 22
g47-g50 2 1 0 1 456
g48-g50 2 332 967 1478 2021
g49-g50 2 928 2423 4614 7060
g5-g11 2 0 0 0 0
g5-g12 2 0 21 0 0
g5-g13 2 1 5 0 0
g5-g14 2 0 2 0 0
g5-g15 2 2 4 0 0
g5-g16 2 0 0 0 0
g5-g20 2 314 0 0 0
g5-g21 2 16 21 20 35
g5-g22 2 0 0 0 0
g5-g23 2 7 6 4 0
g5-g25 2 0 2 7 0
g5-g26 2 4 16 0 0
g5-g27 2 13 0 0 0
g5-g28 2 0 0 0 0
g5-g29 2 13 0 0 0
g5-g30 2 15 0 0 0
g5-g31 2 8 0 0 0
g5-g32 2 11 11 11 12
g5-g33 2 0 0 0 0
g5-g37 2 6 0 0 0
g5-g38 2 0 6 51 61
g5-g40 2 5054 14845 30172 0
g5-g41 2 0 0 0 0
g5-g42 2 2 0 0 0
g5-g43 2 35 0 0 0
g5-g44 2 30 0 0 0
g5-g45 2 48 0 0 0
g5-g46 2 15 0 0 0
g5-g47 2 12 0 0 0
g5-g48 2 24 0 0 0
g5-g49 2 24 0 0 0
g5-g50 2 1072 0 0 0
g5-g6 2 0 0 1 0
g5-g7 2 0 0 0 1
g6-g11 2 0 1 19 11
g6-g12 2 11 18 41 42
g6-g13 2 1 5 18 24
g6-g14 2 0 2 32 49
g6-g15 2 1 6 29 40
g6-g16 2 1 3 0 0
g6-g20 2 496 2858 6616 8824
g6-g21 2 0 1 2 2
g6-g22 2 1 6 2 0
g6-g23 2 3 5 39 2
g6-g25 2 1 4 7 30
g6-g26 2 5 10 1293 4
g6-g27 2 4 17 1 1
g6-g28 2 0 2 2 4
g6-g29 2 708 3 0 0
g6-g30 2 546 2 0 0
g6-g31 2 1366 7 0 0
g6-g32 2 0 0 0 1
g6-g33 2 1 7 32 4
g6-g37 2 32 1 4 0
g6-g38 2 9 9 127 135
g6-g40 2 3964 9715 13863 31982
g6-g41 2 2 10 48 4
g6-g42 2 5 17 5 2
g6-g43 2 26 55 5 1
g6-g44 2 859 8 0 0
g6-g45 2 345 7 0 1
g6-g46 2 242 3 0 0
g6-g47 2 254 1 0 0
g6-g48 2 305 0 0 0
g6-g49 2 30 159 2 1
g6-g50 2 220 1018 25253 214160
g6-g7 2 0 0 0 1
g7-g11 2 0 0 2 1
g7-g12 2 1000000 1000000 5 2
g7-g13 2 1 1 2 6
g7-g14 2 1 2 1 3
g7-g15 2 1 2 3 4
g7-g16 2 0 2 2 5
g7-g20 2 123 352 477 614
g7-g21 2 0 1 2 3
g7-g22 2 1 4 4 8
g7-g23 2 2 4 6 8
g7-g25 2 1 2 3 3
g7-g26 2 4 9 13 11
g7-g27 2 6 8 18 23
g7-g28 2 1 1 2 3
g7-g29 2 215 407 677 721
g7-g30 2 144 285 396 502
g7-g31 2 280 553 778 1039
g7-g32 2 0 0 1 1
g7-g33 2 1 4 6 5
g7-g37 2 17 55 52 67
g7-g38 2 0 1 1 1
g7-g40 2 4364 8051 11523 15097
g7-g41 2 2 7 7 9
g7-g42 2 6 11 16 30
g7-g43 2 13 34 51 65
g7-g44 2 145 380 535 690
g7-g45 2 82 214 300 383
g7-g46 2 124 315 433 540
g7-g47 2 124 279 400 482
g7-g48 2 158 393 538 670
g7-g49 2 24 57 86 110
g7-g50 2 218 545 624 810
g8-g10 2 0 1 2 3
g8-g11 2 0 8 13 14
g8-g12 2 3 45 40 68
g8-g13 2 2 7 12 10
g8-g14 2 2 3 5 13
g8-g15 2 3 5 9 19
g8-g16 2 1 2 8 2
g8-g19 2 1 27 25 27
g8-g20 2 2041 4266 6612 11255
g8-g21 2 0 2 3 4
g8-g22 2 4 9 16 40
g8-g23 2 5 9 14 18
g8-g25 2 2 4 7 9
g8-g26 2 7 13 21 30
g8-g27 2 11 23 37 63
g8-g28 2 1 2 3 7
g8-g29 2 2196 4804 6403 103735
g8-g30 2 1080 2567 3478 38200
g8-g31 2 4584 8622 11963 133959
g8-g32 2 1 0 1 1
g8-g33 2 11 12 23 51
g8-g35 2 3 14 22 35
g8-g36 2 2 7 24 33
g8-g37 2 60 89 76 1058
g8-g38 2 2 25 54 34
g8-g40 2 6751 12599 20645 28976
g8-g41 2 7 23 34 71
g8-g42 2 15 38 61 121
g8-g43 2 36 94 185 2601
g8-g44 2 1487 3719 5353 58635
g8-g45 2 615 1637 2294 17621
g8-g46 2 465 1746 2308 226486
g8-g47 2 396 1504 1952 165676
g8-g48 2 725 2673 3174 348902
g8-g49 2 72 198 392 5275
g8-g50 2 428 870 2588 12660
g8-g9 2 1 1 2 3
g9-g10 2 0 2 3 3
g9-g11 2 0 2 12 13
g9-g12 2 2 3 26 28
g9-g13 2 7 17 193 432
g9-g14 2 1 6 11 405
g9-g15 2 6 38 395 932
g9-g16 2 1 5 68 523
g9-g20 2 1021 3463 5639 6224
g9-g21 2 1 3 4 6
g9-g22 2 3 7 65 1000000
g9-g23 2 5 5 543 6
g9-g25 2 2 4 7 1984
g9-g26 2 7 31 169215 13
g9-g27 2 92 1618 1000000 499
g9-g28 2 1 4 4 5
g9-g29 2 258 816 1000000 1000000
g9-g30 2 116 457 549653 550083
g9-g31 2 509 1668 1000000 1000000
g9-g32 2 0 1 1 1
g9-g33 2 2 6 3339 3244
g9-g37 2 28 92 1000000 1000000
g9-g38 2 2 8 25 27
g9-g40 2 42166 51801 57855 77324
g9-g41 2 3 9 46 42
g9-g42 2 13 36 78 23
g9-g43 2 3327 4089 6978 9
g9-g44 2 528 711788 1000000 1000000
g9-g45 2 189 46496 1000000 1000000
g9-g46 2 39 194 1000000 1000000
g9-g47 2 35 174 1000000 1000000
g9-g48 2 58 308 1000000 1000000
g9-g49 2 638 920 2918 1000000
g9-g50 2 1000000 1000000 1000000 1000000
images-CVIU11-1-119 8 14013 66628 989019 1000002
images-CVIU11-1-131 8 3539 16645 244905 289000
images-CVIU11-1-50 8 13589 74867 1000006 1000002
images-CVIU11-1-81 8 5911 25577 338900 405131
images-CVIU11-10-110 8 103 3628 6757 10336
images-CVIU11-10-139 8 63 2337 4527 6872
images-CVIU11-10-20 8 318 10903 20766 32436
images-CVIU11-10-50 8 373 14821 27827 44121
images-CVIU11-10-58 8 84 3050 5715 8949
images-CVIU11-10-60 8 190 6183 11725 18224
images-CVIU11-10-93 8 215 8289 15502 24335
images-CVIU11-11-4 8 754 461 379 217
images-CVIU11-11-72 8 822 722 300 250
images-CVIU11-11-8 8 547 734 196 220
images-CVIU11-12-115 8 2799 14561 23312 42361
images-CVIU11-12-137 8 694 3979 6234 11799
images-CVIU11-12-141 8 899 5046 8042 14294
images-CVIU11-12-4 8 3525 19480 30693 53843
images-CVIU11-13-11 8 2108 3902 14521 15980
images-CVIU11-13-118 8 4543 8409 31726 35819
images-CVIU11-13-128 8 7472 13622 58550 65886
images-CVIU11-13-13 8 5741 10639 40870 46141
images-CVIU11-13-30 8 8767 15913 64986 73073
images-CVIU11-13-46 8 5399 9996 42086 46911
images-CVIU11-13-7 8 8321 15389 60102 67574
images-CVIU11-14-106 8 7890 17006 25998 35658
images-CVIU11-14-146 8 12307 26974 40876 56235
images-CVIU11-14-16 8 2817 5905 8910 12131
