instance family sequential-induced-nofilter-except-0 sequential-induced-nofilter-except-1 sequential-induced-nofilter-except-2 sequential-induced-nofilter-except-3
si6_r001_m600.06 7 3962 1826 93033 2213
si6_r001_m600.08 7 90706 254453 1000000 1000001
si6_r001_m600.02 7 19497 5182 18173 795604
si6_r001_m600.04 7 433972 59078 1000000 793056
si6_r001_m600.05 7 1606 18608 857894 693753
si2_m4Dr2_m1296.05 6 1782 2184 12215 79355
si2_m4Dr2_m1296.09 6 9728 6974 96051 118046
si2_m4Dr2_m1296.02 6 15425 83184 35020 192042
si2_m4Dr2_m1296.07 6 16906 30154 1000003 1000000
si2_m4Dr2_m1296.00 6 2434 2613 2429 29063
si2_m4Dr2_m1296.06 6 31545 191290 12452 1000000
si2_m4Dr2_m1296.08 6 2259 129018 1000001 23019
si2_m4Dr2_m1296.01 6 5282 1000000 62323 16779
si2_m4Dr2_m1296.03 6 2725 3207 3959 76285
si2_m4Dr2_m1296.04 6 3568 2371 2393 5407
si4_b06m_m800.08 4 1108 1345 1272 1175
si4_b06m_m800.00 4 1157 1297 1237 1342
si4_b06m_m800.06 4 1059 1296 1144 1214
si4_b06m_m800.05 4 1153 1219 1064 1215
si4_b06m_m800.04 4 1111 1093 1322 2103
si4_b06m_m800.09 4 1123 1114 1076 1442
si4_b06m_m800.01 4 1243 1208 1067 1116
si4_b06m_m800.07 4 1085 1203 1188 1107
si4_b06m_m800.03 4 1155 1752 1477 1369
si4_b06m_m800.02 4 1291 1407 1048 1258
si6_m4Dr2_m625.08 6 955 879 871 7348
si6_m4Dr2_m625.09 6 892 1001 1808 4337
si6_m4Dr2_m625.05 6 4928 910 4566 1723
si6_m4Dr2_m625.01 6 896 1009 1220 2167
si6_m4Dr2_m625.06 6 883 933 1790 1427
si6_m4Dr2_m625.00 6 868 817 1135 3632
si6_m4Dr2_m625.03 6 934 1301 909 5666
si6_m4Dr2_m625.02 6 1564 2092 3297 3866
si6_m4Dr2_m625.07 6 900 1139 3976 2890
si6_m4Dr2_m625.04 6 1010 982 1840 35196
si2_m4D_m1296.01 5 969 8354 13423 15739
si2_m4D_m1296.08 5 1841 6778 15154 129940
si2_m4D_m1296.06 5 2382 9027 17558 21387
si2_m4D_m1296.05 5 2510 11861 6661 23229
si2_m4D_m1296.09 5 7932 9540 22628 28219
si2_m4D_m1296.03 5 971 8769 16713 21342
si2_m4D_m1296.07 5 3026 7602 16010 72587
si2_m4D_m1296.02 5 2996 8230 88891 165753
si2_m4D_m1296.04 5 3591 18380 48535 24596
si2_m4D_m1296.00 5 2017 12067 19734 13996
si4_b03_m800.05 3 28 36 27 45
si4_b03_m800.00 3 20 25 27 28
si4_b03_m800.08 3 20 30 41 44
si4_b03_m800.09 3 28 25 26 29
si4_b03_m800.03 3 20 25 39 28
si4_b03_m800.02 3 28 24 27 48
si4_b03_m800.04 3 20 23 29 30
si4_b03_m800.01 3 20 25 27 30
si4_b03_m800.06 3 20 25 27 48
si4_b03_m800.07 3 20 23 27 30
si6_m4D_m1296.02 5 9420 24626 22090 86047
si6_m4D_m1296.07 5 20479 35689 14229 775008
si6_m4D_m1296.05 5 23133 30273 63458 100930
si6_m4D_m1296.09 5 36693 33040 775685 117955
si6_m4D_m1296.00 5 1000002 1000001 1000003 1000002
si6_m4D_m1296.08 5 10630 44475 90157 91625
si6_m4D_m1296.04 5 20378 26372 68317 80992
si6_m4D_m1296.06 5 18607 16858 129185 344438
si6_m4D_m1296.01 5 1000003 1000002 1000002 1000002
si6_m4D_m1296.03 5 503125 464066 479967 472372
si6_r001_m200.05 7 2331 106 39 31
si6_r001_m200.09 7 1385 464 5859 821
si6_r001_m200.07 7 30 41 57 147
si6_r001_m200.02 7 719 297 568 1459
si6_r001_m200.01 7 679 1511 662 308107
si6_r001_m200.00 7 185 50 32 2004
si6_r001_m200.04 7 5543 58 1625 258
si6_r001_m200.06 7 39 40 88 108
si6_r001_m200.08 7 50 41 33 1124
si6_r001_m200.03 7 35 322 62487 35
si4_b06_m400.06 3 5 9 6 9
si4_b06_m400.07 3 5 6 10 8
si4_b06_m400.09 3 5 8 6 7
si4_b06_m400.01 3 5 6 7 7
si4_b06_m400.04 3 5 8 7 7
si4_b06_m400.03 3 5 6 7 8
si4_b06_m400.00 3 7 7 8 8
si4_b06_m400.05 3 6 6 10 8
si4_b06_m400.08 3 5 8 7 8
si4_b06_m400.02 3 5 6 7 8
si2_m4Dr6_m256.06 6 39 54 347 535
si2_m4Dr6_m256.05 6 20 650 637 206
si2_m4Dr6_m256.09 6 51 132 520 1000000
si2_m4Dr6_m256.00 6 48 139 45034 81
si2_m4Dr6_m256.07 6 11 11747 1049 1000000
si2_m4Dr6_m256.04 6 26 218 131 1290
si2_m4Dr6_m256.02 6 17 16 234 128
si2_m4Dr6_m256.01 6 18 7817 9913 377
si2_m4Dr6_m256.08 6 146 925 70 781
si2_m4Dr6_m256.03 6 51 109 20 2837
si6_r01_m200.04 7 1481 2165 2654 3673
si6_r01_m200.08 7 956 3586 5795 9491
si6_r01_m200.02 7 2842 3765 2200 4039
si6_r01_m200.09 7 4993 11173 11902 5888
si6_r01_m200.07 7 1275 4840 5313 5147
si6_r01_m200.00 7 1304 4435 14039 1632
si6_r01_m200.01 7 12107 1916 2442 5067
si6_r01_m200.03 7 3132 3048 14519 2369
si6_r01_m200.05 7 3589 2247 2617 17225
si6_r01_m200.06 7 3819 2779 1618 4272
si2_b03m_m800.03 4 628 453 1000001 1442
si2_b03m_m800.02 4 583 472860 1000000 483
si2_b03m_m800.09 4 464 1000000 1000000 1000000
si2_b03m_m800.04 4 501 454 1000000 831
si2_b03m_m800.06 4 622 1000000 850 1000000
si2_b03m_m800.05 4 558 726 1000001 1000000
si2_b03m_m800.01 4 470 626 799 1000001
si2_b03m_m800.08 4 482 1000000 1945 3302
si2_b03m_m800.07 4 470 1000000 1000000 1000001
si2_b03m_m800.00 4 448 64270 1200 1000000
si2_r001_m200.06 7 914 6 6 3
si2_r001_m200.01 7 2357 24524 8 282
si2_r001_m200.02 7 3491 385 4 11
si2_r001_m200.07 7 44 10736 521 349012
si2_r001_m200.04 7 164 73981 36 2
si2_r001_m200.05 7 84953 1000000 6 6
si2_r001_m200.09 7 480180 490 362 2822
si2_r001_m200.03 7 3336 325 5 4
si2_r001_m200.00 7 19 5 4 1
si2_r001_m200.08 7 676736 325 456 10
si6_b03m_m800.01 4 1920 2008 1746 1000002
si6_b03m_m800.08 4 1643 1930 2379 2139
si6_b03m_m800.03 4 1628 1923 2881 1890
si6_b03m_m800.00 4 2147 1817 1664 1975
si6_b03m_m800.04 4 1956 1646 1791 1921
si6_b03m_m800.05 4 1618 2063 1965 1848
si6_b03m_m800.07 4 1764 1679 2415 1825
si6_b03m_m800.06 4 2101 1721 2608 1846
si6_b03m_m800.09 4 1891 1687 2898 3658
si6_b03m_m800.02 4 1976 1898 1940 2035
si4_r005_m200.00 7 918 1070 6882 815
si4_r005_m200.08 7 441 1539 382 462
si4_r005_m200.02 7 610 4980 957 295
si4_r005_m200.05 7 324 451 558 254
si4_r005_m200.06 7 291 449 352 657
si4_r005_m200.04 7 1785 500 226 1168
si4_r005_m200.07 7 841 639 2270 335
si4_r005_m200.09 7 559 1077 1095 2478
si4_r005_m200.01 7 811 950 2488 620
si4_r005_m200.03 7 600 481 4990 12040
si6_b09m_m400.03 4 262 303 208 366
si6_b09m_m400.07 4 274 217 278 283
si6_b09m_m400.00 4 299 252 205 350
si6_b09m_m400.04 4 253 217 301 273
si6_b09m_m400.06 4 265 207 276 272
si6_b09m_m400.08 4 225 356 296 334
si6_b09m_m400.02 4 250 266 282 266
si6_b09m_m400.05 4 258 226 329 428
si6_b09m_m400.09 4 405 235 257 212
si6_b09m_m400.01 4 251 206 336 269
si2_b09_m200.08 3 1 1 1 1
si2_b09_m200.01 3 1 1 1 1
si2_b09_m200.06 3 1 1 1 1
si2_b09_m200.05 3 1 1 1 1
si2_b09_m200.00 3 1 1 1 1
si2_b09_m200.02 3 1 1 1 1
si2_b09_m200.03 3 1 1 1 1
si2_b09_m200.04 3 1 1 1 2
si2_b09_m200.09 3 1 1 1 1
si2_b09_m200.07 3 1 1 1 1
si6_r01_m600.02 7 1000001 1000000 1000001 1000001
si6_r01_m600.06 7 1000001 1000001 1000001 1000001
si6_r01_m600.09 7 835555 1000001 936509 1000000
si6_r01_m600.08 7 1000001 1000001 658565 1000001
si6_r01_m600.05 7 1000000 1000001 1000001 1000001
si6_r01_m600.07 7 1000001 1000001 1000001 1000001
si6_r01_m600.03 7 1000000 1000000 1000001 893030
si6_r01_m600.00 7 502603 1000000 1000001 1000001
si6_r01_m600.01 7 1000000 1000000 1000000 1000000
si6_r01_m600.04 7 1000001 1000001 1000000 1000000
si2_b06_m200.02 3 1 1 1 1
si2_b06_m200.00 3 0 1 1 1
si2_b06_m200.01 3 1 1 1 1
si2_b06_m200.06 3 1 1 1 1
si2_b06_m200.09 3 1 1 1 1
si2_b06_m200.07 3 1 1 1 1
si2_b06_m200.04 3 0 1 1 1
si2_b06_m200.08 3 1 1 1 1
si2_b06_m200.03 3 1 1 1 1
si2_b06_m200.05 3 1 1 1 1
si6_m4Dr2_m1296.05 6 7592 8174 34923 31763
si6_m4Dr2_m1296.09 6 9214 13574 7399 25919
si6_m4Dr2_m1296.01 6 7556 20484 7902 9059
si6_m4Dr2_m1296.06 6 7735 13164 23131 331298
si6_m4Dr2_m1296.07 6 9684 13066 22805 99599
si6_m4Dr2_m1296.03 6 7089 7720 8735 9677
si6_m4Dr2_m1296.04 6 7764 12562 15956 11500
si6_m4Dr2_m1296.00 6 7982 26273 9936 287159
si6_m4Dr2_m1296.08 6 7381 8832 8806 53014
si6_m4Dr2_m1296.02 6 8704 7785 9779 11323
si2_b09m_m800.09 4 733 1451 1730 676
si2_b09m_m800.07 4 477 561 937 5213
si2_b09m_m800.00 4 457 519 627 1093
si2_b09m_m800.04 4 490 494 583 501
si2_b09m_m800.02 4 506 567 2698 1692
si2_b09m_m800.05 4 595 539 12013 592
si2_b09m_m800.03 4 475 645 1642 1774
si2_b09m_m800.08 4 467 534 533 1376
si2_b09m_m800.06 4 495 834 680 31828
si2_b09m_m800.01 4 465 479 12881 2004
si4_b03_m400.01 3 7 6 7 7
si4_b03_m400.02 3 5 6 9 7
si4_b03_m400.05 3 7 8 10 7
si4_b03_m400.07 3 7 8 9 7
si4_b03_m400.06 3 5 6 7 7
si4_b03_m400.00 3 5 6 7 11
si4_b03_m400.03 3 5 6 7 7
si4_b03_m400.04 3 5 9 9 7
si4_b03_m400.09 3 5 8 9 7
si4_b03_m400.08 3 7 6 7 7
si2_b03_m200.05 3 1 1 1 1
si2_b03_m200.09 3 0 1 1 1
si2_b03_m200.07 3 0 1 1 1
si2_b03_m200.01 3 0 1 1 1
si2_b03_m200.08 3 1 1 1 1
si2_b03_m200.02 3 1 1 1 1
si2_b03_m200.04 3 1 1 1 1
si2_b03_m200.03 3 1 1 1 1
si2_b03_m200.06 3 1 1 1 1
si2_b03_m200.00 3 1 1 1 1
si4_r005_m600.00 7 218002 668363 40314 481281
si4_r005_m600.02 7 43982 145889 299007 595598
si4_r005_m600.08 7 205659 314061 173741 293557
si4_r005_m600.05 7 107595 50443 240093 53990
si4_r005_m600.07 7 90232 794555 245376 262567
si4_r005_m600.06 7 600558 214467 264482 166630
si4_r005_m600.01 7 191794 534467 97164 122935
si4_r005_m600.04 7 167146 111150 464307 325237
si4_r005_m600.03 7 89085 81090 127276 83021
si4_r005_m600.09 7 51622 117376 754028 450520
si4_b09_m400.05 3 8 6 8 8
si4_b09_m400.03 3 5 11 8 7
si4_b09_m400.00 3 8 8 10 6
si4_b09_m400.07 3 5 7 9 8
si4_b09_m400.01 3 5 7 6 7
si4_b09_m400.06 3 8 12 13 9
si4_b09_m400.04 3 5 11 11 9
si4_b09_m400.02 3 7 8 7 7
si4_b09_m400.08 3 8 7 6 9
