family total k=0 k=1 k=2 k=3 larger unknown
scalefree 100 80 0 0 0 14 6
LV 793 279 26 21 22 285 160
images-CVIU11 200 2 3 2 8 179 6
meshes-CVIU11 200 1 0 0 0 157 42
largerLV 3038 255 74 16 35 2309 349
phase 200 22 0 0 0 0 178
