instance family sequential-induced-except-0-pf sequential-induced-except-0-pd sequential-d2-induced-except-0-pf sequential-d2-induced-except-0-pd sequential-induced-except-1-pf sequential-induced-except-1-pd sequential-d2-induced-except-1-pf sequential-d2-induced-except-1-pd sequential-induced-except-2-pf sequential-induced-except-2-pd sequential-d2-induced-except-2-pf sequential-d2-induced-except-2-pd sequential-induced-except-3-pf sequential-induced-except-3-pd sequential-d2-induced-except-3-pf sequential-d2-induced-except-3-pd
si6_b03_m800.09 3 996665 9933 996665 18242 996665 9933 996665 14131 996665 9933 996665 9933 996665 9933 996665 9933
si6_b03_m800.08 3 996665 10022 996665 18221 996665 10022 996665 14114 996665 10022 996665 10022 996665 10022 996665 10022
si4_m4D_m1296.09 5 995099 24051 994521 60362 995655 20304 995794 37438 996253 17849 996253 17849 996552 16444 996552 16444
si4_m4D_m1296.06 5 995240 23684 994452 58654 995765 19986 995832 36777 996402 17562 996402 17562 996622 16282 996622 16282
si4_m4D_m1296.05 5 995278 23800 994596 58572 995810 19814 995784 37233 996347 17708 996347 17708 996712 16662 996712 16662
si4_m4D_m1296.00 5 997040 9745 997076 18976 997174 9561 997174 14581 997252 9809 997252 9809 997295 9759 997295 9759
si4_m4D_m1296.03 5 997011 9264 996970 18542 997133 9468 997133 14872 997170 9613 997170 9613 997235 9921 997235 9921
si4_m4D_m1296.04 5 995379 22561 994701 56310 995885 19116 995916 35114 996409 17169 996409 17169 996704 16197 996704 16197
si4_m4D_m1296.08 5 997052 9325 997114 18439 997129 9066 997129 14053 997297 9467 997297 9467 997212 9747 997212 9747
si4_m4D_m1296.02 5 997139 9577 996929 19222 997055 9804 997055 15527 997216 9965 997216 9965 997229 10244 997229 10244
si4_m4D_m1296.01 5 995234 23688 994470 58808 995811 20168 995875 37262 996328 17545 996328 17545 996681 16571 996681 16571
si4_m4D_m1296.07 5 995319 23275 994549 58506 995761 20061 995876 36379 996386 17754 996386 17754 996580 16625 996580 16625
si6_b03m_m400.03 4 990522 17704 987295 32387 993026 16032 993026 17822 993107 15713 993107 15713 993249 16029 993249 16029
si6_b03m_m400.01 4 990400 17258 987304 32340 992756 15762 992756 16973 992894 15304 992894 15304 993295 15823 993295 15823
si6_b03m_m400.09 4 990116 16016 986129 33467 992869 15124 992869 16296 992980 15159 992980 15159 993301 15242 993301 15242
si6_b03m_m400.08 4 990637 19510 987343 33764 992929 16469 992929 18056 993162 16548 993162 16548 993338 16680 993338 16680
si6_b03m_m400.07 4 990283 18630 986139 35167 992878 16523 992878 18239 993025 16107 993025 16107 993169 16558 993169 16558
si6_b03m_m400.02 4 990227 18188 985596 37775 992889 16116 992889 17846 993125 16187 993125 16187 993334 16658 993334 16658
si6_b03m_m400.05 4 989982 16630 985129 33283 992729 16162 992729 17634 993092 15824 993092 15824 993222 16208 993222 16208
si6_b03m_m400.00 4 989615 18519 985023 32351 992923 15548 992923 16833 993162 15377 993162 15377 993136 15866 993136 15866
si6_b03m_m400.06 4 989938 17776 986350 31782 992900 15934 992900 17465 993073 15639 993073 15639 993160 16015 993160 16015
si6_b03m_m400.04 4 990028 19407 986076 33601 992764 15980 992764 17694 993017 16152 993017 16152 993235 15977 993235 15977
si4_m4D_m256.07 5 979751 74715 977994 173215 983900 63633 983561 102136 985152 61918 985152 61918 985907 61601 985907 61601
si4_m4D_m256.06 5 979231 79726 978548 171396 983200 66472 983335 105921 984932 61444 984932 61444 985815 60921 985815 60921
si4_m4D_m256.05 5 980019 81480 979350 178253 983497 66745 983530 111093 984974 63694 984974 63694 985779 63594 985779 63594
si4_m4D_m256.08 5 981077 72745 981035 156440 984138 64954 984078 106649 985376 62292 985376 62292 985975 61992 985975 61992
si4_m4D_m256.04 5 981974 74756 981485 160487 984596 65222 984477 113113 985836 63320 985836 63320 986064 63384 986064 63384
si4_m4D_m256.09 5 981740 76322 980757 164378 984086 66374 984234 117712 985273 63889 985273 63889 986094 64027 986094 64027
si4_m4D_m256.02 5 980857 74023 980477 156952 984074 65806 984030 108932 985582 61983 985582 61983 986038 61416 986038 61416
si4_m4D_m256.00 5 981774 75205 981252 161159 984212 66512 984163 117880 985495 64263 985495 64263 985969 63461 985969 63461
si4_m4D_m256.03 5 980480 81301 979717 173852 983493 68857 983617 118459 985210 63727 985210 63727 985916 63120 985916 63120
si4_m4D_m256.01 5 981519 72635 981260 156022 984237 64538 983962 107692 985444 62647 985444 62647 985905 62574 985905 62574
si6_b06m_m800.07 4 994812 17979 993470 36195 996197 15381 996177 18667 996506 15230 996506 15809 996456 15674 996456 15695
si6_b06m_m800.04 4 995036 17840 992913 37833 996346 15954 996301 19561 996546 15516 996503 16641 996509 15830 996509 15960
si6_b06m_m800.01 4 994400 19412 992676 38280 996212 15736 996204 18991 996545 15443 996545 16230 996594 15528 996594 15590
si6_b06m_m800.00 4 994653 18385 992635 37893 996191 15628 996192 18750 996467 15490 996467 16349 996584 15680 996584 15737
si6_b06m_m800.05 4 994709 18902 993027 36661 996217 16472 996162 19531 996467 15821 996467 16710 996492 15780 996492 15844
si6_b06m_m800.08 4 995075 19132 993157 36168 996177 16622 996338 19756 996464 16038 996464 16950 996590 16428 996590 16476
si6_b06m_m800.09 4 994793 19042 992651 37195 996257 16154 996313 19982 996433 15538 996433 16398 996604 15935 996604 15979
si6_b06m_m800.02 4 994925 18016 993103 33699 996305 15616 996252 18709 996492 15601 996492 16350 996569 15437 996569 15446
si6_b06m_m800.03 4 994705 17786 991726 41491 996178 15627 996306 18497 996507 15529 996507 16264 996477 15456 996477 15529
si6_b06m_m800.06 4 994835 17849 993233 35737 996178 15529 996190 18784 996563 15334 996563 16257 996429 15778 996429 15835
si4_r001_m400.08 7 991153 43317 991176 109249 991044 43166 991044 44796 991263 43462 991263 43462 991254 44044 991254 44044
si4_r001_m400.06 7 991082 42878 990738 104685 991068 43144 991068 45784 991153 43300 991153 43467 991234 44314 991234 44353
si4_r001_m400.02 7 991060 43215 990575 105516 991195 43601 991195 47581 991251 43510 991251 43850 991342 44363 991342 44363
si4_r001_m400.00 7 990994 43835 991153 112258 991075 44087 991075 46303 991355 44338 991355 44338 991161 44353 991161 44353
si4_r001_m400.04 7 991129 43140 990619 106981 991321 43281 991321 46358 991230 43573 991230 43745 991303 44401 991303 44401
si4_r001_m400.03 7 991053 42515 990976 108124 991128 42753 991128 45439 991254 43350 991254 43398 991162 44177 991162 44177
si4_r001_m400.09 7 990964 42104 990890 105712 991206 42035 991206 44786 991365 42979 991365 42979 991341 43771 991341 43771
si4_r001_m400.05 7 991034 41696 991156 99741 991189 41151 991189 42656 991284 41737 991284 41737 991390 41658 991390 41658
si4_r001_m400.01 7 991091 41233 990941 96170 991268 41413 991268 43869 991331 41771 991331 41825 991137 41833 991137 41833
si4_r001_m400.07 7 991041 43543 990907 106653 991288 43551 991288 46172 991186 43664 991186 43790 991249 43845 991249 43845
si2_m4Dr6_m1296.00 6 994278 16111 994112 50061 995127 15446 995127 21239 995308 16764 995308 16855 995364 17326 995364 17326
si2_m4Dr6_m1296.01 6 994359 15049 993850 46208 995133 14928 995133 20995 995119 16559 995119 16603 995331 17498 995331 17498
si2_m4Dr6_m1296.09 6 994008 14576 993469 47713 994833 15381 994833 21070 995161 16896 995161 17037 995299 18063 995299 18063
si2_m4Dr6_m1296.06 6 994076 14631 993057 47084 994846 14552 994846 19651 995219 16047 995219 16163 995343 17315 995343 17315
si2_m4Dr6_m1296.03 6 993346 17648 992117 56705 994509 16138 994509 23184 994974 17605 994974 17695 995189 18910 995189 18910
si2_m4Dr6_m1296.02 6 994405 16223 994099 53368 995073 16157 995073 22341 995308 16846 995308 16846 995318 17690 995318 17690
si2_m4Dr6_m1296.05 6 994228 15129 994032 48598 994934 14864 994934 18942 995216 15679 995216 15701 995324 16738 995324 16738
si2_m4Dr6_m1296.08 6 993888 16936 993274 53446 994921 16249 994921 23492 995244 17197 995244 17277 995146 18562 995146 18562
si2_m4Dr6_m1296.04 6 994393 16616 994274 52154 995088 15770 995088 22665 995237 16867 995237 16907 995205 17667 995205 17667
si2_m4Dr6_m1296.07 6 994440 16224 993958 49444 995209 15732 995209 21739 995277 16410 995277 16416 995233 17365 995233 17365
si2_b03_m800.07 3 992517 22163 992517 46266 992517 22163 992517 34031 992517 22163 992517 22163 992517 22163 992517 22163
si2_b03_m800.08 3 992517 22162 992517 46558 992517 22162 992517 34371 992517 22162 992517 22162 992517 22162 992517 22162
si2_b03_m800.04 3 992517 22114 992517 46504 992517 22114 992517 34322 992517 22114 992517 22114 992517 22114 992517 22114
si2_b03_m800.05 3 992517 21985 992517 46088 992517 21985 992517 33872 992517 21985 992517 21985 992517 21985 992517 21985
si2_b03_m800.09 3 992517 22029 992517 46429 992517 22029 992517 34251 992517 22029 992517 22029 992517 22029 992517 22029
si2_b03_m800.00 3 992517 22123 992517 46214 992517 22123 992517 34003 992517 22123 992517 22123 992517 22123 992517 22123
si2_b03_m800.02 3 992517 22024 992517 46435 992517 22024 992517 34225 992517 22024 992517 22024 992517 22024 992517 22024
si2_b03_m800.03 3 992517 21974 992517 46390 992517 21974 992517 34179 992517 21974 992517 21974 992517 21974 992517 21974
si2_b03_m800.01 3 992517 22011 992517 46411 992517 22011 992517 34194 992517 22011 992517 22011 992517 22011 992517 22011
si2_b03_m800.06 3 992517 22181 992517 46266 992517 22181 992517 34056 992517 22181 992517 22181 992517 22181 992517 22181
si4_b03m_m200.05 4 975230 42954 968122 95421 981158 38689 981158 44316 981807 38556 981807 38556 981944 39528 981944 39528
si4_b03m_m200.02 4 971986 37547 963671 75071 980599 32932 980599 34433 981349 32169 981349 32169 982068 35031 982068 35031
si4_b03m_m200.04 4 970627 42249 963374 77998 980310 33565 980310 35907 981456 34773 981456 34773 981723 36112 981723 36112
si4_b03m_m200.07 4 970681 46414 959913 77985 981123 36405 981123 39386 981782 36297 981782 36330 982301 39522 982301 39522
si4_b03m_m200.00 4 976080 42766 970899 71429 981151 36433 981151 41290 982268 38119 982268 38119 981866 39177 981866 39177
si4_b03m_m200.06 4 972816 36664 962642 73986 980731 35841 980731 37861 981840 36574 981840 36574 982108 37989 982108 37989
si4_b03m_m200.03 4 975707 43863 971369 68277 981985 39023 981985 41724 982394 39272 982394 39272 982321 39011 982321 39011
si4_b03m_m200.09 4 973005 40400 964133 63150 980754 34695 980754 35588 981786 35534 981786 35534 982305 37250 982305 37250
si4_b03m_m200.08 4 971067 45320 959541 73420 981084 35898 981084 39290 981904 35868 981904 35868 982127 36962 982127 36962
si4_b03m_m200.01 4 967989 37016 963723 71717 981200 30934 981200 32417 981870 32183 981870 32183 981986 34351 981986 34351
si2_b06m_m200.04 4 960565 88720 955679 170939 969488 101894 969467 130215 969764 102940 969764 110917 969321 103647 969321 103647
si2_b06m_m200.03 4 960957 94903 951873 175381 968896 108620 968968 134604 969551 112995 969551 121226 969771 115116 969771 115144
si2_b06m_m200.08 4 964670 119677 956615 243013 968576 118776 968469 147737 969908 122558 969908 133971 970230 126981 970230 128140
si2_b06m_m200.06 4 958805 101158 957233 242876 968124 83879 968124 104556 969099 88526 969099 95881 969260 90949 969260 90959
si2_b06m_m200.05 4 947282 85327 896807 222705 966885 90186 966599 112562 968639 100207 968639 113320 968943 104352 968943 105501
si2_b06m_m200.02 4 957924 93473 956059 226517 966608 86086 966761 104097 968083 89039 968083 92339 969098 94273 969098 94278
si2_b06m_m200.00 4 952582 85218 948367 243984 968102 66336 967301 78406 968359 71121 968359 73599 969277 77320 969277 77324
si2_b06m_m200.01 4 959729 79081 958931 145534 969727 90617 969727 104531 969450 90902 969450 92145 969309 91923 969309 91923
si2_b06m_m200.09 4 961873 96148 961313 228625 969067 92083 969067 117381 968861 94373 968861 99179 969309 95634 969309 95634
si2_b06m_m200.07 4 948076 84775 945962 201563 968386 80137 968386 98059 968994 81663 968994 82977 969381 84081 969381 84081
si6_m4Dr4_m625.05 6 994164 24314 992956 59545 995069 22300 995069 30636 995402 22359 995402 22474 995551 22299 995551 22308
si6_m4Dr4_m625.09 6 993798 24124 992555 60730 995011 22521 995011 31145 995477 22366 995477 22519 995457 22239 995457 22239
si6_m4Dr4_m625.04 6 993748 23639 992641 59654 995137 21890 995137 30489 995363 21713 995363 21768 995478 22064 995478 22064
si6_m4Dr4_m625.00 6 994497 23691 994137 56089 995397 22291 995397 32126 995543 22019 995543 22142 995837 22297 995837 22297
si6_m4Dr4_m625.08 6 994144 24024 993477 56576 995147 22417 995147 31429 995503 22354 995503 22482 995647 22458 995647 22458
si6_m4Dr4_m625.06 6 993595 24843 992132 62153 994830 22972 994830 31610 995294 22765 995294 22836 995523 22666 995523 22666
si6_m4Dr4_m625.01 6 994475 23592 993880 54669 995283 22012 995283 31528 995508 22094 995508 22187 995669 22374 995669 22374
si6_m4Dr4_m625.03 6 994834 24016 994149 56460 995367 22092 995367 31533 995433 22160 995433 22288 995657 21893 995657 21893
si6_m4Dr4_m625.07 6 994901 23365 994393 54052 995401 21414 995401 30902 995649 21569 995649 21681 995703 22047 995703 22047
si6_m4Dr4_m625.02 6 993983 24919 992717 61799 995023 22760 995023 31859 995427 22523 995427 22557 995421 22893 995421 22893
si4_b03_m200.06 3 982562 50251 982562 96595 982562 50251 982562 72837 982562 50251 982562 50251 982562 50251 982562 50251
si4_b03_m200.02 3 982562 50212 982562 96575 982562 50212 982562 72980 982562 50212 982562 50212 982562 50212 982562 50212
si4_b03_m200.07 3 982562 50161 982562 96568 982562 50161 982562 72988 982562 50161 982562 50161 982562 50161 982562 50161
si4_b03_m200.04 3 982562 50536 982562 96766 982562 50536 982562 73111 982562 50536 982562 50536 982562 50536 982562 50536
si4_b03_m200.03 3 982562 50161 982562 96379 982562 50161 982562 72790 982562 50161 982562 50161 982562 50161 982562 50161
si4_b03_m200.05 3 982562 49985 982562 96449 982562 49985 982562 72839 982562 49985 982562 49985 982562 49985 982562 49985
si4_b03_m200.09 3 982562 50521 982562 96765 982562 50521 982562 73150 982562 50521 982562 50521 982562 50521 982562 50521
si4_b03_m200.01 3 982562 50292 982562 96630 982562 50292 982562 73019 982562 50292 982562 50292 982562 50292 982562 50292
si4_b03_m200.00 3 982562 50229 982562 96533 982562 50229 982562 72905 982562 50229 982562 50229 982562 50229 982562 50229
si4_b03_m200.08 3 982562 50225 982562 96751 982562 50225 982562 73150 982562 50225 982562 50225 982562 50225 982562 50225
si2_b03_m400.03 3 984838 43616 984838 90665 984838 43616 984838 66823 984838 43616 984838 43616 984838 43616 984838 43616
si2_b03_m400.06 3 984838 43562 984838 90624 984838 43562 984838 66810 984838 43562 984838 43562 984838 43562 984838 43562
si2_b03_m400.07 3 984838 43476 984838 90476 984838 43476 984838 66685 984838 43476 984838 43476 984838 43476 984838 43476
si2_b03_m400.01 3 984838 43446 984838 90492 984838 43446 984838 66689 984838 43446 984838 43446 984838 43446 984838 43446
si2_b03_m400.05 3 984838 43503 984838 90503 984838 43503 984838 66757 984838 43503 984838 43503 984838 43503 984838 43503
si2_b03_m400.09 3 984838 43581 984838 90584 984838 43581 984838 66809 984838 43581 984838 43581 984838 43581 984838 43581
si2_b03_m400.02 3 984838 43584 984838 90596 984838 43584 984838 66814 984838 43584 984838 43584 984838 43584 984838 43584
si2_b03_m400.00 3 984838 43605 984838 90641 984838 43605 984838 66899 984838 43605 984838 43605 984838 43605 984838 43605
si2_b03_m400.08 3 984838 43598 984838 90644 984838 43598 984838 66828 984838 43598 984838 43598 984838 43598 984838 43598
si2_b03_m400.04 3 984838 43730 984838 90802 984838 43730 984838 66943 984838 43730 984838 43730 984838 43730 984838 43730
si4_b09_m200.02 3 982562 139280 982562 294357 982562 139280 982562 269487 982562 139280 982562 177438 982562 139280 982562 158588
si4_b09_m200.01 3 982562 139098 982562 293812 982562 139098 982562 269054 982562 139098 982562 177150 982562 139098 982562 158219
si4_b09_m200.00 3 982562 139334 982562 294187 982562 139334 982562 269443 982562 139334 982562 177154 982562 139334 982562 158610
si4_b09_m200.09 3 982562 139768 982562 295767 982562 139768 982562 271941 982562 139768 982562 177968 982562 139768 982562 159117
si4_b09_m200.08 3 982562 138975 982562 293692 982562 138975 982562 268836 982562 138975 982562 176845 982562 138975 982562 158149
si4_b09_m200.04 3 982562 139865 982562 294450 982562 139865 982562 269455 982562 139865 982562 177570 982562 139865 982562 158934
si4_b09_m200.06 3 982562 139444 982562 294350 982562 139444 982562 269462 982562 139444 982562 177473 982562 139444 982562 158651
si4_b09_m200.05 3 982562 139883 982562 294422 982562 139883 982562 269426 982562 139883 982562 177752 982562 139883 982562 159147
si4_b09_m200.07 3 982562 139305 982562 294096 982562 139305 982562 269353 982562 139305 982562 177404 982562 139305 982562 158620
si4_b09_m200.03 3 982562 139264 982562 293724 982562 139264 982562 268847 982562 139264 982562 177477 982562 139264 982562 158738
si4_m4Dr4_m256.05 6 980549 60599 978414 137498 984834 56500 984834 79268 985663 58333 985663 59005 986009 60514 986009 60514
si4_m4Dr4_m256.09 6 982043 63042 981130 138164 985007 58532 985007 83195 985787 60372 985787 60651 986188 62516 986188 62516
si4_m4Dr4_m256.01 6 983719 48981 982528 125992 985769 52358 985769 66708 986094 54493 986094 55012 986466 56165 986466 56165
si4_m4Dr4_m256.03 6 984322 58186 983937 135202 985899 55248 985899 78225 986080 56843 986080 56912 986263 58224 986263 58224
si4_m4Dr4_m256.06 6 982254 57967 980314 133549 985171 54465 985171 75970 985983 56834 985983 57280 986274 58324 986274 58324
si4_m4Dr4_m256.07 6 982652 64099 979147 141824 985129 61331 985129 93153 985815 62992 985815 65210 986245 64508 986245 64508
si4_m4Dr4_m256.00 6 984176 59382 983893 143881 985965 58334 985965 84621 986075 59525 986075 59525 986395 60334 986395 60334
si4_m4Dr4_m256.02 6 981972 65535 979638 142497 985047 61053 985047 94038 985871 61687 985871 62919 986057 63005 986057 63005
si4_m4Dr4_m256.08 6 983362 53347 982647 130168 985847 54680 985847 75522 986135 56816 986135 57681 985969 57792 985969 57792
si4_m4Dr4_m256.04 6 983275 61734 982650 143891 985694 55199 985694 79911 986287 56908 986287 57397 986153 58538 986153 58538
si2_m4D_m625.01 5 989563 46996 989564 123395 990000 46443 990000 97411 990144 46131 990144 46131 990429 46080 990429 46080
si2_m4D_m625.00 5 986154 53976 986224 138937 988064 45545 988108 83773 989538 42841 989538 42841 989963 43247 989963 43247
si2_m4D_m625.08 5 989467 46953 989429 123330 990004 45847 990004 96463 989999 45819 989999 45819 990249 45919 990249 45919
si2_m4D_m625.04 5 986293 53634 985956 135258 988046 44981 988340 81744 989630 42778 989630 42778 990054 43342 990054 43342
si2_m4D_m625.09 5 989473 47032 989293 123572 989887 46277 989887 96864 990078 46276 990078 46276 990277 45845 990277 45845
si2_m4D_m625.02 5 986698 53134 986695 139786 988646 45170 988747 84549 989646 43471 989646 43471 990352 43858 990352 43858
si2_m4D_m625.05 5 989513 47007 989453 123450 989982 46115 989982 97002 989928 45908 989928 45908 990269 45705 990269 45705
si2_m4D_m625.06 5 989603 46789 989297 123696 989885 46424 989885 97143 990059 46008 990059 46008 990393 45896 990393 45896
si2_m4D_m625.07 5 989656 47105 989353 124072 990018 46049 990018 96874 990075 45815 990075 45815 990213 45897 990213 45897
si2_m4D_m625.03 5 987538 48530 987536 127593 989097 44829 988904 85324 989710 44166 989710 44166 990334 44289 990334 44289
si4_b09_m800.03 3 995665 38202 995665 85376 995665 38202 995665 79119 995665 38202 995665 49970 995665 38202 995665 44172
si4_b09_m800.02 3 995665 38339 995665 85720 995665 38339 995665 79359 995665 38339 995665 50078 995665 38339 995665 44168
si4_b09_m800.09 3 995665 37977 995665 85577 995665 37977 995665 79487 995665 37977 995665 49846 995665 37977 995665 43881
si4_b09_m800.06 3 995665 38337 995665 85449 995665 38337 995665 79151 995665 38337 995665 49916 995665 38337 995665 44188
si4_b09_m800.04 3 995665 38134 995665 85377 995665 38134 995665 79147 995665 38134 995665 49871 995665 38134 995665 44017
si4_b09_m800.05 3 995665 38283 995665 85697 995665 38283 995665 79641 995665 38283 995665 50092 995665 38283 995665 44144
si4_b09_m800.00 3 995665 38561 995665 85532 995665 38561 995665 79229 995665 38561 995665 50309 995665 38561 995665 44482
si4_b09_m800.01 3 995665 38403 995665 85656 995665 38403 995665 79333 995665 38403 995665 50261 995665 38403 995665 44357
si4_b09_m800.07 3 995665 38346 995665 85515 995665 38346 995665 79245 995665 38346 995665 50047 995665 38346 995665 44173
si4_b09_m800.08 3 995665 38294 995665 85461 995665 38294 995665 79279 995665 38294 995665 50015 995665 38294 995665 44131
si2_m4Dr4_m256.05 6 972768 77218 970513 195403 975467 79601 975467 122367 975991 84351 975991 85773 976559 88474 976559 88474
si2_m4Dr4_m256.02 6 970410 79903 969361 224480 975740 67113 975740 93415 976384 73574 976384 74301 976613 78625 976613 78625
si2_m4Dr4_m256.00 6 972443 84725 970617 229574 975431 81440 975431 132607 976243 85833 976243 87387 976633 90916 976633 90916
si2_m4Dr4_m256.07 6 972810 88586 971271 231939 975667 85828 975667 144797 976209 89830 976209 91794 976589 93989 976589 94718
si2_m4Dr4_m256.03 6 973884 62312 973483 188856 976043 71074 976043 93022 976621 76175 976621 76788 976536 78727 976536 78727
si2_m4Dr4_m256.06 6 971573 60846 970907 185308 975303 66847 975303 92271 976437 73148 976437 73583 976498 77500 976498 77500
si2_m4Dr4_m256.04 6 974721 75122 973715 207474 975978 76849 975978 110769 976472 82082 976472 82708 976508 85102 976508 85102
si2_m4Dr4_m256.09 6 971391 67758 968966 171634 975480 67161 975480 90794 976237 71341 976237 72881 976561 76003 976561 76003
si2_m4Dr4_m256.01 6 970707 76693 970296 214030 974830 78195 974830 120138 976242 83215 976242 83215 976303 88163 976303 88163
si2_m4Dr4_m256.08 6 974121 85270 972750 226925 975918 82557 975918 138279 976271 87927 976271 89597 976621 91066 976621 91066
si6_m4Dr2_m256.04 6 985374 50906 983396 105881 988196 47137 987934 63408 988811 47633 988811 47713 989226 48137 989226 48137
si6_m4Dr2_m256.08 6 985142 54214 982500 115509 987977 50427 987949 71183 988734 49878 988734 50170 989229 50338 989229 50338
si6_m4Dr2_m256.00 6 986537 54420 983115 108941 988382 50874 988382 77363 989084 50416 989084 50658 989405 50377 989405 50377
si6_m4Dr2_m256.07 6 984969 57308 982787 120043 987555 52463 987331 74829 988669 51232 988669 51354 989250 51095 989250 51095
si6_m4Dr2_m256.01 6 986125 53248 985136 109766 988277 49542 988277 68403 989017 49181 989017 49181 989215 48857 989215 48857
si6_m4Dr2_m256.09 6 986299 52451 984242 107255 988140 48945 988140 69644 989192 49462 989192 49618 989419 49731 989419 49731
si6_m4Dr2_m256.03 6 985673 54391 983207 119766 988233 49395 988169 71148 989246 48660 989246 48733 989392 48893 989392 48893
si6_m4Dr2_m256.05 6 986710 56299 983967 119517 988274 51068 988303 76171 989114 50204 989114 50586 989377 50551 989377 50551
si6_m4Dr2_m256.02 6 986805 53577 985685 111142 989134 48399 989134 72156 989566 47918 989566 47972 989395 48692 989395 48692
si6_m4Dr2_m256.06 6 985999 52459 984333 107546 988241 49357 988241 73788 989071 49418 989071 49418 989292 49808 989292 49808
si6_b06_m800.00 3 996665 19459 996665 31738 996665 19459 996665 27657 996665 19459 996665 23542 996665 19459 996665 19459
si6_b06_m800.05 3 996665 19816 996665 31996 996665 19816 996665 27921 996665 19816 996665 23844 996665 19816 996665 19816
si6_b06_m800.02 3 996665 19687 996665 31968 996665 19687 996665 27896 996665 19687 996665 23814 996665 19687 996665 19687
si6_b06_m800.07 3 996665 19796 996665 32036 996665 19796 996665 27986 996665 19796 996665 23862 996665 19796 996665 19796
si6_b06_m800.08 3 996665 19582 996665 31841 996665 19582 996665 27764 996665 19582 996665 23655 996665 19582 996665 19582
si6_b06_m800.09 3 996665 19666 996665 31893 996665 19666 996665 27842 996665 19666 996665 23783 996665 19666 996665 19666
si6_b06_m800.06 3 996665 19695 996665 31855 996665 19695 996665 27794 996665 19695 996665 23763 996665 19695 996665 19695
si6_b06_m800.01 3 996665 19620 996665 31895 996665 19620 996665 27837 996665 19620 996665 23734 996665 19620 996665 19620
si6_b06_m800.04 3 996665 19529 996665 31774 996665 19529 996665 27708 996665 19529 996665 23639 996665 19529 996665 19529
si6_b06_m800.03 3 996665 19461 996665 31730 996665 19461 996665 27681 996665 19461 996665 23601 996665 19461 996665 19461
si4_b09m_m800.06 4 994742 24939 991545 73298 995371 26385 995448 34224 995354 26824 995452 29374 995432 27031 995432 27792
si4_b09m_m800.01 4 994204 28018 992957 74044 995446 26356 995451 34846 995434 26777 995402 30364 995540 27097 995540 28039
si4_b09m_m800.02 4 994588 26445 993646 72600 995374 27539 995427 37356 995448 28210 995439 31437 995438 29024 995438 29998
si4_b09m_m800.08 4 994658 26364 993051 75206 995341 27178 995340 35413 995540 27222 995483 30011 995546 27898 995546 28564
si4_b09m_m800.04 4 994717 27057 992800 72100 995420 27058 995275 36481 995463 27699 995434 30576 995481 27956 995481 28893
si4_b09m_m800.03 4 994695 25906 991873 73515 995557 26839 995201 36357 995471 27578 995485 30515 995586 28060 995586 28869
si4_b09m_m800.09 4 994528 27451 993938 73690 995460 27703 995354 36778 995527 27791 995341 31042 995506 28150 995506 28712
si4_b09m_m800.05 4 994715 24659 991081 70490 995345 25526 995351 32174 995479 25678 995518 27875 995414 26246 995414 26832
si4_b09m_m800.00 4 994503 28139 993431 73470 995471 26740 995341 35319 995487 27409 995446 30394 995471 27769 995471 28529
si4_b09m_m800.07 4 994631 24435 991873 66917 995496 24903 995326 31586 995601 25867 995506 27984 995417 25909 995417 26561
si2_b06_m800.04 3 992517 43787 992517 79554 992517 43787 992517 67629 992517 43787 992517 55696 992517 43787 992517 43787
si2_b06_m800.07 3 992517 43994 992517 80003 992517 43994 992517 68082 992517 43994 992517 55943 992517 43994 992517 43994
si2_b06_m800.02 3 992517 43663 992517 79566 992517 43663 992517 67639 992517 43663 992517 55787 992517 43663 992517 43663
si2_b06_m800.00 3 992517 43644 992517 79561 992517 43644 992517 67617 992517 43644 992517 55780 992517 43644 992517 43644
si2_b06_m800.03 3 992517 43858 992517 79604 992517 43858 992517 67713 992517 43858 992517 55836 992517 43858 992517 43858
si2_b06_m800.05 3 992517 44079 992517 79936 992517 44079 992517 68012 992517 44079 992517 55963 992517 44079 992517 44079
si2_b06_m800.09 3 992517 44040 992517 80038 992517 44040 992517 68139 992517 44040 992517 56120 992517 44040 992517 44040
si2_b06_m800.01 3 992517 44035 992517 79686 992517 44035 992517 67811 992517 44035 992517 55907 992517 44035 992517 44035
si2_b06_m800.08 3 992517 43369 992517 79251 992517 43369 992517 67382 992517 43369 992517 55547 992517 43369 992517 43369
si2_b06_m800.06 3 992517 43967 992517 79761 992517 43967 992517 67888 992517 43967 992517 55945 992517 43967 992517 43967
si6_m4D_m256.03 5 984867 68050 983511 137877 987204 58006 986817 96726 988000 54113 988000 54113 989061 52872 989061 52872
si6_m4D_m256.08 5 984125 70966 982567 142890 986601 62259 986025 103899 988051 54837 988051 54837 988827 53445 988827 53445
si6_m4D_m256.07 5 984744 67346 983441 135652 986749 58924 986591 99078 988356 54330 988356 54330 988971 52293 988971 52293
si6_m4D_m256.00 5 984523 67394 983147 136997 986615 58061 986452 92471 988229 54045 988229 54045 988962 51912 988962 51912
si6_m4D_m256.01 5 985030 65778 983407 133617 987136 57404 987088 93713 988248 53676 988248 53676 988862 52395 988862 52395
si6_m4D_m256.05 5 984590 68490 983424 138289 986789 59702 986671 100377 988126 55105 988126 55105 988997 52922 988997 52922
si6_m4D_m256.09 5 988401 46196 988031 90283 989275 43663 989275 64817 989480 43403 989480 43403 989482 44300 989482 44300
si6_m4D_m256.04 5 984574 65708 983240 133793 986896 57336 986524 95299 988369 53567 988369 53567 989059 52209 989059 52209
