instance family sequential-induced-except-0-pf sequential-induced-except-0-pd sequential-d2-induced-except-0-pf sequential-d2-induced-except-0-pd sequential-induced-except-1-pf sequential-induced-except-1-pd sequential-d2-induced-except-1-pf sequential-d2-induced-except-1-pd sequential-induced-except-2-pf sequential-induced-except-2-pd sequential-d2-induced-except-2-pf sequential-d2-induced-except-2-pd sequential-induced-except-3-pf sequential-induced-except-3-pd sequential-d2-induced-except-3-pf sequential-d2-induced-except-3-pd
F.10 1 988449 157440 988449 157454 989532 153019 989532 153043 989971 147779 989971 147847 990270 142456 990270 142541
A.17 1 987056 61858 984667 150797 988891 58191 988891 62995 989398 57350 989398 57596 989251 58167 989251 58167
B.15 1 995533 21171 994970 55163 996204 19924 996204 20464 996353 19838 996353 19839 996416 19944 996416 19944
E.03 1 988279 151384 988279 152782 989436 146130 989436 148472 990020 141097 990020 143803 990457 137249 990457 139347
F.19 1 988080 157436 988080 157812 989805 149511 989805 150664 990496 145912 990496 147319 990699 144242 990699 145222
A.12 1 986585 60840 984375 140208 988704 57693 988704 61633 989211 57370 989211 57464 989467 57642 989467 57642
B.08 1 995528 20466 994989 54170 996133 19578 996133 20050 996423 19367 996423 19376 996460 19660 996460 19660
F.17 1 987503 128512 987503 128716 989505 119930 989505 120632 990407 115884 990407 117082 990711 113122 990711 114468
C.04 1 997326 12976 997018 34549 997739 12038 997739 12222 997893 11998 997893 11998 997877 12151 997877 12151
B.19 1 995574 21481 994949 57384 996212 19851 996212 20335 996379 19892 996379 19892 996453 19840 996453 19840
C.16 1 997291 12896 996960 34901 997615 12081 997615 12308 997830 12006 997830 12010 997824 12188 997824 12188
C.17 1 997312 12520 997058 34259 997785 11702 997785 11970 997843 11946 997843 11946 997898 11971 997898 11971
E.08 1 989715 139827 989715 142267 990270 135622 990270 138749 990623 133502 990623 136130 990965 131787 990965 133673
F.13 1 989080 114462 989080 116036 989814 110569 989814 113284 990709 108051 990709 111057 990827 106808 990827 109386
A.20 1 986216 60406 983800 141404 988670 57642 988670 62116 989447 57062 989447 57235 989352 57620 989352 57620
E.02 1 989920 136494 989920 139018 990345 133093 990345 136159 990471 129764 990471 132686 990903 128166 990903 130145
E.16 1 989991 140944 989991 140969 990333 137888 990333 137957 990628 134746 990628 134803 991118 133858 991118 133922
B.12 1 995569 20696 995099 55535 996247 19719 996247 20312 996375 19469 996375 19482 996456 19731 996456 19731
F.09 1 989181 138819 989181 138905 990110 132262 990110 132483 990521 129132 990521 129529 990903 128018 990903 128471
A.10 1 987109 60558 984578 143494 988582 57948 988582 62670 989382 58302 989382 58356 989602 59499 989602 59499
F.18 1 987596 134169 987596 134185 989281 130156 989281 130232 989945 127200 989945 127348 990566 125468 990566 125648
E.10 1 986520 133577 986520 133640 988942 130624 988942 130837 989992 126209 989992 126641 990613 123768 990613 124351
A.06 1 987192 61102 985037 147119 988931 58330 988931 62762 989398 58047 989398 58188 989597 58058 989597 58058
E.15 1 989739 158533 989739 159516 990068 154746 990068 155934 990471 150565 990471 151740 990681 147259 990681 148242
E.07 1 988834 163957 988834 166648 989774 158695 989774 162894 990129 154200 990129 158254 990552 151598 990552 154635
E.11 1 990226 165108 990226 170151 990488 161072 990488 166063 990845 157855 990845 161302 991050 157390 991050 159196
B.03 1 995604 20466 995287 55778 996206 19905 996206 20453 996445 20001 996445 20009 996464 19799 996464 19799
B.18 1 995515 20798 994893 54299 996240 19485 996240 19996 996467 19816 996467 19816 996579 19564 996579 19564
C.03 1 997338 12954 996991 34215 997783 11677 997783 11927 997877 11926 997877 11931 997846 12105 997846 12105
A.18 1 987136 60907 984812 150165 989319 57717 989319 63061 989451 58106 989451 58162 989493 58753 989493 58753
F.15 1 986628 141688 986628 142588 989309 137120 989309 139381 990377 133127 990377 136393 990783 130915 990783 133784
A.19 1 987212 59996 985550 143564 989011 56243 989011 60132 989434 56582 989434 56593 989366 56849 989366 56849
C.12 1 997332 12466 997030 33425 997625 11919 997625 12201 997887 11760 997887 11760 997913 11749 997913 11749
B.05 1 995385 20959 995071 55704 996128 19867 996128 20517 996418 19702 996418 19711 996429 20020 996429 20020
A.13 1 986617 59700 984556 144704 988817 56731 988771 60058 989215 56886 989215 56999 989329 57163 989329 57163
A.05 1 986551 59608 983833 138203 988676 57413 988676 61254 989274 57789 989274 57844 989478 58381 989478 58381
F.01 1 986269 146258 986269 146926 989036 138743 989036 140264 989895 134584 989895 136793 990801 132996 990801 134929
E.20 1 988706 161093 988706 162211 989511 156744 989511 158611 989934 152636 989934 154561 990272 148404 990272 149954
B.13 1 995463 20837 994915 54893 996164 19655 996164 20280 996440 19583 996440 19583 996377 19674 996377 19674
A.14 1 987521 61458 985657 151890 988946 59438 988946 63700 989296 58897 989296 59023 989457 59413 989457 59413
B.04 1 995711 20612 995046 54421 996247 19666 996247 20201 996395 19698 996395 19699 996526 19727 996526 19727
C.13 1 997320 12897 997099 33990 997764 12033 997764 12289 997807 11887 997807 11892 997855 12135 997855 12135
F.07 1 987841 139049 987841 139212 989816 137942 989816 138307 990417 135737 990417 136363 990843 134170 990843 134839
E.13 1 988770 134322 988770 134833 989427 129250 989427 130227 989889 126119 989889 127181 990346 124148 990346 125076
E.14 1 990090 141930 990090 146465 990849 139418 990849 144891 990912 136376 990912 140814 991062 135229 991062 137979
A.11 1 986658 61157 984481 148211 988592 57538 988610 61747 989253 57332 989253 57515 989322 57979 989322 57979
si6_r005_m400.07 7 993261 174243 993261 284363 993380 174537 993380 237270 993291 174691 993291 204394 993358 174826 993358 186479
si6_r005_m400.00 7 993350 173558 993350 283881 993341 174116 993341 236003 993361 173426 993361 202738 993374 173688 993374 185296
si6_r005_m400.01 7 993323 174998 993323 284626 993294 175218 993294 237922 993334 175672 993334 205400 993424 175263 993424 187343
si6_r005_m400.02 7 993368 175723 993368 291860 993275 176014 993275 243347 993341 176103 993341 208994 993472 176674 993472 190350
si6_r005_m400.04 7 993461 174592 993461 280820 993398 173839 993398 232852 993221 174397 993221 200800 993289 174228 993289 184195
si6_r005_m400.05 7 993312 172635 993312 277680 993457 172718 993457 229897 993378 172704 993378 198329 993350 172514 993350 182177
si6_r005_m400.09 7 993502 176200 993502 287326 993507 175993 993507 240554 993228 175669 993228 206841 993269 175903 993269 188962
si6_r005_m400.03 7 993267 175054 993267 285120 993257 174186 993257 235352 993285 174631 993285 203680 993282 174719 993282 186206
si6_r005_m400.06 7 993358 176557 993358 289910 993331 176725 993331 243439 993366 176759 993366 209831 993350 177456 993350 191466
si6_r005_m400.08 7 993186 175771 993186 286754 993346 175897 993346 240474 993266 175269 993266 206929 993448 175722 993448 189281
si6_m4Dr6_m625.04 6 994366 24475 993566 59999 995381 23214 995381 32839 995544 23134 995544 23252 995695 23430 995695 23430
si6_m4Dr6_m625.01 6 993941 26170 992057 63960 995021 24626 995021 35588 995400 24601 995400 24739 995439 24302 995439 24314
si6_m4Dr6_m625.09 6 994411 24459 993728 59127 995273 23309 995273 32715 995525 23262 995525 23392 995464 23433 995464 23434
si6_m4Dr6_m625.07 6 994093 24385 993216 61567 995185 23008 995185 32013 995368 23452 995368 23678 995541 23531 995541 23531
si6_m4Dr6_m625.00 6 994275 24636 993126 65781 995266 22855 995266 32138 995398 22974 995398 23034 995609 23625 995609 23625
si6_m4Dr6_m625.08 6 994626 23208 994217 56869 995394 22196 995394 29967 995553 22274 995553 22370 995667 22451 995667 22462
si6_m4Dr6_m625.05 6 993979 24968 993235 59802 995065 23195 995065 32259 995538 23750 995538 23845 995630 23649 995630 23649
si6_m4Dr6_m625.06 6 993937 26170 992961 63707 995183 23749 995183 32726 995482 23758 995482 23869 995656 23742 995656 23742
si6_m4Dr6_m625.02 6 994434 24519 994040 59416 995258 22564 995258 31235 995590 22693 995590 22807 995492 23042 995492 23042
si6_m4Dr6_m625.03 6 993922 25067 992264 63464 995216 23618 995216 32570 995373 23402 995373 23514 995641 23663 995641 23663
si4_m4Dr2_m625.09 6 993129 25049 992623 59952 994050 23425 994050 36000 994116 24064 994116 24259 994295 24674 994295 24674
si4_m4Dr2_m625.04 6 993096 25144 993162 62079 994128 23716 994128 36033 994296 24498 994296 24498 994217 24910 994217 24910
si4_m4Dr2_m625.02 6 992131 26108 991038 62401 993571 24235 993547 33923 993881 24571 993881 24632 994257 25015 994257 25015
si4_m4Dr2_m625.07 6 991738 26538 990168 66112 993343 25180 993303 37521 993697 25511 993697 25610 994138 26277 994138 26277
si4_m4Dr2_m625.00 6 992189 26856 991596 65383 993645 24269 993552 35844 994081 24633 994081 24693 994202 25028 994202 25028
si4_m4Dr2_m625.08 6 992819 26012 992219 62213 993792 24520 993792 35996 994116 25106 994116 25347 994310 25543 994310 25543
si4_m4Dr2_m625.01 6 992662 26028 991961 65299 993748 24403 993748 36382 994162 25032 994162 25100 994329 25492 994329 25492
si4_m4Dr2_m625.06 6 992118 26262 991775 64395 993640 23697 993640 33966 994012 24132 994012 24155 994198 24609 994198 24609
si4_m4Dr2_m625.03 6 993395 25621 992853 57645 993996 24429 993996 38762 994234 24690 994234 24690 994292 25150 994292 25150
si4_m4Dr2_m625.05 6 993114 27412 992753 66241 993962 23919 993962 37049 994215 24378 994215 24378 994416 24900 994416 24900
si2_r001_m600.00 7 990078 49112 989932 121057 990115 49169 990115 51745 990123 48983 990123 49219 990057 49063 990057 49063
si2_r001_m600.06 7 990193 44304 989917 98790 990057 44415 990057 46137 989798 44311 989798 44420 990022 44143 990022 44143
si2_r001_m600.04 7 989960 49299 989982 128059 990088 49533 990088 54128 990093 49486 990093 49603 990018 49915 990018 49915
si2_r001_m600.07 7 989843 47292 989908 117085 990042 47458 990042 50624 989981 47648 989981 47990 990056 47552 990056 47552
si2_r001_m600.02 7 990034 48757 989925 122220 990058 48634 990058 52304 990009 48927 990009 49020 990111 48449 990111 48449
