instance family sequential-nofilter-except-0 sequential-nofilter-except-1 sequential-nofilter-except-2 sequential-nofilter-except-3
si2_m4Dr2_m256.01 6 18 207 1270 1309
si2_m4Dr2_m256.02 6 87 87 404 257
si6_r001_m600.09 7 1020 16367 1000002 28212
si6_r001_m600.00 7 1000000 1000001 911331 114954
si6_r001_m600.07 7 99123 7388 1000001 2618
si6_r001_m600.03 7 21283 22002 874205 747101
si6_r001_m600.01 7 38910 9361 1870 286472
si6_r001_m600.06 7 4771 3216 783002 2450
si6_r001_m600.08 7 187294 621618 1000001 1000001
si6_r001_m600.02 7 26999 5221 34134 1000001
si6_r001_m600.04 7 862681 226080 1000000 1000000
si6_r001_m600.05 7 1713 45549 1000000 1000001
si2_m4Dr2_m1296.05 6 1811 2066 17204 125227
si2_m4Dr2_m1296.09 6 15385 6462 202980 1000001
si2_m4Dr2_m1296.02 6 348768 798684 1000001 1000001
si2_m4Dr2_m1296.07 6 1000000 101889 1000001 1000002
si2_m4Dr2_m1296.00 6 2516 2591 2697 28166
si2_m4Dr2_m1296.06 6 1000001 1000001 1000000 1000001
si2_m4Dr2_m1296.08 6 2240 1000001 1000001 70526
si2_m4Dr2_m1296.01 6 124366 1000001 361256 1000001
si2_m4Dr2_m1296.03 6 3225 50218 52908 1000000
si2_m4Dr2_m1296.04 6 15419 2268 2753 6227
si4_b06m_m800.08 4 1092 1255 1283 1180
si4_b06m_m800.00 4 1144 1388 1267 1490
si4_b06m_m800.06 4 1048 1245 1254 1183
si4_b06m_m800.05 4 1150 1235 1056 1202
si4_b06m_m800.04 4 1107 1074 1411 1000000
si4_b06m_m800.09 4 1289 1113 1028 1484
si4_b06m_m800.01 4 1237 1215 1073 1327
si4_b06m_m800.07 4 1035 1255 1192 1131
si4_b06m_m800.03 4 1234 10891 2694 1580
si4_b06m_m800.02 4 1362 2051 1058 1289
si6_m4Dr2_m625.08 6 947 893 813 12970
si6_m4Dr2_m625.09 6 821 983 2776 6257
si6_m4Dr2_m625.05 6 6592 873 5209 4699
si6_m4Dr2_m625.01 6 886 982 1425 3241
si6_m4Dr2_m625.06 6 919 950 1850 1499
si6_m4Dr2_m625.00 6 861 830 1109 7957
si6_m4Dr2_m625.03 6 976 1282 947 9025
si6_m4Dr2_m625.02 6 1746 2387 17884 101609
si6_m4Dr2_m625.07 6 871 1073 4166 4100
si6_m4Dr2_m625.04 6 1091 973 6223 1000001
si2_m4D_m1296.01 5 953 8226 14942 17588
si2_m4D_m1296.08 5 1804 6577 15252 137631
si2_m4D_m1296.06 5 2671 9362 17502 21191
si2_m4D_m1296.05 5 2324 13494 7245 33188
si2_m4D_m1296.09 5 8074 10305 25010 28100
si2_m4D_m1296.03 5 890 8857 16654 21733
si2_m4D_m1296.07 5 2921 7925 15533 99580
si2_m4D_m1296.02 5 2896 8651 43119 125436
si2_m4D_m1296.04 5 3324 23525 78246 96810
si2_m4D_m1296.00 5 1996 13229 19946 14263
si4_b03_m800.05 3 19 26 22 23
si4_b03_m800.00 3 13 19 20 22
si4_b03_m800.08 3 13 27 35 23
si4_b03_m800.09 3 20 19 20 23
si4_b03_m800.03 3 14 21 30 22
si4_b03_m800.02 3 13 17 22 24
si4_b03_m800.04 3 20 17 22 24
si4_b03_m800.01 3 19 29 23 24
si4_b03_m800.06 3 19 29 23 39
si4_b03_m800.07 3 13 17 33 23
si6_m4D_m1296.02 5 9295 25392 22329 122450
si6_m4D_m1296.07 5 84794 467113 196283 1000005
si6_m4D_m1296.05 5 20985 31671 61654 111476
si6_m4D_m1296.09 5 1000002 1000002 1000006 1000004
si6_m4D_m1296.00 5 67935 27115 443685 30159
si6_m4D_m1296.08 5 8625 49988 102419 91773
si6_m4D_m1296.04 5 20066 27590 68477 84827
si6_m4D_m1296.06 5 43640 26620 188720 734133
si6_m4D_m1296.01 5 21975 24078 462827 1000007
si6_m4D_m1296.03 5 169731 1000004 76897 76435
si6_r001_m200.05 7 19956 159 49 145
si6_r001_m200.09 7 6174 960 89023 48079
si6_r001_m200.07 7 29 41 99 321
si6_r001_m200.02 7 2776 1341 990 3099
si6_r001_m200.01 7 1910 22636 152375 1000000
si6_r001_m200.00 7 507 53 32 7271
si6_r001_m200.04 7 19283 58 2258 417
si6_r001_m200.06 7 38 42 96 95
si6_r001_m200.08 7 67 41 44 3089
si6_r001_m200.03 7 37 2881 1000000 1175
si4_b06_m400.06 3 3 10 6 6
si4_b06_m400.07 3 4 7 9 15
si4_b06_m400.09 3 4 7 5 7
si4_b06_m400.01 3 4 4 5 6
si4_b06_m400.04 3 4 7 8 6
si4_b06_m400.03 3 3 6 11 7
si4_b06_m400.00 3 4 13 5 7
si4_b06_m400.05 3 3 8 7 9
si4_b06_m400.08 3 5 5 10 12
si4_b06_m400.02 3 3 8 6 9
si2_m4Dr6_m256.06 6 33 79 444 2125
si2_m4Dr6_m256.05 6 21 826 1120 366
si2_m4Dr6_m256.09 6 59 99 481 514
si2_m4Dr6_m256.00 6 85 225 1000000 93
si2_m4Dr6_m256.07 6 11 1000000 6840 4313
si2_m4Dr6_m256.04 6 26 267 178 5701
si2_m4Dr6_m256.02 6 16 13 243 218
si2_m4Dr6_m256.01 6 17 1000000 138873 972
si2_m4Dr6_m256.08 6 215 3791 72 623
si2_m4Dr6_m256.03 6 65 150 20 155094
si6_r01_m200.04 7 1495 2262 2870 4885
si6_r01_m200.08 7 966 4011 8340 19822
si6_r01_m200.02 7 3073 5480 2289 4649
si6_r01_m200.09 7 7873 19680 20810 7350
si6_r01_m200.07 7 1368 6871 7169 7848
si6_r01_m200.00 7 1506 5153 34643 1739
si6_r01_m200.01 7 22465 2877 2515 7535
si6_r01_m200.03 7 4299 3364 27905 2569
si6_r01_m200.05 7 5093 2786 2909 43123
si6_r01_m200.06 7 4331 2990 1846 5561
si2_b03m_m800.03 4 479 449 1000000 1610
si2_b03m_m800.02 4 563 663698 1000001 515
si2_b03m_m800.09 4 458 1000000 1000000 1000000
si2_b03m_m800.04 4 6012 438 1000000 748
si2_b03m_m800.06 4 480 1000000 819 1000001
si2_b03m_m800.05 4 527 734 1000000 1000001
si2_b03m_m800.01 4 561 564 879 1000000
si2_b03m_m800.08 4 455 1417 1647 1374
si2_b03m_m800.07 4 463 1000000 1000000 1000000
si2_b03m_m800.00 4 442 1000000 1000001 4007
si2_r001_m200.06 7 71088 5 7 40
si2_r001_m200.01 7 17131 78 5 3
si2_r001_m200.02 7 34784 158 4 4
si2_r001_m200.07 7 118 370449 17 105
si2_r001_m200.04 7 71542 1000000 39 2
si2_r001_m200.05 7 1000000 3630 4 5
si2_r001_m200.09 7 19 8 8 2
si2_r001_m200.03 7 16725 380 4 4
si2_r001_m200.00 7 174253 4 3 1
si2_r001_m200.08 7 61740 5 1978 2
si6_b03m_m800.01 4 2101 2163 2021 1000002
si6_b03m_m800.08 4 1637 2040 2841 5593
si6_b03m_m800.03 4 1665 1967 3164 2024
si6_b03m_m800.00 4 2156 1833 1751 2087
si6_b03m_m800.04 4 1902 1708 1806 1909
si6_b03m_m800.05 4 1620 2072 7351 16011
si6_b03m_m800.07 4 1818 1761 2532 1842
si6_b03m_m800.06 4 2052 1811 3385 1892
si6_b03m_m800.09 4 1872 1796 3721 15434
si6_b03m_m800.02 4 2012 1847 1000002 2101
si4_r005_m200.00 7 2278 1970 17771 1255
si4_r005_m200.08 7 652 3208 607 699
si4_r005_m200.02 7 835 9432 1540 393
si4_r005_m200.05 7 411 490 661 345
si4_r005_m200.06 7 243 572 423 1007
si4_r005_m200.04 7 4306 982 275 3438
si4_r005_m200.07 7 1247 728 9089 477
si4_r005_m200.09 7 1139 1639 3177 4674
si4_r005_m200.01 7 1103 1378 5649 950
si4_r005_m200.03 7 990 651 35755 31030
si6_b09m_m400.03 4 260 261 207 381
si6_b09m_m400.07 4 232 213 308 307
si6_b09m_m400.00 4 315 247 203 382
si6_b09m_m400.04 4 212 214 232 273
si6_b09m_m400.06 4 399 205 346 468
si6_b09m_m400.08 4 222 291 320 345
si6_b09m_m400.02 4 211 289 265 265
si6_b09m_m400.05 4 256 222 268 534
si6_b09m_m400.09 4 291 232 255 210
si6_b09m_m400.01 4 250 204 358 266
si2_b09_m200.08 3 0 1 1 2
si2_b09_m200.01 3 0 1 1 4
si2_b09_m200.06 3 0 1 5 0
si2_b09_m200.05 3 0 1 2 1
si2_b09_m200.00 3 0 1 3 0
si2_b09_m200.02 3 0 1 1 1
