instance family sequential-nofilter-except-0 sequential-nofilter-except-1 sequential-nofilter-except-2 sequential-nofilter-except-3
g11-g43 2 1000000 1000000 1000000 56
g11-g44 2 101499 557771 16605 751
g11-g45 2 97315 525146 15536 573
g11-g46 2 1047 3670 6202 8431
g11-g47 2 1024 3532 6010 8124
g11-g48 2 1983 6724 11997 16829
g11-g49 2 1000000 1000000 1000000 1000000
g11-g50 2 1000000 1000000 1000000 1000000
g12-g20 2 130 1514 3414 4044
g12-g21 2 0 1 1 1
g12-g23 2 6 23 35 60
g12-g26 2 4 10 21 35
g12-g27 2 102 768 1437 2347
g12-g29 2 112 538 1161 1726
g12-g30 2 73 468 1085 1679
g12-g31 2 272 1018 1955 2857
g12-g32 2 1 1 1 1
g12-g38 2 23 215 10675 19500
g12-g40 2 1 1 1 1
g12-g43 2 141 1000000 1000000 1000000
g12-g44 2 267 760 1463 2046
g12-g45 2 192 742 1433 1986
g12-g46 2 8 119 377 714
g12-g47 2 8 131 371 814
g12-g48 2 18 248 670 1137
g12-g50 2 1000000 5143 156 1000000
g13-g15 2 2 1 114 7220
g13-g20 2 716 1926 20 1
g13-g21 2 0 1 1 1
g13-g23 2 9 38 26389 51141
g13-g25 2 1 3 4 241
g13-g26 2 5 12 55 2610
g13-g27 2 716569 254076 3 524
g13-g29 2 35 80 135 548
g13-g30 2 33 77 129 540
g13-g31 2 70 135 233 871
g13-g32 2 1 1 1 1
g13-g38 2 4 4 7 10
g13-g40 2 1 1 1 1
g13-g43 2 378549 1000000 1000000 6
g13-g44 2 80 165 254 409
g13-g45 2 64 153 247 347
g13-g46 2 11 46 93 156
g13-g47 2 11 43 78 115
g13-g48 2 17 59 102 148
g13-g49 2 38 518254 39294 1000000
g13-g50 2 206899 1000000 1000000 2467
g14-g15 2 17 4542 1000000 1000000
g14-g20 2 4936 11394 10 1
g14-g21 2 0 1 1 1
g14-g23 2 29 100586 1000000 3
g14-g25 2 1 3 1446 1000000
g14-g26 2 7 2316 33245 3
g14-g27 2 1000000 1000000 6 50
g14-g29 2 60 115 177 232
g14-g30 2 42 111 171 225
g14-g31 2 74 192 265 403
g14-g32 2 1 1 1 1
g14-g38 2 4 6 8 12
g14-g40 2 1 2 1 1
g14-g43 2 6686 3873 11894 468
g14-g44 2 45 190 299 392
g14-g45 2 43 200 290 382
g14-g46 2 19 68 158 166
g14-g47 2 19 68 115 165
g14-g48 2 26 114 161 202
g14-g49 2 1000000 344 193 2
g14-g50 2 11 1000000 1 1
g15-g20 2 27 881 1743 1
g15-g21 2 0 1 1 1
g15-g23 2 8 17 33 849780
g15-g25 2 1 2 4 5
g15-g26 2 3 8 15 23
g15-g27 2 875 689329 184253 158979
g15-g29 2 19 54 101 147
g15-g30 2 19 52 97 194
g15-g31 2 34 102 170 229
g15-g32 2 1 1 1 1
g15-g38 2 3 7 7 14
g15-g40 2 1 2 1 1
g15-g43 2 556536 470089 1000000 2866
g15-g44 2 25 116 253 257
g15-g45 2 25 130 202 252
g15-g46 2 7 32 54 88
g15-g47 2 7 24 71 88
g15-g48 2 12 51 78 118
g15-g49 2 45 160 434530 1000000
g15-g50 2 9341 11260 1000000 2
g16-g20 2 1000000 999642 6203 1000000
g16-g21 2 1 1 1 1
g16-g22 2 2 7 17 21
g16-g23 2 141 685 1854 4184
g16-g25 2 6 13 33 85
g16-g26 2 86 678 1471 4258
g16-g27 2 542520 1000000 1000000 1000000
g16-g28 2 2 3 5 7
g16-g29 2 393 461 1000 1512
g16-g30 2 359 453 946 1395
g16-g31 2 750 889 2291 3645
g16-g32 2 1 1 1 1
g16-g33 2 5 11 13 19
g16-g37 2 21 72 284 866
g16-g38 2 3 9 10 20
g16-g40 2 1 2 1 2
g16-g43 2 1000000 1000000 1000000 1000000
g16-g44 2 749 1088 3684 6717
g16-g45 2 739 1083 3490 6188
g16-g46 2 69 197 265 386
g16-g47 2 68 200 273 380
g16-g48 2 107 203 391 569
g16-g49 2 1000000 1000000 1000000 1000000
g16-g50 2 1000000 1000000 1000000 1000000
g17-g18 2 0 0 0 0
g17-g19 2 299 1318 2601 4589
g17-g20 2 1 1 1 1
g17-g21 2 1 2 2 1
g17-g22 2 18111 45371 80345 176854
g17-g23 2 1000000 1000000 1000000 1000000
g17-g24 2 4 11 17 23
g17-g25 2 144169 321087 508952 756366
g17-g26 2 1000000 1000000 1000000 1000000
g17-g27 2 1000000 1000000 1000000 1000000
g17-g28 2 2 5 8 11
g17-g29 2 1 1 1 1
g17-g30 2 1 1 1 1
g17-g31 2 1 2 1 1
g17-g32 2 1 2 1 1
g17-g33 2 509 1128 1745 2359
g17-g34 2 89 187 283 377
g17-g35 2 349 905 1316 1754
g17-g36 2 295 622 876 1077
g17-g37 2 1000000 1000000 1000000 1000000
g17-g38 2 1000000 1000000 1000000 1000000
g17-g39 2 26 40 33 33
g17-g40 2 2 2 1 1
g17-g41 2 540 1451 2278 2922
g17-g42 2 124031 495630 1000000 1000000
g17-g43 2 346 88460 4569 4
g17-g44 2 1 3 2 2
g17-g45 2 2 2 2 2
g17-g46 2 1 1 2 2
g17-g47 2 1 2 2 3
g17-g48 2 1 2 34 1
g17-g49 2 2 7 83 1000000
g17-g50 2 69 14253 2 3399
g18-g19 2 227 822 1288 1834
g18-g20 2 3 1 1 1
g18-g21 2 1 2 2 1
g18-g22 2 6476 21250 37075 51450
g18-g23 2 325532 980484 1000000 1000000
g18-g24 2 4 11 18 24
g18-g25 2 26022 88683 155105 224140
g18-g26 2 1000000 1000000 1000000 1000000
g18-g27 2 1000000 1000000 1000000 1000000
g18-g28 2 2 6 9 12
g18-g29 2 1359 177 58 7
g18-g30 2 187 1380 5 29
g18-g31 2 3 10 23 6
g18-g32 2 1 1 2 1
g18-g33 2 649 1380 1813 2370
g18-g34 2 109 203 323 416
g18-g35 2 421 972 1470 1966
g18-g36 2 393 756 1066 1394
g18-g37 2 1000000 1000000 1000000 1000000
g18-g38 2 1000000 1000000 1000000 1000000
g18-g39 2 708 1520 2318 3069
g18-g40 2 2 2 2 2
g18-g41 2 597 1547 2276 3031
g18-g42 2 73009 256397 417264 579132
g18-g43 2 1000000 1000000 1000000 1000000
g18-g44 2 118071 4287 955 67
g18-g45 2 105823 468 494 15
g18-g46 2 1000000 1000000 1000000 1000000
g18-g47 2 1000000 1000000 1000000 1000000
g18-g48 2 1000000 1000000 1000000 1000000
g18-g49 2 1000000 1000000 1000000 1000000
g18-g50 2 1000000 1000000 1000000 1000000
g19-g20 2 1000000 217652 508 1
g19-g21 2 2 1 1 1
g19-g22 2 16 22 32 58
g19-g23 2 1432 2396 3922 6129
g19-g25 2 39 74 87 117
g19-g26 2 4514 8765 14799 22049
g19-g27 2 1000000 1000000 1000000 1000000
g19-g28 2 2 5 8 10
g19-g29 2 1000000 1000000 1000000 1000000
g19-g30 2 1000000 1000000 1000000 1000000
g19-g31 2 1000000 1000000 1000000 1000000
g19-g32 2 2 2 1 1
g19-g33 2 9 17 33 35
g19-g35 2 7 9 13 18
g19-g37 2 2833 4665 11442 15349
g19-g38 2 1000000 1000000 1000000 1000000
g19-g40 2 2 2 2 2
g19-g41 2 8 22 33 44
g19-g42 2 48 124 186 245
g19-g43 2 1000000 1000000 1000000 1000000
g19-g44 2 1000000 1000000 1000000 1000000
g19-g45 2 1000000 1000000 1000000 1000000
g19-g46 2 133477 265506 778950 1000000
g19-g47 2 129767 257710 752997 1000000
g19-g48 2 431600 908368 1000000 1000000
g19-g49 2 1000000 1000000 1000000 1000000
g19-g50 2 1000000 1000000 1000000 1000000
g2-g10 2 0 0 0 0
g2-g11 2 0 0 0 0
g2-g12 2 0 0 0 0
g2-g13 2 0 0 0 0
g2-g14 2 0 0 0 0
g2-g15 2 0 0 0 0
g2-g16 2 0 0 0 0
g2-g17 2 0 0 0 0
g2-g18 2 0 0 0 0
g2-g19 2 0 0 0 0
g2-g20 2 0 0 0 0
g2-g21 2 0 0 0 0
g2-g22 2 0 0 0 0
g2-g23 2 0 0 0 0
g2-g24 2 18 0 0 0
g2-g25 2 0 0 0 0
g2-g26 2 0 0 0 0
g2-g27 2 0 0 0 0
g2-g28 2 0 0 0 0
g2-g29 2 0 0 0 0
g2-g3 2 1 0 0 0
g2-g30 2 0 0 0 0
g2-g31 2 0 0 0 0
g2-g32 2 0 0 0 0
g2-g33 2 0 0 0 0
g2-g34 2 0 0 0 0
g2-g35 2 0 0 0 0
g2-g36 2 0 0 0 0
g2-g37 2 0 0 0 0
g2-g38 2 0 0 0 0
g2-g39 2 0 0 0 0
g2-g4 2 0 0 0 0
g2-g40 2 0 0 0 0
g2-g41 2 0 0 0 0
g2-g42 2 0 0 0 0
g2-g43 2 0 0 0 0
g2-g44 2 0 0 0 0
g2-g45 2 0 0 0 0
g2-g46 2 0 0 0 0
g2-g47 2 0 0 0 0
g2-g48 2 0 0 0 0
g2-g49 2 0 0 0 0
g2-g5 2 0 0 0 0
g2-g50 2 0 0 0 0
g2-g6 2 0 0 0 0
g2-g7 2 0 0 0 0
g2-g8 2 0 0 0 0
g2-g9 2 0 0 0 0
g20-g21 2 1 2 1 1
g20-g23 2 4 9 14 25
g20-g26 2 4 7 11 15
g20-g27 2 26 80 104 178
g20-g29 2 5 11 18 30
g20-g30 2 5 11 18 42
g20-g31 2 10 25 43 66
g20-g32 2 1 2 1 1
g20-g38 2 2 5 13 11
g20-g40 2 1000000 1000000 1000000 1000000
g20-g43 2 15 47 85 140
g20-g44 2 15 48 86 155
g20-g45 2 15 58 80 113
g20-g48 2 6 17 26 34
g20-g50 2 1000000 1000000 1000000 1000000
g21-g27 2 7 13 27 29
g21-g32 2 1 1 2 1
g21-g40 2 110 264 2874 3028
g21-g50 2 1000000 1000000 1000000 1000000
g22-g23 2 915 25731 25808 27062
g22-g25 2 56 6583 6508 6797
g22-g26 2 20629 274415 276046 288366
g22-g27 2 1000000 1000000 1000000 1000000
g22-g28 2 2 5 7 9
g22-g29 2 87 209 264 350
g22-g30 2 86 180 294 326
g22-g31 2 111 294 389 498
g22-g32 2 2 2 3 2
g22-g33 2 6 12 17 22
g22-g37 2 98 39 307 320
g22-g38 2 4 9 13 25
g22-g40 2 2 2 2 3
g22-g43 2 1000000 1000000 1000000 1000000
g22-g44 2 92 375 518 635
g22-g45 2 93 370 509 625
g22-g46 2 57 155 219 282
g22-g47 2 57 154 218 280
g22-g48 2 67 185 258 330
g22-g49 2 1000000 1000000 1000000 1000000
g22-g50 2 1000000 1000000 492 254
g23-g27 2 52 13224 1000000 1000000
g23-g32 2 2 3 2 2
g23-g40 2 1000000 51046 4 5
g23-g50 2 5 1000000 6 3
g24-g25 2 1000000 1000000 1000000 1000000
g24-g26 2 1000000 4 5 4
g24-g27 2 12 12 8 3
g24-g28 2 4 6 9 11
g24-g29 2 1000000 1000000 1000000 1000000
g24-g30 2 1000001 1000000 1000000 1000000
g24-g31 2 1000000 1000000 1000000 1000000
g24-g32 2 2 3 2 2
g24-g33 2 1000000 1000000 1000000 1000000
g24-g35 2 1000000 1000000 1000000 1000000
g24-g36 2 1000000 1000000 1000000 1000000
g24-g37 2 1000000 11 3 3
g24-g38 2 1000000 1000000 1000000 1000000
g24-g39 2 36 49 76 100
g24-g40 2 2 2 2 2
g24-g41 2 1000000 1000000 1000000 1000000
g24-g42 2 1000000 19 19 7
g24-g43 2 21956 102 8 6
g24-g44 2 1000000 1000000 1000000 1000000
g24-g45 2 1000000 1000000 1000000 1000000
g24-g46 2 1000000 1000000 1000000 1000000
g24-g47 2 1000000 1000000 1000000 1000000
g24-g48 2 1000000 1000000 1000000 1000000
g24-g49 2 2 7 5 5
g24-g50 2 2 3 3 3
g25-g26 2 510 16090 15240 20
g25-g27 2 39679 325067 1000000 31
g25-g29 2 54 116 197 284
g25-g30 2 48 133 194 280
g25-g31 2 68 168 288 391
g25-g32 2 2 2 3 3
g25-g38 2 4 12 13 19
g25-g40 2 2 4 2 3
g25-g43 2 216624 7 150 21
g25-g44 2 52 179 308 456
g25-g45 2 51 175 301 447
g25-g46 2 14 94 171 266
g25-g47 2 14 93 195 249
g25-g48 2 23 120 211 302
g25-g49 2 688213 1000000 4 6
g25-g50 2 3 5 5 3
g26-g27 2 203 72545 1000000 1000000
g26-g32 2 2 4 2 2
g26-g40 2 3 3 3 3
g26-g50 2 1000000 449175 1000000 1000000
g27-g32 2 4 5 3 5
g27-g50 2 10 1000000 1000000 1000000
g28-g29 2 4 4 4 6
g28-g30 2 4 5 4 4
g28-g31 2 3 3 4 4
g28-g32 2 6 4 4 5
g28-g33 2 13 1000000 1000000 1000000
g28-g37 2 1000000 1000000 3066 633
g28-g38 2 1000000 1000000 1000000 1000000
g28-g40 2 4 6 4 4
g28-g43 2 1000000 1000000 19 388
g28-g44 2 7 27 8 8
g28-g45 2 7 12 8 9
g28-g46 2 6 11 8 5
g28-g47 2 6 11 6 11
g28-g48 2 7 5 5 5
g28-g49 2 1000000 1000000 4476 9
g28-g50 2 1000000 5 6 6
g29-g30 2 9 34 45 69
g29-g31 2 10 46 42 56
g29-g32 2 4 6 4 4
g29-g40 2 1000000 1000000 1000000 1000000
g29-g44 2 21 164 333 446
g29-g45 2 14 153 314 426
g29-g50 2 1000000 1000000 1000000 1000000
g3-g10 2 3 7 0 0
g3-g11 2 19 35 87 0
g3-g12 2 262 434 639 0
g3-g13 2 0 0 0 0
g3-g14 2 0 0 0 0
g3-g15 2 0 0 0 0
g3-g16 2 3 0 0 0
g3-g17 2 5 13 18 0
g3-g18 2 17 24 34 0
g3-g19 2 20 51 65 0
g3-g20 2 0 0 0 0
g3-g21 2 0 0 0 0
g3-g22 2 6 2 0 0
g3-g23 2 0 0 0 0
g3-g24 2 1 3 7 0
g3-g25 2 0 0 0 0
g3-g26 2 0 0 0 0
g3-g27 2 0 0 0 0
g3-g28 2 0 1 3 0
g3-g29 2 0 0 0 0
g3-g30 2 0 0 0 0
g3-g31 2 0 0 0 0
g3-g32 2 0 0 0 0
g3-g33 2 58 135 0 0
g3-g34 2 25 47 65 0
g3-g35 2 6 0 0 0
g3-g36 2 62 3 0 0
g3-g37 2 1 0 0 0
g3-g38 2 210 402 560 0
g3-g39 2 57 111 173 0
g3-g4 2 0 0 0 0
g3-g40 2 0 0 0 0
g3-g41 2 87 145 0 0
g3-g42 2 0 0 0 0
g3-g43 2 1 0 0 0
g3-g44 2 0 0 0 0
g3-g45 2 0 0 0 0
g3-g46 2 0 0 0 0
g3-g47 2 0 0 0 0
g3-g48 2 0 0 0 0
g3-g49 2 0 0 0 0
g3-g5 2 0 0 0 0
g3-g50 2 0 0 0 0
g3-g6 2 0 2 0 0
g3-g7 2 140 390 402 0
g3-g8 2 5 0 0 0
g3-g9 2 2 6 0 0
g30-g31 2 0 0 0 0
g30-g32 2 0 0 0 0
g30-g40 2 0 0 0 0
g30-g44 2 0 0 0 0
g30-g45 2 2 10 31 131
g30-g50 2 0 0 0 0
g31-g32 2 4 6 4 6
g31-g40 2 1000000 1000000 1000000 1000000
g31-g50 2 1000000 1000000 1000000 1000000
g33-g37 2 15 5400 14934 23765
g33-g38 2 7 24 22 29
g33-g40 2 4 4 4 4
g33-g43 2 1000000 1000000 1000000 1000000
g33-g44 2 403458 597680 1000000 1000000
g33-g45 2 347257 518220 1000000 1000000
g33-g46 2 256 683 1027 1321
g33-g47 2 251 654 1008 1316
g33-g48 2 534 1223 1986 2478
g33-g49 2 1000000 1000000 1000000 1000000
g33-g50 2 1000000 1000000 1000000 1000000
g34-g35 2 1024 2419 3368 4491
g34-g36 2 1155 2661 3060 3640
g34-g37 2 1000000 1000000 1000000 1000000
g34-g38 2 1000000 1000000 1000000 1000000
g34-g39 2 2991 4903 6569 9164
g34-g40 2 6 6 6 9
g34-g41 2 1884 5651 7018 8685
g34-g42 2 253683 942021 1000000 1000000
g34-g43 2 1000000 1000000 1000000 1000000
g34-g44 2 1000000 1000000 1000000 1000000
g34-g45 2 1000000 1000000 1000000 1000000
g34-g46 2 1000000 1000000 1000000 1000000
g34-g47 2 1000000 1000000 1000000 1000000
g34-g48 2 1000000 1000000 1000000 1000000
g34-g49 2 1000000 1000000 1000000 1000000
g34-g50 2 1000000 1000000 1000000 1000000
g35-g37 2 1000000 1000000 1000000 1000000
g35-g38 2 8 80 89 98
g35-g40 2 7 6 7 6
g35-g41 2 26 129 177 225
g35-g42 2 55427 97515 107155 182263
g35-g43 2 1000000 1000000 1000000 1000000
g35-g44 2 1000000 1000000 1000000 1000000
g35-g45 2 1000000 1000000 1000000 1000000
g35-g46 2 122 3807 3996 4160
g35-g47 2 120 3786 4018 4115
g35-g48 2 209 8202 8336 8519
g35-g49 2 1000000 1000000 1000000 1000000
g35-g50 2 1000000 1000000 1000000 1000000
g36-g37 2 20080 25668 1000000 59897
g36-g38 2 10 19 167617 168213
g36-g40 2 6 10 6 12
g36-g41 2 49 180 279 410
g36-g42 2 853 4578 6943 18629
g36-g43 2 1000000 1000000 1000000 1000000
g36-g44 2 1000000 1000000 1000000 1000000
g36-g45 2 1000000 1000000 1000000 1000000
g36-g46 2 544 1000000 1000000 1000000
g36-g47 2 534 1000000 1000000 1000000
g36-g48 2 1592 1000000 1000000 1000000
g36-g49 2 1000000 1000000 1000000 1000000
g36-g50 2 1000000 1000000 1000000 1000000
g37-g38 2 7 15 52 60
g37-g40 2 1000000 1000000 1000000 10571
g37-g43 2 1000000 1000000 1000000 1000000
g37-g44 2 5850 9673 37105 37470
g37-g45 2 5606 9325 35782 36086
g37-g46 2 418 774 2813 2891
g37-g47 2 413 779 2759 2849
g37-g48 2 721 1281 4552 4639
g37-g49 2 1115 8812 47834 1000000
g37-g50 2 1000000 1000000 1000000 1000000
g38-g40 2 1000000 1000000 6 6
g38-g43 2 18 70 253 7224
g38-g44 2 32 193 1018 1997
g38-g45 2 31 191 999 1947
g38-g50 2 1000000 1000000 1000000 32
g39-g40 2 6 6 6 6
g39-g41 2 53 168 266 361
g39-g42 2 3768 14025 23726 37285
g39-g43 2 1000000 1000000 1000000 1000000
g39-g44 2 1000000 1000000 1000000 1000000
g39-g45 2 1000000 1000000 1000000 1000000
g39-g46 2 295 855 1332 1800
g39-g47 2 288 848 1299 1753
g39-g48 2 651 2104 3313 4526
g39-g49 2 1000000 1000000 1000000 1000000
g39-g50 2 1000000 632346 1000000 1000000
g4-g10 2 0 0 0 0
g4-g11 2 0 0 0 0
g4-g12 2 0 1 2 1
g4-g13 2 2 0 0 0
g4-g14 2 1 4 0 0
g4-g15 2 0 0 0 0
g4-g16 2 0 1 2 8
g4-g20 2 42 116 0 0
g4-g21 2 0 0 0 0
g4-g22 2 2 0 0 0
g4-g23 2 0 0 0 0
g4-g25 2 0 1 0 0
g4-g26 2 0 1 1 0
g4-g27 2 0 15 0 0
g4-g28 2 0 0 1 1
g4-g29 2 6 12 19 26
g4-g30 2 6 12 31 43
g4-g31 2 13 16 26 36
g4-g32 2 0 0 0 0
g4-g33 2 0 1 2 3
g4-g37 2 6 0 0 0
g4-g38 2 0 2 1 2
g4-g40 2 0 0 0 0
g4-g41 2 0 1 5 7
g4-g42 2 40 216 0 1
g4-g43 2 21 0 1 4
g4-g44 2 7 17 45 38
g4-g45 2 12 17 27 37
g4-g46 2 5 10 15 19
g4-g47 2 8 17 23 20
g4-g48 2 5 16 17 34
g4-g49 2 324 0 0 0
g4-g5 2 0 0 0 0
g4-g50 2 0 0 0 0
g4-g6 2 0 0 0 0
g4-g7 2 0 0 1 1
g4-g9 2 0 0 0 0
g40-g50 2 247959 1000000 1000000 1000000
g41-g42 2 67 177 634 838
g41-g43 2 1000000 1000000 1000000 1000000
g41-g44 2 450029 1000000 1000000 1000000
g41-g45 2 389836 1000000 1000000 1000000
g41-g46 2 354 1013 1427 1868
g41-g47 2 347 996 1399 1828
g41-g48 2 665 2038 2856 3602
g41-g49 2 1000000 1000000 1000000 1000000
g41-g50 2 1000000 1000000 1000000 51758
g42-g43 2 1000000 1000000 1000001 1000000
g42-g44 2 220 587 811 1146
g42-g45 2 230 576 821 1120
g42-g46 2 119 306 551 636
g42-g47 2 115 305 508 608
g42-g48 2 134 358 542 715
g42-g49 2 1000000 1000000 1000000 1000000
g42-g50 2 1000000 16702 10 9
g43-g44 2 28 121 147 227
g43-g45 2 28 87 158 222
g43-g50 2 1000000 1000000 1000000 1000000
g44-g45 2 17 51 94 137
g44-g50 2 1000000 1000000 1000000 1000000
g45-g50 2 0 0 0 0
g46-g47 2 14 45 72 103
g46-g48 2 14 42 80 58
g46-g50 2 1000000 1000000 1000000 1000000
g47-g48 2 0 0 0 30
g47-g50 2 0 0 0 1000000
g48-g50 2 1000000 1000000 1000000 1000001
g49-g50 2 1000000 1000000 1000001 1000000
g5-g11 2 0 0 0 0
g5-g12 2 0 0 0 0
g5-g13 2 93 0 0 0
g5-g14 2 0 0 0 0
g5-g15 2 0 0 0 0
g5-g16 2 27 0 0 0
g5-g20 2 0 0 0 0
g5-g21 2 0 0 0 0
g5-g22 2 0 0 0 0
g5-g23 2 163 0 0 0
g5-g25 2 0 0 0 0
g5-g26 2 0 0 0 0
g5-g27 2 0 0 0 0
g5-g28 2 0 0 0 0
g5-g29 2 2 0 0 0
g5-g30 2 2 0 0 0
g5-g31 2 0 0 0 0
g5-g32 2 0 0 0 0
g5-g33 2 0 0 0 0
g5-g37 2 0 0 0 0
g5-g38 2 0 0 0 0
g5-g40 2 0 0 0 0
g5-g41 2 0 0 0 0
g5-g42 2 0 0 0 0
g5-g43 2 0 0 0 0
g5-g44 2 10 0 0 0
g5-g45 2 8 0 0 0
g5-g46 2 8 0 0 0
g5-g47 2 8 0 0 0
g5-g48 2 6 0 0 0
g5-g49 2 0 0 0 0
g5-g50 2 0 0 0 0
g5-g6 2 0 0 0 0
g5-g7 2 0 0 0 0
g6-g11 2 0 1 23 23
g6-g12 2 32 34 448 464
g6-g13 2 208 0 0 0
g6-g14 2 162 0 0 0
g6-g15 2 239 0 0 0
g6-g16 2 5 0 0 0
g6-g20 2 0 0 0 0
g6-g21 2 0 0 0 0
g6-g22 2 1 3 0 0
g6-g23 2 222 0 0 0
g6-g25 2 189 0 1 0
g6-g26 2 139 287 0 0
g6-g27 2 0 0 0 0
g6-g28 2 0 1 2 3
g6-g29 2 1 0 0 0
g6-g30 2 1 0 0 0
g6-g31 2 0 0 0 0
g6-g32 2 0 0 0 0
g6-g33 2 1 1 1 0
g6-g37 2 282 0 0 0
g6-g38 2 26 28 420 421
g6-g40 2 0 0 0 0
g6-g41 2 1 1 2 0
g6-g42 2 9 0 0 0
g6-g43 2 24 0 0 0
g6-g44 2 1 1 0 0
g6-g45 2 1 1 0 0
g6-g46 2 66 0 0 0
g6-g47 2 105 0 0 0
g6-g48 2 27 0 0 0
g6-g49 2 0 0 0 0
g6-g50 2 0 0 0 0
g6-g7 2 0 1 9 15
g7-g11 2 0 0 2 1
g7-g12 2 1000000 1000000 5 2
g7-g13 2 8 16 17 24
g7-g14 2 2 4 4 8
g7-g15 2 11 23 38 56
g7-g16 2 0 2 4 6
g7-g20 2 1463 4673 7696 10939
g7-g21 2 0 0 0 0
g7-g22 2 1 3 4 5
g7-g23 2 25 82 122 192
g7-g25 2 4 6 9 11
g7-g26 2 16 33 70 63
g7-g27 2 1916 3891 6761 12288
g7-g28 2 0 1 2 2
g7-g29 2 287 679 814 1055
g7-g30 2 294 584 780 1034
g7-g31 2 421 848 1245 1723
g7-g32 2 0 0 0 0
g7-g33 2 1 4 7 6
g7-g37 2 35 63 83 183
g7-g38 2 0 0 1 1
g7-g40 2 0 0 0 0
g7-g41 2 2 7 7 9
g7-g42 2 4 11 16 30
g7-g43 2 1000000 1000000 1000000 20680
g7-g44 2 427 765 1145 1545
g7-g45 2 273 733 1168 1481
g7-g46 2 159 406 551 684
g7-g47 2 186 410 547 681
g7-g48 2 201 511 692 861
g7-g49 2 424544 1000000 1000000 561991
g7-g50 2 1000000 0 0 0
g8-g10 2 0 1 2 3
g8-g11 2 0 17 15 16
g8-g12 2 3 94549 95037 93770
g8-g13 2 2290 4658 13521 274634
g8-g14 2 125 267 960 10870
g8-g15 2 27267 63492 7910 21
g8-g16 2 1 6 66 186
g8-g19 2 1 18 25 27
g8-g20 2 0 0 0 0
g8-g21 2 0 0 0 0
g8-g22 2 11 28 2607 58421
g8-g23 2 27758 274474 3508 263648
g8-g25 2 347 1601 25535 262063
g8-g26 2 37930 217866 51878 57
g8-g27 2 13424 51 1 8
g8-g28 2 1 2 3 7
g8-g29 2 324 22 0 0
g8-g30 2 309 18 0 0
g8-g31 2 31 2 0 0
g8-g32 2 0 0 0 0
g8-g33 2 14 31 78 2210
g8-g35 2 3 12 38 420
g8-g36 2 2 8 27 119
g8-g37 2 8803 2057 99 10791
g8-g38 2 2 107224 108324 107278
g8-g40 2 0 0 0 0
g8-g41 2 9 26 78 2726
g8-g42 2 113 664 11500 16
g8-g43 2 527 4 6 284
g8-g44 2 6 5 6 1
g8-g45 2 6 9 6 1
g8-g46 2 1548 4145 28 0
g8-g47 2 1514 4118 28 3
g8-g48 2 3981 1381 1 1
g8-g49 2 1960 440 2 0
g8-g50 2 0 0 0 0
g8-g9 2 1 2 6 7
g9-g10 2 0 1 17 18
g9-g11 2 0 1 150 176
g9-g12 2 2 6 5392 5403
g9-g13 2 1000000 1000000 1000000 1000000
g9-g14 2 1000001 1000000 1000000 83
g9-g15 2 1000000 1000000 1000000 2
g9-g16 2 2 2240 1 2
g9-g20 2 1 1 1 0
g9-g21 2 0 0 0 0
g9-g22 2 4 6 2 5
g9-g23 2 2140 2 1 1
g9-g25 2 324 1000000 1000000 296336
g9-g26 2 3049 2 1 1
g9-g27 2 780 2 1 2
g9-g28 2 1 4 4 5
g9-g29 2 1000000 1000000 1000000 64
g9-g30 2 1000000 1000000 1000000 71
g9-g31 2 1000000 1000000 1000000 103
g9-g32 2 0 1 0 0
g9-g33 2 2 6 1000000 1000000
g9-g37 2 15659 5 1 3
g9-g38 2 2 4 5714 5687
g9-g40 2 1 0 0 1
g9-g41 2 3 9 720180 1000000
g9-g42 2 18 2 3 2
g9-g43 2 2296 2 449 2
g9-g44 2 1000000 1000000 1000000 215
g9-g45 2 1000000 1000000 1000000 142
g9-g46 2 45 230 1000000 1000000
g9-g47 2 44 227 1000000 1000000
g9-g48 2 108 421 1000000 1000000
g9-g49 2 2892 1 1 1
g9-g50 2 0 1 1 1
images-CVIU11-1-119 8 13766 153867 1000004 1000004
images-CVIU11-1-131 8 3482 37192 612549 676583
images-CVIU11-1-50 8 13383 164830 1000001 1000002
images-CVIU11-1-81 8 5804 58279 898987 992639
images-CVIU11-10-110 8 61 3579 6814 10808
images-CVIU11-10-139 8 37 2309 4401 7221
images-CVIU11-10-20 8 195 10848 20581 33785
images-CVIU11-10-50 8 209 14645 27494 46595
images-CVIU11-10-58 8 54 3090 5709 9439
images-CVIU11-10-60 8 120 6269 11692 18750
images-CVIU11-10-93 8 126 8220 15551 25545
images-CVIU11-11-4 8 722 553 280 118
images-CVIU11-11-72 8 801 760 194 127
images-CVIU11-11-8 8 518 842 125 109
images-CVIU11-12-115 8 2631 16174 29955 71407
images-CVIU11-12-137 8 675 4362 8396 21112
images-CVIU11-12-141 8 978 5481 9974 22827
images-CVIU11-12-4 8 3441 21641 40118 86746
images-CVIU11-13-11 8 2076 3867 18672 20471
images-CVIU11-13-118 8 4455 8772 42841 46979
images-CVIU11-13-128 8 7493 13407 79244 85561
images-CVIU11-13-13 8 5636 10586 54385 59617
images-CVIU11-13-30 8 8689 15757 88595 96376
images-CVIU11-13-46 8 5347 9826 57095 62120
images-CVIU11-13-7 8 8220 15226 85140 93824
images-CVIU11-14-106 8 8427 17759 27260 37842
images-CVIU11-14-146 8 13521 28469 43783 60203
