instance family
si4_b06_m400.08 3 35
si4_b06_m400.02 3 36
si2_m4Dr6_m256.06 6 7
si2_m4Dr6_m256.05 6 6
si2_m4Dr6_m256.09 6 10
si2_m4Dr6_m256.00 6 7
si2_m4Dr6_m256.07 6 6
si2_m4Dr6_m256.04 6 10
si2_m4Dr6_m256.02 6 9
si2_m4Dr6_m256.01 6 9
si2_m4Dr6_m256.08 6 15
si2_m4Dr6_m256.03 6 6
si6_r01_m200.04 7 1302
si6_r01_m200.08 7 807
si6_r01_m200.02 7 2688
si6_r01_m200.09 7 7510
si6_r01_m200.07 7 1202
si6_r01_m200.00 7 1430
si6_r01_m200.01 7 19774
si6_r01_m200.03 7 4251
si6_r01_m200.05 7 4757
si6_r01_m200.06 7 4190
si2_b03m_m800.03 4 76
si2_b03m_m800.02 4 72
si2_b03m_m800.09 4 85
si2_b03m_m800.04 4 105
si2_b03m_m800.06 4 72
si2_b03m_m800.05 4 90
si2_b03m_m800.01 4 103
si2_b03m_m800.08 4 89
si2_b03m_m800.07 4 74
si2_b03m_m800.00 4 86
si2_r001_m200.06 7 8314
si2_r001_m200.01 7 9
si2_r001_m200.02 7 6
si2_r001_m200.07 7 4
si2_r001_m200.04 7 5
si2_r001_m200.05 7 38
si2_r001_m200.09 7 7
si2_r001_m200.03 7 4
si2_r001_m200.00 7 4
si2_r001_m200.08 7 8
si6_b03m_m800.01 4 292
si6_b03m_m800.08 4 226
si6_b03m_m800.03 4 222
si6_b03m_m800.00 4 349
si6_b03m_m800.04 4 291
si6_b03m_m800.05 4 255
si6_b03m_m800.07 4 227
si6_b03m_m800.06 4 226
si6_b03m_m800.09 4 218
si6_b03m_m800.02 4 225
si4_r005_m200.00 7 617
si4_r005_m200.08 7 104
si4_r005_m200.02 7 120
si4_r005_m200.05 7 121
si4_r005_m200.06 7 76
si4_r005_m200.04 7 1416
si4_r005_m200.07 7 293
si4_r005_m200.09 7 459
si4_r005_m200.01 7 269
si4_r005_m200.03 7 272
si6_b09m_m400.03 4 51
si6_b09m_m400.07 4 50
si6_b09m_m400.00 4 50
si6_b09m_m400.04 4 50
si6_b09m_m400.06 4 51
si6_b09m_m400.08 4 61
si6_b09m_m400.02 4 50
si6_b09m_m400.05 4 49
si6_b09m_m400.09 4 51
si6_b09m_m400.01 4 67
si2_b09_m200.08 3 8
si2_b09_m200.01 3 5
