instance family sequential-except-0-pf sequential-except-0-pd sequential-d2-except-0-pf sequential-d2-except-0-pd sequential-except-1-pf sequential-except-1-pd sequential-d2-except-1-pf sequential-d2-except-1-pd sequential-except-2-pf sequential-except-2-pd sequential-d2-except-2-pf sequential-d2-except-2-pd sequential-except-3-pf sequential-except-3-pd sequential-d2-except-3-pf sequential-d2-except-3-pd sequential-except-4-pf sequential-except-4-pd sequential-d2-except-4-pf sequential-d2-except-4-pd sequential-except-5-pf sequential-except-5-pd sequential-d2-except-5-pf sequential-d2-except-5-pd sequential-except-10-pf sequential-except-10-pd sequential-d2-except-10-pf sequential-d2-except-10-pd sequential-except-20-pf sequential-except-20-pd sequential-d2-except-20-pf sequential-d2-except-20-pd
A.08 1 985944 26840 982944 112431 988413 27317 988413 33155 989472 28235 989472 28365 989376 29425 989376 29425 989541 29372 989541 29372 989598 29435 989598 29435 989598 29435 989598 29435 989598 29435 989598 29435
C.14 1 997304 5541 997217 27669 997739 5731 997739 5936 997811 5997 997811 5997 997873 6002 997873 6002 997852 5894 997852 5894 997839 5946 997839 5946 997833 6033 997833 6033 997833 6033 997833 6033
F.16 1 988449 30605 988449 30613 989956 31652 989956 31687 990711 33002 990711 33061 990929 34462 990929 34535 991411 34956 991411 35080 991512 35700 991512 35800 992019 40253 992019 40259 992200 49160 992200 49160
F.06 1 990319 36959 990319 37414 991073 37752 991073 39058 991332 38325 991332 39825 991663 39233 991663 40538 991810 40030 991810 40891 991864 40894 991864 41426 992061 45047 992061 45054 992407 52563 992407 52563
A.03 1 986601 28329 984420 123937 988491 28278 988717 33381 989206 28790 989206 29122 989489 29632 989489 29632 989576 30062 989576 30062 989511 29870 989511 29870 989598 30101 989598 30101 989598 30101 989598 30101
E.19 1 989020 40314 989020 40368 990105 41887 990105 41996 990678 42893 990678 43050 990929 43823 990929 44050 991403 44670 991403 44821 991694 45987 991694 46080 992167 50544 992167 50545 992480 58883 992480 58883
C.15 1 997299 5588 997072 26309 997708 5474 997708 5741 997766 5594 997766 5594 997923 6033 997923 6033 997957 5957 997957 5957 997771 6032 997771 6032 997833 5921 997833 5921 997833 5921 997833 5921
A.16 1 987639 27030 986085 115665 989121 27826 989121 32589 989402 28526 989402 28672 989506 28949 989506 28949 989497 28820 989497 28820 989598 28490 989598 28490 989598 28490 989598 28490 989598 28490 989598 28490
B.14 1 995618 9372 995066 42824 996226 9215 996226 9835 996454 9817 996454 9817 996462 9872 996462 9872 996410 9936 996410 9936 996458 9866 996458 9866 996403 9940 996403 9940 996403 9940 996403 9940
A.02 1 986804 27394 984452 114474 988737 27174 988737 32162 989464 28139 989464 28265 989429 29420 989429 29420 989605 29341 989605 29341 989598 29442 989598 29442 989598 29442 989598 29442 989598 29442 989598 29442
F.14 1 988335 35853 988335 36031 990093 37371 990093 37843 990610 38343 990610 39182 991028 39121 991028 40130 991466 39886 991466 40821 991570 41262 991570 41896 992116 45792 992116 45799 992438 54327 992438 54327
