instance family sequential-except-0-pf sequential-except-0-pd sequential-d2-except-0-pf sequential-d2-except-0-pd sequential-except-1-pf sequential-except-1-pd sequential-d2-except-1-pf sequential-d2-except-1-pd sequential-except-2-pf sequential-except-2-pd sequential-d2-except-2-pf sequential-d2-except-2-pd sequential-except-3-pf sequential-except-3-pd sequential-d2-except-3-pf sequential-d2-except-3-pd sequential-except-4-pf sequential-except-4-pd sequential-d2-except-4-pf sequential-d2-except-4-pd sequential-except-5-pf sequential-except-5-pd sequential-d2-except-5-pf sequential-d2-except-5-pd sequential-except-10-pf sequential-except-10-pd sequential-d2-except-10-pf sequential-d2-except-10-pd sequential-except-20-pf sequential-except-20-pd sequential-d2-except-20-pf sequential-d2-except-20-pd
A.08 1 985944 26840 984041 112329 989223 26851 989223 33028 989528 28547 989528 28659 989598 29435 989598 29435 989598 29435 989598 29435 989598 29435 989598 29435 989598 29435 989598 29435 989598 29435 989598 29435
C.14 1 997304 5541 997277 27398 997889 5643 997889 5839 997940 5892 997940 5892 997833 6033 997833 6033 997833 6033 997833 6033 997833 6033 997833 6033 997833 6033 997833 6033 997833 6033 997833 6033
F.16 1 988449 30605 988449 30613 990074 31814 990074 31848 990856 33473 990856 33542 991279 34738 991279 34845 991466 35783 991466 35923 991594 36887 991594 37022 991998 41264 991998 41273 992206 48899 992206 48899
F.06 1 990319 36959 990319 37414 991104 37605 991104 39026 991367 38505 991367 40224 991478 39641 991478 41172 991655 40330 991655 41446 991910 41473 991910 42144 992134 45443 992134 45454 992572 52782 992572 52782
A.03 1 986601 28329 985354 123376 989178 27807 989287 33836 989506 29333 989506 29649 989598 30101 989598 30101 989598 30101 989598 30101 989598 30101 989598 30101 989598 30101 989598 30101 989598 30101 989598 30101
E.19 1 989020 40314 989020 40368 990194 42549 990194 42676 991109 43440 991109 43687 991255 44934 991255 45209 991692 46410 991692 46650 991584 47301 991584 47460 992199 52045 992199 52047 992539 59240 992539 59240
C.15 1 997299 5588 997075 26023 997813 5497 997813 5762 997795 5828 997795 5830 997833 5921 997833 5921 997833 5921 997833 5921 997833 5921 997833 5921 997833 5921 997833 5921 997833 5921 997833 5921
A.16 1 987639 27030 986678 115174 989375 27464 989375 32621 989432 28712 989432 28855 989598 28490 989598 28490 989598 28490 989598 28490 989598 28490 989598 28490 989598 28490 989598 28490 989598 28490 989598 28490
B.14 1 995618 9372 995161 42440 996399 9318 996399 10019 996518 9796 996518 9796 996403 9940 996403 9940 996403 9940 996403 9940 996403 9940 996403 9940 996403 9940 996403 9940 996403 9940 996403 9940
A.02 1 986804 27394 985354 112921 988982 27026 988982 32191 989279 28688 989279 28790 989598 29442 989598 29442 989598 29442 989598 29442 989598 29442 989598 29442 989598 29442 989598 29442 989598 29442 989598 29442
