instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5 sequential-d2-except-10 sequential-d2-except-20
si6_r005_m400.00 7 18974 13322 20516 6718 9192 13932 8873 24001
si6_r005_m400.01 7 9591 12051 15694 21967 58598 67138 45027 50993
si6_r005_m400.02 7 6219 5501 29497 7454 8150 28089 106413 185226
si6_r005_m400.04 7 10213 8426 29188 10857 8027 26845 60474 58906
si6_r005_m400.05 7 36808 23871 7236 27731 5528 37974 7044 102858
si6_r005_m400.09 7 4314 6639 15125 54388 7553 8359 48088 58090
si6_r005_m400.03 7 18152 10206 6715 7100 5647 15412 27000 83281
si6_r005_m400.06 7 5072 22644 11601 6316 7106 20932 71369 85270
si6_r005_m400.08 7 8194 14886 28374 12927 36550 7894 41241 24305
si6_m4Dr6_m625.04 6 155 286 283 732 2233 19149 29342 211778
si6_m4Dr6_m625.01 6 139 230 287 1382 5688 921 6824 215068
si6_m4Dr6_m625.09 6 192 248 1109 5935 4594 1056 27081 656535
si6_m4Dr6_m625.07 6 181 343 463 1590 9932 1394 38654 87510
si6_m4Dr6_m625.00 6 149 494 419 489 82216 10355 10245 61668
si6_m4Dr6_m625.08 6 155 202 437 654 9777 364373 1000000 3416
si6_m4Dr6_m625.05 6 155 278 247009 751 5854 1084 52643 29415
si6_m4Dr6_m625.06 6 141 171 235 532 923 995 3476 1000001
si6_m4Dr6_m625.02 6 185 199 568 1141 46168 31375 45219 3366
si6_m4Dr6_m625.03 6 152 273 474 460 2784 2343 6843 118087
si4_m4Dr2_m625.09 6 97 1649 6999 7832 11383 2032 888836 1000001
si4_m4Dr2_m625.04 6 105 1067 40345 144913 106677 400337 13177 1000001
si4_m4Dr2_m625.02 6 90 196 333 765 12146 575 10633 42166
si4_m4Dr2_m625.07 6 127 126 987 6759 15918 33850 49517 30632
si4_m4Dr2_m625.00 6 129 163 988 1625 922 3759 54381 45914
si4_m4Dr2_m625.08 6 102 2863 661 8827 9164 91827 13221 104727
si4_m4Dr2_m625.01 6 110 683 404 4652 17485 10954 381921 51303
si4_m4Dr2_m625.06 6 92 238 797 3453 5310 7747 1000001 65281
si4_m4Dr2_m625.03 6 98 1348 49313 10367 5132 44084 140294 643969
