instance family
si4_b06_m400.00 3 85
si4_b06_m400.05 3 65
si4_b06_m400.08 3 64
si4_b06_m400.02 3 79
si2_m4Dr6_m256.06 6 14
si2_m4Dr6_m256.05 6 14
si2_m4Dr6_m256.09 6 20
si2_m4Dr6_m256.00 6 15
si2_m4Dr6_m256.07 6 14
si2_m4Dr6_m256.04 6 15
si2_m4Dr6_m256.02 6 14
si2_m4Dr6_m256.01 6 14
si2_m4Dr6_m256.08 6 21
si2_m4Dr6_m256.03 6 14
si6_r01_m200.04 7 1986
si6_r01_m200.08 7 1093
si6_r01_m200.02 7 4087
si6_r01_m200.09 7 7475
si6_r01_m200.07 7 1738
si6_r01_m200.00 7 1758
si6_r01_m200.01 7 18644
si6_r01_m200.03 7 4617
si6_r01_m200.05 7 6177
si6_r01_m200.06 7 6490
si2_b03m_m800.03 4 189
si2_b03m_m800.02 4 279
si2_b03m_m800.09 4 198
si2_b03m_m800.04 4 188
si2_b03m_m800.06 4 184
si2_b03m_m800.05 4 188
si2_b03m_m800.01 4 190
si2_b03m_m800.08 4 191
si2_b03m_m800.07 4 187
si2_b03m_m800.00 4 184
si2_r001_m200.06 7 37
si2_r001_m200.01 7 10
si2_r001_m200.02 7 10
si2_r001_m200.07 7 13
si2_r001_m200.04 7 10
si2_r001_m200.05 7 55
si2_r001_m200.09 7 5457
si2_r001_m200.03 7 9
si2_r001_m200.00 7 10
si2_r001_m200.08 7 15
si6_b03m_m800.01 4 419
si6_b03m_m800.08 4 411
si6_b03m_m800.03 4 418
si6_b03m_m800.00 4 518
si6_b03m_m800.04 4 415
si6_b03m_m800.05 4 417
si6_b03m_m800.07 4 412
si6_b03m_m800.06 4 419
si6_b03m_m800.09 4 407
si6_b03m_m800.02 4 413
si4_r005_m200.00 7 702
si4_r005_m200.08 7 139
si4_r005_m200.02 7 142
si4_r005_m200.05 7 134
si4_r005_m200.06 7 152
si4_r005_m200.04 7 1000
si4_r005_m200.07 7 308
si4_r005_m200.09 7 266
si4_r005_m200.01 7 294
si4_r005_m200.03 7 251
si6_b09m_m400.03 4 88
si6_b09m_m400.07 4 89
si6_b09m_m400.00 4 89
si6_b09m_m400.04 4 89
si6_b09m_m400.06 4 88
si6_b09m_m400.08 4 86
si6_b09m_m400.02 4 89
si6_b09m_m400.05 4 87
si6_b09m_m400.09 4 89
si6_b09m_m400.01 4 104
si2_b09_m200.08 3 9
si2_b09_m200.01 3 13
si2_b09_m200.06 3 13
si2_b09_m200.05 3 9
si2_b09_m200.00 3 9
si2_b09_m200.02 3 9
si2_b09_m200.03 3 9
si2_b09_m200.04 3 10
si2_b09_m200.09 3 9
si2_b09_m200.07 3 9
si6_r01_m600.02 7 1000001
si6_r01_m600.06 7 1000002
si6_r01_m600.09 7 956875
si6_r01_m600.08 7 1000001
si6_r01_m600.05 7 1000000
si6_r01_m600.07 7 1000001
si6_r01_m600.03 7 1000001
si6_r01_m600.00 7 616655
si6_r01_m600.01 7 1000001
si6_r01_m600.04 7 1000002
si2_b06_m200.02 3 8
si2_b06_m200.00 3 8
si2_b06_m200.01 3 8
si2_b06_m200.06 3 8
si2_b06_m200.09 3 12
si2_b06_m200.07 3 8
si2_b06_m200.04 3 8
si2_b06_m200.08 3 12
si2_b06_m200.03 3 8
si2_b06_m200.05 3 11
si6_m4Dr2_m1296.05 6 1697
si6_m4Dr2_m1296.09 6 1667
si6_m4Dr2_m1296.01 6 1590
si6_m4Dr2_m1296.06 6 1751
si6_m4Dr2_m1296.07 6 1704
si6_m4Dr2_m1296.03 6 1635
si6_m4Dr2_m1296.04 6 1696
si6_m4Dr2_m1296.00 6 1792
si6_m4Dr2_m1296.08 6 1628
si6_m4Dr2_m1296.02 6 1592
si2_b09m_m800.09 4 230
si2_b09m_m800.07 4 341
si2_b09m_m800.00 4 227
si2_b09m_m800.04 4 229
si2_b09m_m800.02 4 241
si2_b09m_m800.05 4 230
si2_b09m_m800.03 4 234
si2_b09m_m800.08 4 228
si2_b09m_m800.06 4 226
si2_b09m_m800.01 4 336
si4_b03_m400.01 3 62
si4_b03_m400.02 3 61
si4_b03_m400.05 3 62
si4_b03_m400.07 3 61
si4_b03_m400.06 3 92
si4_b03_m400.00 3 62
si4_b03_m400.03 3 62
si4_b03_m400.04 3 62
si4_b03_m400.09 3 71
si4_b03_m400.08 3 62
si2_b03_m200.05 3 7
si2_b03_m200.09 3 7
si2_b03_m200.07 3 7
si2_b03_m200.01 3 7
si2_b03_m200.08 3 7
si2_b03_m200.02 3 7
si2_b03_m200.04 3 7
si2_b03_m200.03 3 7
si2_b03_m200.06 3 7
si2_b03_m200.00 3 7
si4_r005_m600.00 7 235356
si4_r005_m600.02 7 53839
si4_r005_m600.08 7 227416
si4_r005_m600.05 7 117886
si4_r005_m600.07 7 101968
si4_r005_m600.06 7 392552
si4_r005_m600.01 7 191077
si4_r005_m600.04 7 183662
si4_r005_m600.03 7 90094
si4_r005_m600.09 7 60781
si4_b09_m400.05 3 67
si4_b09_m400.03 3 67
si4_b09_m400.00 3 102
si4_b09_m400.07 3 89
si4_b09_m400.01 3 67
si4_b09_m400.06 3 67
si4_b09_m400.04 3 68
si4_b09_m400.02 3 67
si4_b09_m400.08 3 67
si4_b09_m400.09 3 67
si4_b06m_m400.06 4 73
si4_b06m_m400.03 4 56
si4_b06m_m400.01 4 58
si4_b06m_m400.08 4 58
si4_b06m_m400.05 4 60
si4_b06m_m400.07 4 58
si4_b06m_m400.00 4 58
si4_b06m_m400.04 4 78
si4_b06m_m400.09 4 59
si4_b06m_m400.02 4 57
si2_m4Dr2_m625.05 6 110
si2_m4Dr2_m625.00 6 132
si2_m4Dr2_m625.08 6 106
si2_m4Dr2_m625.09 6 109
si2_m4Dr2_m625.06 6 113
si2_m4Dr2_m625.04 6 112
si2_m4Dr2_m625.01 6 119
si2_m4Dr2_m625.03 6 129
si2_m4Dr2_m625.02 6 116
si2_m4Dr2_m625.07 6 114
si2_r005_m200.02 7 76
si2_r005_m200.01 7 3716
si2_r005_m200.03 7 357
si2_r005_m200.05 7 7285
si2_r005_m200.08 7 2087
si2_r005_m200.04 7 131
si2_r005_m200.09 7 380
si2_r005_m200.06 7 409
si2_r005_m200.00 7 2074
si2_r005_m200.07 7 126
si4_b03m_m400.03 4 50
si4_b03m_m400.09 4 50
si4_b03m_m400.08 4 50
si4_b03m_m400.04 4 51
si4_b03m_m400.00 4 50
si4_b03m_m400.01 4 52
