instance family sequential-d2-induced-except-5
si4_b03_m200.07 3 12
si4_b03_m200.04 3 16
si4_b03_m200.03 3 15
si4_b03_m200.05 3 12
si4_b03_m200.09 3 13
si4_b03_m200.01 3 12
si4_b03_m200.00 3 12
si4_b03_m200.08 3 13
si2_b03_m400.03 3 40
si2_b03_m400.06 3 40
si2_b03_m400.07 3 55
si2_b03_m400.01 3 52
si2_b03_m400.05 3 40
si2_b03_m400.09 3 40
si2_b03_m400.02 3 40
si2_b03_m400.00 3 40
si2_b03_m400.08 3 40
si2_b03_m400.04 3 53
si4_b09_m200.02 3 20
si4_b09_m200.01 3 18
si4_b09_m200.00 3 15
si4_b09_m200.09 3 14
si4_b09_m200.08 3 15
si4_b09_m200.04 3 15
si4_b09_m200.06 3 16
si4_b09_m200.05 3 16
si4_b09_m200.07 3 14
si4_b09_m200.03 3 14
si4_m4Dr4_m256.05 6 1516
si4_m4Dr4_m256.09 6 210
si4_m4Dr4_m256.01 6 4204
si4_m4Dr4_m256.03 6 445
si4_m4Dr4_m256.06 6 1060
si4_m4Dr4_m256.07 6 1229
si4_m4Dr4_m256.00 6 877
si4_m4Dr4_m256.02 6 326
si4_m4Dr4_m256.08 6 5980
si4_m4Dr4_m256.04 6 2898
si2_m4D_m625.01 5 4270
si2_m4D_m625.00 5 4611
si2_m4D_m625.08 5 1026
si2_m4D_m625.04 5 13325
si2_m4D_m625.09 5 3143
si2_m4D_m625.02 5 2740
si2_m4D_m625.05 5 3058
si2_m4D_m625.06 5 3507
si2_m4D_m625.07 5 2652
si2_m4D_m625.03 5 7353
si4_b09_m800.03 3 398
si4_b09_m800.02 3 396
si4_b09_m800.09 3 403
si4_b09_m800.06 3 386
si4_b09_m800.04 3 400
si4_b09_m800.05 3 394
si4_b09_m800.00 3 393
si4_b09_m800.01 3 398
si4_b09_m800.07 3 391
si4_b09_m800.08 3 385
si2_m4Dr4_m256.05 6 507947
si2_m4Dr4_m256.02 6 699
si2_m4Dr4_m256.00 6 1300
si2_m4Dr4_m256.07 6 231
si2_m4Dr4_m256.03 6 4684
si2_m4Dr4_m256.06 6 13957
si2_m4Dr4_m256.04 6 15308
si2_m4Dr4_m256.09 6 12260
si2_m4Dr4_m256.01 6 1577
si2_m4Dr4_m256.08 6 1562
si6_m4Dr2_m256.04 6 98
si6_m4Dr2_m256.08 6 1741
si6_m4Dr2_m256.00 6 4198
si6_m4Dr2_m256.07 6 1151
si6_m4Dr2_m256.01 6 689
si6_m4Dr2_m256.09 6 1492
si6_m4Dr2_m256.03 6 2598
si6_m4Dr2_m256.05 6 262
si6_m4Dr2_m256.02 6 4451
si6_m4Dr2_m256.06 6 1125
si6_b06_m800.00 3 699
si6_b06_m800.05 3 587
si6_b06_m800.02 3 603
si6_b06_m800.07 3 570
si6_b06_m800.08 3 569
si6_b06_m800.09 3 601
si6_b06_m800.06 3 570
si6_b06_m800.01 3 575
si6_b06_m800.04 3 581
si6_b06_m800.03 3 582
si4_b09m_m800.06 4 642
si4_b09m_m800.01 4 519
si4_b09m_m800.02 4 3400
si4_b09m_m800.08 4 960
si4_b09m_m800.04 4 778
si4_b09m_m800.03 4 1328
si4_b09m_m800.09 4 721
si4_b09m_m800.05 4 1572
si4_b09m_m800.00 4 590
si4_b09m_m800.07 4 547
si2_b06_m800.04 3 280
si2_b06_m800.07 3 294
si2_b06_m800.02 3 238
si2_b06_m800.00 3 224
si2_b06_m800.03 3 223
si2_b06_m800.05 3 224
si2_b06_m800.09 3 227
si2_b06_m800.01 3 223
si2_b06_m800.08 3 222
si2_b06_m800.06 3 223
si6_m4D_m256.03 5 2288
si6_m4D_m256.08 5 1859
si6_m4D_m256.07 5 1102
si6_m4D_m256.00 5 781
si6_m4D_m256.01 5 1592
si6_m4D_m256.05 5 1339
si6_m4D_m256.09 5 1273
si6_m4D_m256.04 5 1940
si6_m4D_m256.02 5 2583
si6_m4D_m256.06 5 2121
si2_b06m_m800.07 4 200628
si2_b06m_m800.02 4 771
si2_b06m_m800.03 4 523992
si2_b06m_m800.01 4 1504
si2_b06m_m800.08 4 1000001
si2_b06m_m800.04 4 925
si2_b06m_m800.06 4 735
si2_b06m_m800.09 4 57629
si2_b06m_m800.05 4 1134
si2_b06m_m800.00 4 786
si4_b06m_m200.00 4 51
si4_b06m_m200.08 4 143
si4_b06m_m200.05 4 61
si4_b06m_m200.09 4 3205
si4_b06m_m200.01 4 86
si4_b06m_m200.07 4 135
si4_b06m_m200.02 4 109
si4_b06m_m200.04 4 93
si4_b06m_m200.06 4 79
si4_b06m_m200.03 4 311
si6_r001_m400.09 7 1013
si6_r001_m400.05 7 18632
si6_r001_m400.00 7 40053
si6_r001_m400.04 7 1959
si6_r001_m400.07 7 50675
si6_r001_m400.06 7 81456
si6_r001_m400.02 7 788095
si6_r001_m400.03 7 453291
si6_r001_m400.08 7 1000000
si6_r001_m400.01 7 33974
si6_m4D_m625.00 5 3988
si6_m4D_m625.07 5 453143
si6_m4D_m625.05 5 118416
si6_m4D_m625.08 5 20945
si6_m4D_m625.02 5 13120
si6_m4D_m625.03 5 162561
si6_m4D_m625.04 5 8048
si6_m4D_m625.09 5 3668
si6_m4D_m625.01 5 21149
si6_m4D_m625.06 5 34366
si6_b09m_m800.02 4 758
si6_b09m_m800.09 4 914
si6_b09m_m800.04 4 827
si6_b09m_m800.07 4 6481
si6_b09m_m800.00 4 743
si6_b09m_m800.05 4 609
si6_b09m_m800.03 4 743
si6_b09m_m800.01 4 734
si6_b09m_m800.06 4 950
si6_b09m_m800.08 4 1218
si4_m4Dr6_m1296.01 6 184187
si4_m4Dr6_m1296.07 6 80755
si4_m4Dr6_m1296.06 6 5628
si4_m4Dr6_m1296.02 6 9322
si4_m4Dr6_m1296.08 6 27203
si4_m4Dr6_m1296.03 6 23704
si4_m4Dr6_m1296.00 6 51502
si4_m4Dr6_m1296.09 6 47287
si4_m4Dr6_m1296.05 6 14857
si4_m4Dr6_m1296.04 6 122761
si2_b06_m400.09 3 42
si2_b06_m400.02 3 58
si2_b06_m400.00 3 42
si2_b06_m400.03 3 42
si2_b06_m400.07 3 41
si2_b06_m400.04 3 42
si2_b06_m400.05 3 42
si2_b06_m400.01 3 42
si2_b06_m400.08 3 42
si2_b06_m400.06 3 42
si4_r01_m200.01 7 3389
si4_r01_m200.08 7 713
si4_r01_m200.03 7 14879
si4_r01_m200.04 7 12424
si4_r01_m200.07 7 3721
si4_r01_m200.02 7 3218
si4_r01_m200.05 7 1684
si4_r01_m200.06 7 6281
si4_r01_m200.00 7 3974
si4_r01_m200.09 7 7257
si2_r001_m400.06 7 1000000
si2_r001_m400.08 7 1000000
si2_r001_m400.09 7 1000000
si2_r001_m400.01 7 1000000
si2_r001_m400.03 7 1000000
si2_r001_m400.04 7 1000000
si2_r001_m400.05 7 1000000
si2_r001_m400.02 7 1000000
si2_r001_m400.00 7 1000000
si2_r001_m400.07 7 1000000
si4_b03m_m800.03 4 1000002
si4_b03m_m800.05 4 1000003
si4_b03m_m800.06 4 792
si4_b03m_m800.01 4 1000003
si4_b03m_m800.08 4 2454
si4_b03m_m800.09 4 1000003
si4_b03m_m800.00 4 526
si4_b03m_m800.02 4 2488
si4_b03m_m800.07 4 1701
si4_b03m_m800.04 4 1000002
si2_r01_m200.03 7 737312
si2_r01_m200.00 7 205035
si2_r01_m200.05 7 281155
si2_r01_m200.01 7 12597
si2_r01_m200.08 7 16444
si2_r01_m200.06 7 528602
si2_r01_m200.09 7 99075
si2_r01_m200.02 7 18810
si2_r01_m200.07 7 48620
si2_r01_m200.04 7 36113
si2_r01_m400.04 7 56403
si2_r01_m400.00 7 1000000
si2_r01_m400.07 7 1000000
si2_r01_m400.09 7 1000000
si2_r01_m400.01 7 1000000
si2_r01_m400.03 7 76157
si2_r01_m400.02 7 1000000
si2_r01_m400.05 7 834505
si2_r01_m400.06 7 215274
si2_r01_m400.08 7 1000000
si4_m4D_m625.09 5 23405
si4_m4D_m625.03 5 23938
si4_m4D_m625.07 5 640748
si4_m4D_m625.02 5 7951
si4_m4D_m625.00 5 7937
si4_m4D_m625.01 5 1000001
si4_m4D_m625.04 5 8482
si4_m4D_m625.06 5 20885
si4_m4D_m625.08 5 5587
si4_m4D_m625.05 5 26416
si6_m4Dr6_m256.05 6 20474
si6_m4Dr6_m256.04 6 5480
si6_m4Dr6_m256.03 6 179
si6_m4Dr6_m256.02 6 342
si6_m4Dr6_m256.08 6 135
si6_m4Dr6_m256.00 6 471
si6_m4Dr6_m256.09 6 1534
si6_m4Dr6_m256.07 6 669
si6_m4Dr6_m256.06 6 886
si6_m4Dr6_m256.01 6 602
si6_b09_m400.07 3 152
si6_b09_m400.03 3 106
si6_b09_m400.04 3 108
si6_b09_m400.06 3 126
si6_b09_m400.05 3 152
si6_b09_m400.09 3 103
si6_b09_m400.02 3 108
si6_b09_m400.01 3 104
si6_b09_m400.08 3 111
si6_b09_m400.00 3 105
si6_b06_m400.03 3 102
si6_b06_m400.08 3 103
si6_b06_m400.07 3 101
si6_b06_m400.04 3 101
si6_b06_m400.05 3 104
si6_b06_m400.06 3 102
si6_b06_m400.02 3 102
si6_b06_m400.01 3 103
si6_b06_m400.00 3 103
si6_b06_m400.09 3 102
si6_b03m_m200.04 4 138
si6_b03m_m200.07 4 86
si6_b03m_m200.08 4 1453
si6_b03m_m200.02 4 276
si6_b03m_m200.03 4 5723
si6_b03m_m200.06 4 114
si6_b03m_m200.01 4 312
si6_b03m_m200.09 4 111
si6_b03m_m200.00 4 393770
si6_b03m_m200.05 4 70
si4_b06_m800.04 3 382
si4_b06_m800.00 3 382
si4_b06_m800.08 3 436
si4_b06_m800.05 3 383
si4_b06_m800.03 3 379
si4_b06_m800.06 3 378
si4_b06_m800.07 3 379
si4_b06_m800.01 3 380
si4_b06_m800.02 3 379
si4_b06_m800.09 3 382
si6_b09m_m200.07 4 79
si6_b09m_m200.06 4 53
si6_b09m_m200.01 4 74
si6_b09m_m200.08 4 121
si6_b09m_m200.00 4 176
si6_b09m_m200.09 4 86
si6_b09m_m200.02 4 53
si6_b09m_m200.05 4 63
si6_b09m_m200.03 4 63
si6_b09m_m200.04 4 239
si4_b09m_m400.07 4 595
si4_b09m_m400.06 4 244
si4_b09m_m400.00 4 448
si4_b09m_m400.08 4 533
si4_b09m_m400.04 4 667
si4_b09m_m400.09 4 1367
si4_b09m_m400.02 4 354
si4_b09m_m400.03 4 210
si4_b09m_m400.01 4 456
si4_b09m_m400.05 4 299
si6_m4Dr4_m1296.03 6 20055
si6_m4Dr4_m1296.06 6 24932
si6_m4Dr4_m1296.04 6 12715
si6_m4Dr4_m1296.01 6 9719
si6_m4Dr4_m1296.09 6 12357
si6_m4Dr4_m1296.02 6 252089
si6_m4Dr4_m1296.08 6 19890
si6_m4Dr4_m1296.05 6 19483
si6_m4Dr4_m1296.07 6 11010
si6_m4Dr4_m1296.00 6 72701
si6_b06_m200.09 3 18
si6_b06_m200.03 3 19
si6_b06_m200.05 3 18
si6_b06_m200.00 3 19
si6_b06_m200.08 3 19
si6_b06_m200.02 3 19
si6_b06_m200.06 3 18
si6_b06_m200.04 3 23
si6_b06_m200.01 3 19
si6_b06_m200.07 3 18
si4_m4Dr6_m625.02 6 17240
si4_m4Dr6_m625.06 6 1302
si4_m4Dr6_m625.03 6 31051
si4_m4Dr6_m625.07 6 28609
si4_m4Dr6_m625.08 6 13496
si4_m4Dr6_m625.09 6 3079
si4_m4Dr6_m625.00 6 15787
si4_m4Dr6_m625.01 6 2030
si4_m4Dr6_m625.05 6 1059
si4_m4Dr6_m625.04 6 8556
si6_b06m_m200.09 4 55
si6_b06m_m200.02 4 125
si6_b06m_m200.05 4 45
si6_b06m_m200.00 4 58
si6_b06m_m200.07 4 57
si6_b06m_m200.04 4 56
si6_b06m_m200.08 4 130
si6_b06m_m200.06 4 76
si6_b06m_m200.03 4 96
si6_b06m_m200.01 4 52
si6_m4Dr4_m256.05 6 117
si6_m4Dr4_m256.03 6 268
si6_m4Dr4_m256.02 6 195
si6_m4Dr4_m256.01 6 1106
si6_m4Dr4_m256.08 6 1951
si6_m4Dr4_m256.09 6 256
si6_m4Dr4_m256.07 6 3409
si6_m4Dr4_m256.06 6 421
si6_m4Dr4_m256.04 6 1905
si6_m4Dr4_m256.00 6 859
si4_r001_m600.01 7 1000001
si4_r001_m600.08 7 13831
si4_r001_m600.02 7 1000000
si4_r001_m600.07 7 1000001
si4_r001_m600.05 7 1000000
si4_r001_m600.06 7 1000001
si4_r001_m600.00 7 428575
si4_r001_m600.04 7 1000001
si4_r001_m600.09 7 1000001
si4_r001_m600.03 7 1000000
si2_b09m_m200.08 4 68
si2_b09m_m200.06 4 11
si2_b09m_m200.03 4 11
si2_b09m_m200.09 4 22
si2_b09m_m200.04 4 14154
si2_b09m_m200.00 4 2339
si2_b09m_m200.01 4 12
si2_b09m_m200.05 4 11
si2_b09m_m200.07 4 14
si2_b09m_m200.02 4 53
si6_b03_m200.01 3 17
si6_b03_m200.03 3 17
si6_b03_m200.04 3 17
si6_b03_m200.08 3 18
si6_b03_m200.07 3 17
si6_b03_m200.09 3 19
si6_b03_m200.05 3 17
si6_b03_m200.02 3 17
si6_b03_m200.06 3 18
si6_b03_m200.00 3 18
si6_b09_m200.09 3 19
si6_b09_m200.06 3 20
si6_b09_m200.08 3 19
si6_b09_m200.03 3 21
si6_b09_m200.00 3 20
si6_b09_m200.02 3 21
si6_b09_m200.07 3 19
si6_b09_m200.04 3 20
si6_b09_m200.01 3 20
si6_b09_m200.05 3 20
g10-g11 2 34647
g10-g12 2 1000000
g10-g13 2 61532
g10-g14 2 16974
g10-g15 2 87244
g10-g16 2 173759
g10-g20 2 1000000
g10-g21 2 4
g10-g22 2 386685
g10-g23 2 726578
g10-g25 2 4378
g10-g26 2 1000000
g10-g27 2 1000000
g10-g28 2 28597
g10-g29 2 1000000
g10-g30 2 1000000
g10-g31 2 1000000
g10-g32 2 15
g10-g33 2 1000000
g10-g37 2 1000000
g10-g38 2 69474
g10-g40 2 1000000
g10-g41 2 1000000
g10-g42 2 1000000
g10-g43 2 1000000
g10-g44 2 1000000
g10-g45 2 1000000
g10-g46 2 1000000
g10-g47 2 1000000
g10-g48 2 1000000
g10-g49 2 1000000
g10-g50 2 1000000
g11-g12 2 90094
g11-g13 2 392
g11-g14 2 214
g11-g15 2 466
g11-g16 2 2777
g11-g20 2 811129
g11-g21 2 4
g11-g22 2 914
g11-g23 2 519
g11-g25 2 203
g11-g26 2 1059
g11-g27 2 2410
g11-g28 2 49
g11-g29 2 1000000
g11-g30 2 1000000
g11-g31 2 1000000
g11-g32 2 15
g11-g33 2 849
g11-g37 2 53236
g11-g38 2 2918
g11-g40 2 1000000
g11-g41 2 1060
g11-g42 2 2047
g11-g43 2 9875
g11-g44 2 1000000
g11-g45 2 1000000
g11-g46 2 1000000
g11-g47 2 1000000
g11-g48 2 1000000
g11-g49 2 21306
g11-g50 2 205991
g12-g20 2 16371
g12-g21 2 4
g12-g23 2 6
g12-g26 2 28
g12-g27 2 109
g12-g29 2 28269
g12-g30 2 13746
g12-g31 2 53228
g12-g32 2 15
g12-g38 2 45213
g12-g40 2 716776
g12-g43 2 970
g12-g44 2 25946
g12-g45 2 10925
g12-g46 2 4872
g12-g47 2 3780
g12-g48 2 10587
g12-g50 2 1000000
g13-g15 2 2
g13-g20 2 2
g13-g21 2 5
g13-g23 2 186
g13-g25 2 23
g13-g26 2 809
g13-g27 2 200801
g13-g29 2 74812
g13-g30 2 28625
g13-g31 2 148735
g13-g32 2 12
g13-g38 2 10
g13-g40 2 1000000
g13-g43 2 14603
g13-g44 2 1000000
g13-g45 2 1000000
g13-g46 2 1000000
g13-g47 2 473208
g13-g48 2 1000000
g13-g49 2 20998
g13-g50 2 1000000
g14-g15 2 285
g14-g20 2 2
g14-g21 2 5
g14-g23 2 1000000
g14-g25 2 414
g14-g26 2 1000000
g14-g27 2 1000000
g14-g29 2 256077
g14-g30 2 93791
g14-g31 2 398908
g14-g32 2 14
g14-g38 2 37
g14-g40 2 1000000
g14-g43 2 1000000
g14-g44 2 1000000
g14-g45 2 1000000
g14-g46 2 1000000
g14-g47 2 1000000
g14-g48 2 1000000
g14-g49 2 1000000
g14-g50 2 1000000
g15-g20 2 2
g15-g21 2 4
g15-g23 2 59
g15-g25 2 5
g15-g26 2 292
g15-g27 2 31873
g15-g29 2 7692
g15-g30 2 3124
g15-g31 2 18303
g15-g32 2 12
g15-g38 2 6
g15-g40 2 1000000
g15-g43 2 15553
g15-g44 2 24409
g15-g45 2 9094
g15-g46 2 689
g15-g47 2 561
g15-g48 2 1324
g15-g49 2 17141
g15-g50 2 1000000
g16-g20 2 638
g16-g21 2 5
g16-g22 2 643
g16-g23 2 650
g16-g25 2 1
g16-g26 2 1620
g16-g27 2 4063
g16-g28 2 2
g16-g29 2 977477
g16-g30 2 452390
g16-g31 2 1000000
g16-g32 2 12
g16-g33 2 659
g16-g37 2 180
g16-g38 2 278
g16-g40 2 1000000
g16-g43 2 34253
g16-g44 2 1000000
g16-g45 2 380342
g16-g46 2 227256
g16-g47 2 194214
g16-g48 2 378629
g16-g49 2 71946
g16-g50 2 1000000
g17-g18 2 1000000
g17-g19 2 151279
g17-g20 2 2
g17-g21 2 4
g17-g22 2 468576
g17-g23 2 587777
g17-g24 2 12542
g17-g25 2 140790
g17-g26 2 499740
g17-g27 2 1000000
g17-g28 2 983315
g17-g29 2 1000000
g17-g30 2 1000000
g17-g31 2 1000000
g17-g32 2 12
g17-g33 2 1000000
g17-g34 2 1000000
g17-g35 2 1000000
g17-g36 2 1000000
g17-g37 2 1000000
g17-g38 2 1000000
g17-g39 2 1000000
g17-g40 2 319116
g17-g41 2 1000000
g17-g42 2 1000000
g17-g43 2 1000000
g17-g44 2 1000000
g17-g45 2 1000000
g17-g46 2 1000000
g17-g47 2 1000000
g17-g48 2 1000000
g17-g49 2 1000000
g17-g50 2 1000000
g18-g19 2 727635
g18-g20 2 3
g18-g21 2 4
g18-g22 2 151403
g18-g23 2 6821
g18-g24 2 2648
g18-g25 2 8572
g18-g26 2 46642
g18-g27 2 136446
g18-g28 2 29765
g18-g29 2 1000000
g18-g30 2 1000000
g18-g31 2 1000000
g18-g32 2 12
g18-g33 2 203452
g18-g34 2 1000000
g18-g35 2 757311
g18-g36 2 1000000
g18-g37 2 1000000
g18-g38 2 107998
g18-g39 2 118248
g18-g40 2 821417
g18-g41 2 304808
g18-g42 2 331855
g18-g43 2 1000000
g18-g44 2 1000000
g18-g45 2 1000000
g18-g46 2 1000000
g18-g47 2 1000000
g18-g48 2 1000000
g18-g49 2 1000000
g18-g50 2 1000000
g19-g20 2 2
g19-g21 2 4
g19-g22 2 73565
g19-g23 2 1437
g19-g25 2 194
g19-g26 2 1495
g19-g27 2 13470
g19-g28 2 66
g19-g29 2 1000000
g19-g30 2 1000000
g19-g31 2 1000000
g19-g32 2 12
g19-g33 2 1515
g19-g35 2 3425
g19-g37 2 371290
g19-g38 2 3016
g19-g40 2 400898
g19-g41 2 1854
g19-g42 2 3514
g19-g43 2 21572
g19-g44 2 1000000
g19-g45 2 1000000
g19-g46 2 1000000
g19-g47 2 1000000
g19-g48 2 1000000
g19-g49 2 53879
g19-g50 2 1000000
g2-g10 2 0
g2-g11 2 0
g2-g12 2 0
g2-g13 2 1
g2-g14 2 0
g2-g15 2 0
g2-g16 2 0
g2-g17 2 0
g2-g18 2 1
g2-g19 2 1
g2-g20 2 1
g2-g21 2 42
g2-g22 2 1
g2-g23 2 1
g2-g24 2 0
g2-g25 2 1
g2-g26 2 1
g2-g27 2 2
g2-g28 2 1
g2-g29 2 4
g2-g3 2 0
g2-g30 2 5
g2-g31 2 4
g2-g32 2 14
g2-g33 2 2
g2-g34 2 2
g2-g35 2 2
g2-g36 2 2
g2-g37 2 3
g2-g38 2 2
g2-g39 2 2
g2-g4 2 0
g2-g40 2 11
g2-g41 2 3
g2-g42 2 3
g2-g43 2 4
g2-g44 2 5
g2-g45 2 5
g2-g46 2 7
g2-g47 2 5
g2-g48 2 6
g2-g49 2 6
g2-g5 2 0
g2-g50 2 12
g2-g6 2 0
g2-g7 2 27
g2-g8 2 0
g2-g9 2 0
g20-g21 2 5
g20-g23 2 3
g20-g26 2 3
g20-g27 2 4
g20-g29 2 6
g20-g30 2 6
g20-g31 2 300
g20-g32 2 15
g20-g38 2 3
g20-g40 2 1000000
g20-g43 2 6
g20-g44 2 10
g20-g45 2 7
g20-g48 2 8
g20-g50 2 30995
g21-g27 2 5
g21-g32 2 20
g21-g40 2 1000000
g21-g50 2 16
g22-g23 2 8230
g22-g25 2 2
g22-g26 2 160154
g22-g27 2 156598
g22-g28 2 2
g22-g29 2 305993
g22-g30 2 95239
g22-g31 2 405725
g22-g32 2 17
g22-g33 2 476
g22-g37 2 18
g22-g38 2 11
g22-g40 2 273234
g22-g43 2 1000000
g22-g44 2 797394
g22-g45 2 230377
g22-g46 2 73859
g22-g47 2 60638
g22-g48 2 148913
g22-g49 2 1000000
g22-g50 2 1000000
g23-g27 2 633
g23-g32 2 13
g23-g40 2 23
g23-g50 2 1000000
g24-g25 2 1000000
g24-g26 2 1000000
g24-g27 2 1000000
g24-g28 2 1000000
g24-g29 2 1000000
g24-g30 2 1000000
g24-g31 2 1000000
g24-g32 2 17
g24-g33 2 1000000
g24-g35 2 1000000
g24-g36 2 1000000
g24-g37 2 1000000
g24-g38 2 1000000
g24-g39 2 1000000
g24-g40 2 19
g24-g41 2 1000000
g24-g42 2 1000000
g24-g43 2 1000000
g24-g44 2 1000000
g24-g45 2 1000000
g24-g46 2 1000000
g24-g47 2 1000001
g24-g48 2 1000000
g24-g49 2 1000000
g24-g50 2 7446
g25-g26 2 1000000
g25-g27 2 666371
g25-g29 2 1000000
g25-g30 2 108291
g25-g31 2 1000000
g25-g32 2 13
g25-g38 2 11
g25-g40 2 14
g25-g43 2 1000000
g25-g44 2 22111
g25-g45 2 10209
g25-g46 2 611
g25-g47 2 545
g25-g48 2 1245
g25-g49 2 1000000
g25-g50 2 30783
g26-g27 2 1219
g26-g32 2 18
g26-g40 2 21
g26-g50 2 159049
g27-g32 2 14
g27-g50 2 4190
g28-g29 2 7
g28-g30 2 7
g28-g31 2 7
g28-g32 2 14
g28-g33 2 4718
g28-g37 2 1000000
g28-g38 2 1000000
g28-g40 2 15
g28-g43 2 213085
g28-g44 2 1000000
g28-g45 2 1000000
g28-g46 2 1000000
g28-g47 2 1000000
g28-g48 2 1000000
g28-g49 2 367518
g28-g50 2 23
g29-g30 2 8
g29-g31 2 2718
g29-g32 2 19
g29-g40 2 16
g29-g44 2 3567
g29-g45 2 13
g29-g50 2 25
g3-g10 2 0
g3-g11 2 0
g3-g12 2 1
g3-g13 2 0
g3-g14 2 0
g3-g15 2 1
g3-g16 2 0
g3-g17 2 0
g3-g18 2 1
g3-g19 2 1
g3-g20 2 1
g3-g21 2 202
g3-g22 2 1
g3-g23 2 1
g3-g24 2 1
g3-g25 2 1
g3-g26 2 1
g3-g27 2 2
g3-g28 2 1
g3-g29 2 5
g3-g30 2 4
g3-g31 2 4
g3-g32 2 10
g3-g33 2 2
g3-g34 2 1
g3-g35 2 3
g3-g36 2 3
g3-g37 2 3
g3-g38 2 2
g3-g39 2 2
g3-g4 2 0
g3-g40 2 16
g3-g41 2 3
g3-g42 2 4
g3-g43 2 4
g3-g44 2 5
g3-g45 2 7
g3-g46 2 5
g3-g47 2 5
g3-g48 2 8
g3-g49 2 4
g3-g5 2 0
g3-g50 2 13
g3-g6 2 0
g3-g7 2 27
g3-g8 2 0
g3-g9 2 0
g30-g31 2 8
g30-g32 2 15
g30-g40 2 23
g30-g44 2 13
g30-g45 2 56
g30-g50 2 18
g31-g32 2 21
g31-g40 2 17
g31-g50 2 51
g33-g37 2 173302
g33-g38 2 480
g33-g40 2 15
g33-g43 2 265711
g33-g44 2 1000000
g33-g45 2 1000000
g33-g46 2 1000000
g33-g47 2 1000000
g33-g48 2 1000000
g33-g49 2 627531
g33-g50 2 17
g34-g35 2 498821
g34-g36 2 1000000
g34-g37 2 8
g34-g38 2 9
g34-g39 2 200575
g34-g40 2 23
g34-g41 2 621349
g34-g42 2 582291
g34-g43 2 9
g34-g44 2 15
g34-g45 2 11
g34-g46 2 15
g34-g47 2 11
g34-g48 2 12
g34-g49 2 10
g34-g50 2 25
g35-g37 2 8
g35-g38 2 6
g35-g40 2 16
g35-g41 2 597033
g35-g42 2 1000000
g35-g43 2 10
g35-g44 2 15
g35-g45 2 15
g35-g46 2 1000000
g35-g47 2 413933
g35-g48 2 25122
g35-g49 2 60251
g35-g50 2 25
g36-g37 2 8
g36-g38 2 8
g36-g40 2 16
g36-g41 2 31899
g36-g42 2 41835
g36-g43 2 10
g36-g44 2 11
g36-g45 2 15
g36-g46 2 1000000
g36-g47 2 727265
g36-g48 2 24203
g36-g49 2 1079
g36-g50 2 25
g37-g38 2 5
g37-g40 2 23
g37-g43 2 10
g37-g44 2 11
g37-g45 2 11
g37-g46 2 661278
g37-g47 2 468646
g37-g48 2 1000000
g37-g49 2 57855
g37-g50 2 19
g38-g40 2 16
g38-g43 2 48
g38-g44 2 12780
g38-g45 2 544
g38-g50 2 18
g39-g40 2 22
g39-g41 2 1000000
g39-g42 2 1000000
g39-g43 2 12
g39-g44 2 11
g39-g45 2 11
g39-g46 2 11
g39-g47 2 15
g39-g48 2 11
g39-g49 2 14
g39-g50 2 18
g4-g10 2 0
g4-g11 2 1
g4-g12 2 1
g4-g13 2 0
g4-g14 2 0
g4-g15 2 0
g4-g16 2 0
g4-g20 2 2
g4-g21 2 3
g4-g22 2 1
g4-g23 2 1
g4-g25 2 1
g4-g26 2 1
g4-g27 2 3
g4-g28 2 1
g4-g29 2 7
g4-g30 2 4
g4-g31 2 5
g4-g32 2 11
g4-g33 2 1
g4-g37 2 3
g4-g38 2 3
g4-g40 2 11
g4-g41 2 2
g4-g42 2 3
g4-g43 2 4
g4-g44 2 9
g4-g45 2 7
g4-g46 2 85
g4-g47 2 78
g4-g48 2 286
g4-g49 2 4
g4-g5 2 0
g4-g50 2 12
g4-g6 2 0
g4-g7 2 0
g4-g9 2 0
g40-g50 2 24
g41-g42 2 79334
g41-g43 2 10
g41-g44 2 11
g41-g45 2 11
g41-g46 2 12
g41-g47 2 15
g41-g48 2 12
g41-g49 2 11
g41-g50 2 18
g42-g43 2 14
g42-g44 2 11
g42-g45 2 11
g42-g46 2 12
g42-g47 2 17
g42-g48 2 17
g42-g49 2 11
g42-g50 2 19
g43-g44 2 77
g43-g45 2 12
g43-g50 2 20
g44-g45 2 11
g44-g50 2 20
g45-g50 2 25
g46-g47 2 8050
g46-g48 2 15114
g46-g50 2 20
g47-g48 2 484
g47-g50 2 19
g48-g50 2 20
g49-g50 2 20
g5-g11 2 0
g5-g12 2 1
g5-g13 2 0
g5-g14 2 0
g5-g15 2 0
g5-g16 2 0
g5-g20 2 1
g5-g21 2 1986
g5-g22 2 1
g5-g23 2 2
g5-g25 2 1
g5-g26 2 1
g5-g27 2 3
g5-g28 2 2
g5-g29 2 4
g5-g30 2 5
g5-g31 2 4
g5-g32 2 10
g5-g33 2 2
g5-g37 2 3
g5-g38 2 2
g5-g40 2 11
g5-g41 2 3
g5-g42 2 3
g5-g43 2 4
g5-g44 2 5
g5-g45 2 7
g5-g46 2 8
g5-g47 2 8
g5-g48 2 8
g5-g49 2 6
g5-g50 2 12
g5-g6 2 0
g5-g7 2 64
g6-g11 2 14
g6-g12 2 6402
g6-g13 2 1
g6-g14 2 1
g6-g15 2 1
g6-g16 2 1
g6-g20 2 1000000
g6-g21 2 3
g6-g22 2 1
g6-g23 2 2
g6-g25 2 116
g6-g26 2 3
g6-g27 2 2
