family total $k=0$ $k=1$ $k=2$ $k=3$ $k=4$ $k=5$ $k\\le10$ $k\\le20$ larger unknown
scalefree 100 80 0 0 0 0 0 0 0 0 19
LV 793 280 33 16 21 7 7 0 0 0 303
images-CVIU11 200 2 3 23 5 0 0 0 0 0 167
meshes-CVIU11 200 1 0 0 0 0 0 0 0 0 149
largerLV 3038 255 78 23 39 14 5 10 0 37 1019
phase 200 20 0 0 0 0 0 0 0 0 180
