instance family sequential-d2-except-0 sequential-d2-except-1 sequential-d2-except-2 sequential-d2-except-3 sequential-d2-except-4 sequential-d2-except-5 sequential-d2-except-10 sequential-d2-except-20
si6_r005_m400.02 7 1729 1110 8464 1755 1762 7290 30720 52484
si6_r005_m400.04 7 2598 2565 8191 2591 1646 7282 16271 18853
si6_r005_m400.05 7 11019 6076 1726 8053 1131 10698 2026 30730
si6_r005_m400.09 7 1096 1478 4165 16906 1667 1784 11947 16827
si6_r005_m400.03 7 4418 2519 1599 1558 1142 3479 6056 23581
si6_r005_m400.06 7 1262 6090 3415 1848 1650 6765 16815 21980
si6_r005_m400.08 7 2524 4687 8237 3508 10208 1819 11776 6477
si6_m4Dr6_m625.04 6 238 322 328 398 769 4840 7521 52446
si6_m4Dr6_m625.01 6 224 297 353 476 1296 393 1768 53708
si6_m4Dr6_m625.09 6 238 316 434 1412 1149 425 5434 164206
si6_m4Dr6_m625.07 6 305 392 357 550 2487 571 6396 21694
si6_m4Dr6_m625.00 6 240 385 331 340 22143 2559 2456 15062
si6_m4Dr6_m625.08 6 268 345 438 451 2792 95681 344383 1120
si6_m4Dr6_m625.05 6 231 349 69219 398 1707 442 12184 7836
si6_m4Dr6_m625.06 6 229 288 307 355 419 410 1005 322930
si6_m4Dr6_m625.02 6 241 297 391 509 9929 8264 10277 989
si6_m4Dr6_m625.03 6 233 317 358 339 898 680 1705 30327
si4_m4Dr2_m625.09 6 159 589 1931 2014 3580 658 262175 1000000
si4_m4Dr2_m625.04 6 163 507 13962 43512 29988 112345 3352 1000001
si4_m4Dr2_m625.02 6 147 196 234 373 3186 282 2748 12134
si4_m4Dr2_m625.07 6 141 188 361 1851 4036 9718 13269 8701
si4_m4Dr2_m625.00 6 174 203 398 518 362 1158 15395 12297
si4_m4Dr2_m625.08 6 150 996 308 2551 2769 26484 3938 25879
si4_m4Dr2_m625.01 6 150 371 242 1134 4424 2737 95862 13483
si4_m4Dr2_m625.06 6 148 222 336 913 1563 2001 642050 18917
si4_m4Dr2_m625.03 6 165 560 14192 2715 1470 13946 39419 168366
si4_m4Dr2_m625.05 6 158 826 3496 2935 64549 94439 8492 1000001
si2_r001_m600.00 7 369 1000000 1000000 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.06 7 555 1000000 1000000 1000000 1000000 1000001 1000000 146
si2_r001_m600.04 7 689 1000000 1000000 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.07 7 265 1000000 1000000 1000000 1000000 1000000 1000001 1000000
si2_r001_m600.02 7 240 1000000 1000000 1000000 1000000 1000000 1000001 1000000
si2_r001_m600.08 7 714 1000000 1000000 1000000 1000000 1000000 1000001 1000000
si2_r001_m600.03 7 26602 1000000 1000001 1000000 1000000 1000001 1000001 128
si2_r001_m600.01 7 147 1000000 1000000 1000000 1000000 1000000 1000000 145
si2_r001_m600.05 7 214 1000000 1000001 1000000 1000000 1000000 1000000 1000000
si2_r001_m600.09 7 1465 1000000 1000000 1000000 1000000 1000000 1000000 1000000
si2_m4Dr2_m256.09 6 14 15 25 107 214 117 35 15
si2_m4Dr2_m256.03 6 31 15 16 55 18 17 15 15
si2_m4Dr2_m256.04 6 14 52 71 227 503 139 16 15
si2_m4Dr2_m256.07 6 20 40 132 731 73 707 15 15
si2_m4Dr2_m256.00 6 13 188 23 115 110 17 17 15
si2_m4Dr2_m256.06 6 29 26 14 17 49 15 15 15
si2_m4Dr2_m256.08 6 13 28 15 37 103681 22403 15 15
si2_m4Dr2_m256.05 6 12 14 188 1463 19 18 15 23
si2_m4Dr2_m256.01 6 13 78 587 663 146 83 15 15
si2_m4Dr2_m256.02 6 13 33 183 112 37 56 15 15
si6_r001_m600.09 7 281 375 862419 8180 800440 1000000 1000001 1000002
si6_r001_m600.00 7 316 4070 5216 34624 1000001 55805 1000002 1000002
si6_r001_m600.07 7 321 554 24221 1093 123125 10519 125542 1000001
si6_r001_m600.03 7 300 1628 396944 211212 1000001 23508 1000001 1000001
si6_r001_m600.01 7 285 1112 605 85980 533886 180725 7201 1000002
si6_r001_m600.06 7 313 351 757 793 5008 1000000 143525 1000002
si6_r001_m600.08 7 309 8289 1000000 1000000 1000001 1000000 23099 1000002
si6_r001_m600.02 7 292 333 653 670030 395944 1583 69889 1000002
si6_r001_m600.04 7 281 26691 253181 661026 75487 2540 31065 1000002
si6_r001_m600.05 7 290 2123 202681 314126 181806 240796 197347 1000002
si2_m4Dr2_m1296.05 6 632 1186 4451 30760 31190 50480 1000001 1000002
si2_m4Dr2_m1296.09 6 708 1132 54509 536016 1000001 956716 1000001 1000001
si2_m4Dr2_m1296.02 6 896 1000001 150121 1000001 1000001 1000001 6399 1000002
si2_m4Dr2_m1296.07 6 643 4813 1000002 1000001 1000002 1000002 18115 249936
si2_m4Dr2_m1296.00 6 551 904 2239 1277 5437 1000002 98097 1000002
si2_m4Dr2_m1296.06 6 828 41720 1000001 1000002 1000002 1000002 1000001 1000002
si2_m4Dr2_m1296.08 6 595 664309 1000001 16707 54960 10253 1000005 1000002
si2_m4Dr2_m1296.01 6 590 1000001 85230 1000001 1000002 1000002 1000001 1000001
si2_m4Dr2_m1296.03 6 569 18158 4135 274325 1000001 252114 1000001 62807
si2_m4Dr2_m1296.04 6 547 646 1302 3198 10608 13965 1000001 1000002
si4_b06m_m800.08 4 279 354 366 378 993 399 1000002 1000003
si4_b06m_m800.00 4 298 498 432 409 499 431 1402 1000002
si4_b06m_m800.06 4 264 350 363 371 371 374 117289 1000002
si4_b06m_m800.05 4 264 348 369 369 375 379 532 1000001
si4_b06m_m800.04 4 267 354 373 1000002 587211 1000001 1000001 1000001
si4_b06m_m800.09 4 268 349 360 405 438 399 571066 1000001
si4_b06m_m800.01 4 273 355 397 399 758 673 1000001 1000002
si4_b06m_m800.07 4 282 357 376 380 402 460 726 1000003
si4_b06m_m800.03 4 288 370 6651 423 1188 473307 1000001 1000002
si4_b06m_m800.02 4 282 379 373 386 1375 2471 1994 1000002
si6_m4Dr2_m625.08 6 230 295 354 3443 8161 1000000 1292 11750
si6_m4Dr2_m625.09 6 243 319 604 1559 2608 12803 12541 22988
si6_m4Dr2_m625.05 6 237 352 1349 1337 2059 12994 38212 145428
si6_m4Dr2_m625.01 6 203 275 484 1912 3362 2063 3055 14456
si6_m4Dr2_m625.06 6 223 293 470 495 1616 3484 720 51274
si6_m4Dr2_m625.00 6 232 293 424 1732 444 1016 18812 188667
si6_m4Dr2_m625.03 6 222 325 1863 412 571 929 34627 287651
si6_m4Dr2_m625.02 6 235 581 985 21586 5547 1110 2073 16112
si6_m4Dr2_m625.07 6 226 291 833 1080 6759 406 1436 26417
si6_m4Dr2_m625.04 6 228 304 788 1799 7768 52257 1297 1000001
si2_m4D_m1296.01 5 583 933 2775 3460 5206 6419 4793 8296
si2_m4D_m1296.08 5 442 673 1275 29088 24132 27186 28333 26309
si2_m4D_m1296.06 5 652 1891 3449 4886 4552 3885 4572 5501
si2_m4D_m1296.05 5 445 2002 1398 5509 7194 11637 21634 55129
si2_m4D_m1296.09 5 449 952 4318 5605 4165 34095 56916 20165
si2_m4D_m1296.03 5 571 880 2115 4539 5094 4074 7606 9936
si2_m4D_m1296.07 5 459 914 2473 18690 27611 5057 72223 3906
si2_m4D_m1296.02 5 488 1049 7997 30356 40863 59885 1854 23119
si2_m4D_m1296.04 5 487 4122 18696 23574 29521 50351 23331 26372
si2_m4D_m1296.00 5 432 773 4846 2295 5917 5304 36938 81506
si4_b03_m800.05 3 328 358 358 544 358 358 360 363
si4_b03_m800.00 3 328 364 358 379 357 362 360 364
si4_b03_m800.08 3 327 361 360 367 387 375 360 363
si4_b03_m800.09 3 354 433 492 373 394 393 360 366
si4_b03_m800.03 3 324 366 357 356 367 357 360 390
si4_b03_m800.02 3 346 358 358 363 368 361 376 364
si4_b03_m800.04 3 326 357 358 359 357 358 361 381
si4_b03_m800.01 3 326 360 357 377 461 359 398 365
si4_b03_m800.06 3 371 358 359 357 362 378 373 447
si4_b03_m800.07 3 328 357 375 360 357 363 361 365
si6_m4D_m1296.02 5 1348 3544 9051 15176 14360 4171 16144 35022
si6_m4D_m1296.07 5 2295 99868 48154 421495 316058 1000004 1000002 1000005
si6_m4D_m1296.05 5 1335 2516 4820 15533 14260 14078 15579 60412
si6_m4D_m1296.09 5 2680 673278 1000002 685759 758217 700734 694808 1000003
si6_m4D_m1296.00 5 3067 5852 97730 7976 119546 28648 354894 79606
si6_m4D_m1296.08 5 1353 3252 5806 12433 10028 30289 9868 38167
si6_m4D_m1296.04 5 1357 2552 4421 12326 10881 13696 37390 61339
si6_m4D_m1296.06 5 2650 5258 47624 174455 206780 14664 1000002 1000003
si6_m4D_m1296.01 5 2328 4881 99100 212872 157792 187286 95940 1000003
si6_m4D_m1296.03 5 12705 57315 18040 19348 6386 18449 1000001 1000004
si6_r001_m200.05 7 11 42 17 43 31006 1000000 1000000 1000000
si6_r001_m200.09 7 18 42 8418 10093 1000000 351223 1000000 1000000
si6_r001_m200.07 7 10 13 28 94 209 652847 1000000 1000000
si6_r001_m200.02 7 10 96 199 281 2040 113516 317445 1000000
si6_r001_m200.01 7 10 24 2746 1000000 56 77 1000000 1000000
si6_r001_m200.00 7 10 16 16 1725 267 1562 1000000 1000000
si6_r001_m200.04 7 10 15 175 120 6091 9664 1000000 1000000
