instance family
si4_b06_m400.05 3 61
si4_b06_m400.08 3 61
si4_b06_m400.02 3 60
si2_m4Dr6_m256.06 6 13
si2_m4Dr6_m256.05 6 13
si2_m4Dr6_m256.09 6 18
si2_m4Dr6_m256.00 6 19
si2_m4Dr6_m256.07 6 13
si2_m4Dr6_m256.04 6 13
si2_m4Dr6_m256.02 6 13
si2_m4Dr6_m256.01 6 14
si2_m4Dr6_m256.08 6 17
si2_m4Dr6_m256.03 6 13
si6_r01_m200.04 7 1210
si6_r01_m200.08 7 719
si6_r01_m200.02 7 2668
si6_r01_m200.09 7 5242
si6_r01_m200.07 7 989
si6_r01_m200.00 7 1012
si6_r01_m200.01 7 12339
si6_r01_m200.03 7 2741
si6_r01_m200.05 7 4452
si6_r01_m200.06 7 4696
si2_b03m_m800.03 4 180
si2_b03m_m800.02 4 177
si2_b03m_m800.09 4 189
si2_b03m_m800.04 4 183
si2_b03m_m800.06 4 265
si2_b03m_m800.05 4 180
si2_b03m_m800.01 4 184
si2_b03m_m800.08 4 285
si2_b03m_m800.07 4 182
si2_b03m_m800.00 4 178
si2_r001_m200.06 7 26
si2_r001_m200.01 7 9
si2_r001_m200.02 7 9
si2_r001_m200.07 7 8
si2_r001_m200.04 7 9
si2_r001_m200.05 7 62
si2_r001_m200.09 7 3611
si2_r001_m200.03 7 8
si2_r001_m200.00 7 9
si2_r001_m200.08 7 12
si6_b03m_m800.01 4 409
si6_b03m_m800.08 4 500
si6_b03m_m800.03 4 588
si6_b03m_m800.00 4 403
si6_b03m_m800.04 4 527
si6_b03m_m800.05 4 405
si6_b03m_m800.07 4 480
si6_b03m_m800.06 4 404
si6_b03m_m800.09 4 430
si6_b03m_m800.02 4 483
si4_r005_m200.00 7 385
si4_r005_m200.08 7 102
si4_r005_m200.02 7 100
si4_r005_m200.05 7 143
si4_r005_m200.06 7 73
si4_r005_m200.04 7 769
si4_r005_m200.07 7 219
si4_r005_m200.09 7 189
si4_r005_m200.01 7 255
si4_r005_m200.03 7 174
si6_b09m_m400.03 4 87
si6_b09m_m400.07 4 115
si6_b09m_m400.00 4 86
si6_b09m_m400.04 4 95
si6_b09m_m400.06 4 85
si6_b09m_m400.08 4 84
si6_b09m_m400.02 4 110
si6_b09m_m400.05 4 84
si6_b09m_m400.09 4 85
si6_b09m_m400.01 4 109
si2_b09_m200.08 3 9
si2_b09_m200.01 3 9
si2_b09_m200.06 3 9
si2_b09_m200.05 3 12
si2_b09_m200.00 3 12
si2_b09_m200.02 3 9
si2_b09_m200.03 3 9
si2_b09_m200.04 3 9
si2_b09_m200.09 3 12
si2_b09_m200.07 3 9
si6_r01_m600.02 7 876260
si6_r01_m600.06 7 796230
si6_r01_m600.09 7 332648
si6_r01_m600.08 7 1000001
si6_r01_m600.05 7 765749
si6_r01_m600.07 7 1000000
si6_r01_m600.03 7 668729
si6_r01_m600.00 7 199997
si6_r01_m600.01 7 1000001
si6_r01_m600.04 7 1000001
si2_b06_m200.02 3 10
si2_b06_m200.00 3 10
si2_b06_m200.01 3 7
si2_b06_m200.06 3 8
si2_b06_m200.09 3 7
si2_b06_m200.07 3 11
si2_b06_m200.04 3 8
si2_b06_m200.08 3 8
si2_b06_m200.03 3 8
si2_b06_m200.05 3 8
si6_m4Dr2_m1296.05 6 1924
si6_m4Dr2_m1296.09 6 1762
si6_m4Dr2_m1296.01 6 1654
si6_m4Dr2_m1296.06 6 1813
si6_m4Dr2_m1296.07 6 1672
si6_m4Dr2_m1296.03 6 1639
si6_m4Dr2_m1296.04 6 1652
si6_m4Dr2_m1296.00 6 1817
si6_m4Dr2_m1296.08 6 1656
si6_m4Dr2_m1296.02 6 2080
si2_b09m_m800.09 4 262
si2_b09m_m800.07 4 225
si2_b09m_m800.00 4 250
si2_b09m_m800.04 4 224
si2_b09m_m800.02 4 221
si2_b09m_m800.05 4 339
si2_b09m_m800.03 4 222
si2_b09m_m800.08 4 222
si2_b09m_m800.06 4 220
si2_b09m_m800.01 4 220
si4_b03_m400.01 3 81
si4_b03_m400.02 3 58
si4_b03_m400.05 3 59
si4_b03_m400.07 3 86
si4_b03_m400.06 3 58
si4_b03_m400.00 3 71
si4_b03_m400.03 3 82
si4_b03_m400.04 3 58
si4_b03_m400.09 3 80
si4_b03_m400.08 3 58
si2_b03_m200.05 3 7
si2_b03_m200.09 3 7
si2_b03_m200.07 3 7
si2_b03_m200.01 3 7
si2_b03_m200.08 3 9
si2_b03_m200.02 3 7
si2_b03_m200.04 3 7
si2_b03_m200.03 3 7
si2_b03_m200.06 3 7
si2_b03_m200.00 3 7
si4_r005_m600.00 7 101655
si4_r005_m600.02 7 28959
si4_r005_m600.08 7 110220
si4_r005_m600.05 7 62319
si4_r005_m600.07 7 49441
si4_r005_m600.06 7 188984
si4_r005_m600.01 7 83582
si4_r005_m600.04 7 85543
si4_r005_m600.03 7 36309
si4_r005_m600.09 7 30069
si4_b09_m400.05 3 82
si4_b09_m400.03 3 65
si4_b09_m400.00 3 65
si4_b09_m400.07 3 64
si4_b09_m400.01 3 90
si4_b09_m400.06 3 66
si4_b09_m400.04 3 94
si4_b09_m400.02 3 64
si4_b09_m400.08 3 65
si4_b09_m400.09 3 64
si4_b06m_m400.06 4 55
si4_b06m_m400.03 4 68
si4_b06m_m400.01 4 55
si4_b06m_m400.08 4 75
si4_b06m_m400.05 4 72
si4_b06m_m400.07 4 83
si4_b06m_m400.00 4 63
si4_b06m_m400.04 4 55
si4_b06m_m400.09 4 59
si4_b06m_m400.02 4 56
si2_m4Dr2_m625.05 6 105
si2_m4Dr2_m625.00 6 118
si2_m4Dr2_m625.08 6 103
si2_m4Dr2_m625.09 6 162
si2_m4Dr2_m625.06 6 158
si2_m4Dr2_m625.04 6 162
si2_m4Dr2_m625.01 6 140
si2_m4Dr2_m625.03 6 126
si2_m4Dr2_m625.02 6 123
si2_m4Dr2_m625.07 6 111
si2_r005_m200.02 7 61
si2_r005_m200.01 7 2892
si2_r005_m200.03 7 255
si2_r005_m200.05 7 5294
si2_r005_m200.08 7 1440
si2_r005_m200.04 7 83
si2_r005_m200.09 7 274
si2_r005_m200.06 7 307
si2_r005_m200.00 7 1454
si2_r005_m200.07 7 96
si4_b03m_m400.03 4 48
si4_b03m_m400.09 4 63
si4_b03m_m400.08 4 48
si4_b03m_m400.04 4 50
si4_b03m_m400.00 4 68
si4_b03m_m400.01 4 61
si4_b03m_m400.07 4 49
si4_b03m_m400.02 4 49
si4_b03m_m400.06 4 52
si4_b03m_m400.05 4 47
si2_r01_m600.01 7 1000000
si2_r01_m600.06 7 1000000
si2_r01_m600.09 7 1000000
si2_r01_m600.08 7 1000000
si2_r01_m600.04 7 1000000
si2_r01_m600.02 7 1000000
si2_r01_m600.00 7 1000000
si2_r01_m600.07 7 1000000
si2_r01_m600.03 7 1000000
si2_r01_m600.05 7 1000000
si4_m4Dr6_m256.01 6 19
si4_m4Dr6_m256.00 6 19
si4_m4Dr6_m256.05 6 30
si4_m4Dr6_m256.08 6 23
si4_m4Dr6_m256.03 6 18
si4_m4Dr6_m256.06 6 18
si4_m4Dr6_m256.09 6 19
si4_m4Dr6_m256.07 6 32
si4_m4Dr6_m256.02 6 18
si4_m4Dr6_m256.04 6 25
si2_b03m_m400.02 4 34
si2_b03m_m400.00 4 34
si2_b03m_m400.01 4 36
si2_b03m_m400.05 4 34
si2_b03m_m400.08 4 34
si2_b03m_m400.07 4 49
si2_b03m_m400.09 4 33
si2_b03m_m400.03 4 34
si2_b03m_m400.04 4 34
si2_b03m_m400.06 4 34
si2_b03m_m200.05 4 9
si2_b03m_m200.03 4 10
si2_b03m_m200.00 4 6
si2_b03m_m200.08 4 6
si2_b03m_m200.06 4 6
si2_b03m_m200.02 4 7
si2_b03m_m200.09 4 6
si2_b03m_m200.04 4 7
si2_b03m_m200.01 4 8
si2_b03m_m200.07 4 6
si4_r001_m200.04 7 11
si4_r001_m200.07 7 11
si4_r001_m200.00 7 11
si4_r001_m200.01 7 11
si4_r001_m200.03 7 12
si4_r001_m200.06 7 11
si4_r001_m200.05 7 11
si4_r001_m200.08 7 11
si4_r001_m200.09 7 18
si4_r001_m200.02 7 21
si2_m4D_m256.08 5 12
si2_m4D_m256.03 5 13
si2_m4D_m256.02 5 15
si2_m4D_m256.06 5 16
si2_m4D_m256.04 5 14
si2_m4D_m256.07 5 16
si2_m4D_m256.01 5 15
si2_m4D_m256.09 5 22
si2_m4D_m256.00 5 16
si2_m4D_m256.05 5 12
si6_r01_m400.04 7 121426
si6_r01_m400.08 7 108816
si6_r01_m400.07 7 88452
si6_r01_m400.06 7 71312
si6_r01_m400.05 7 216696
si6_r01_m400.02 7 167596
si6_r01_m400.00 7 272883
si6_r01_m400.03 7 22919
si6_r01_m400.01 7 69450
si6_r01_m400.09 7 131130
si2_m4Dr4_m625.07 6 160
si2_m4Dr4_m625.02 6 111
si2_m4Dr4_m625.03 6 107
si2_m4Dr4_m625.00 6 117
si2_m4Dr4_m625.05 6 147
si2_m4Dr4_m625.06 6 113
si2_m4Dr4_m625.09 6 307
si2_m4Dr4_m625.01 6 177
si2_m4Dr4_m625.08 6 128
si2_m4Dr4_m625.04 6 151
si4_r01_m400.01 7 66599
si4_r01_m400.08 7 291854
si4_r01_m400.02 7 800179
si4_r01_m400.03 7 296477
si4_r01_m400.07 7 661701
si4_r01_m400.06 7 82974
si4_r01_m400.04 7 769661
si4_r01_m400.00 7 876642
si4_r01_m400.05 7 81990
si4_r01_m400.09 7 181803
si2_b09m_m400.09 4 44
si2_b09m_m400.03 4 45
si2_b09m_m400.01 4 45
si2_b09m_m400.08 4 44
si2_b09m_m400.05 4 44
si2_b09m_m400.06 4 44
si2_b09m_m400.00 4 48
si2_b09m_m400.02 4 44
si2_b09m_m400.04 4 44
si2_b09m_m400.07 4 44
si2_b09_m800.07 3 268
si2_b09_m800.04 3 324
si2_b09_m800.05 3 217
si2_b09_m800.00 3 218
si2_b09_m800.02 3 338
si2_b09_m800.01 3 217
si2_b09_m800.08 3 226
si2_b09_m800.09 3 303
si2_b09_m800.03 3 218
si2_b09_m800.06 3 219
si6_b03_m400.04 3 86
si6_b03_m400.09 3 115
si6_b03_m400.02 3 87
si6_b03_m400.06 3 94
si6_b03_m400.05 3 86
si6_b03_m400.08 3 86
si6_b03_m400.01 3 86
si6_b03_m400.07 3 103
si6_b03_m400.03 3 86
si6_b03_m400.00 3 97
si2_r005_m600.03 7 42262
si2_r005_m600.00 7 241938
si2_r005_m600.06 7 170931
si2_r005_m600.01 7 153307
si2_r005_m600.04 7 301700
si2_r005_m600.09 7 74980
si2_r005_m600.05 7 476062
si2_r005_m600.02 7 254613
si2_r005_m600.08 7 62789
si2_r005_m600.07 7 12942
si4_r01_m600.05 7 1000000
si4_r01_m600.02 7 1000000
si4_r01_m600.03 7 1000000
si4_r01_m600.07 7 1000000
si4_r01_m600.08 7 1000000
si4_r01_m600.06 7 1000000
si4_r01_m600.01 7 1000000
si4_r01_m600.04 7 1000000
si4_r01_m600.00 7 1000000
si4_r01_m600.09 7 989880
si2_b09_m400.04 3 41
si2_b09_m400.08 3 44
si2_b09_m400.05 3 61
si2_b09_m400.01 3 41
si2_b09_m400.03 3 41
si2_b09_m400.02 3 41
si2_b09_m400.07 3 41
si2_b09_m400.09 3 41
si2_b09_m400.06 3 59
si2_b09_m400.00 3 42
si4_b06_m200.06 3 11
si4_b06_m200.03 3 11
si4_b06_m200.02 3 11
si4_b06_m200.07 3 11
si4_b06_m200.05 3 12
si4_b06_m200.08 3 11
si4_b06_m200.00 3 16
si4_b06_m200.04 3 12
si4_b06_m200.01 3 12
si4_b06_m200.09 3 17
si4_r005_m400.06 7 15248
si4_r005_m400.03 7 2444
si4_r005_m400.07 7 15916
si4_r005_m400.01 7 5568
si4_r005_m400.04 7 9946
si4_r005_m400.00 7 10006
si4_r005_m400.09 7 4615
si4_r005_m400.05 7 4002
si4_r005_m400.08 7 3656
si4_r005_m400.02 7 4470
si4_m4Dr2_m1296.07 6 1129
si4_m4Dr2_m1296.00 6 1104
si4_m4Dr2_m1296.05 6 1169
si4_m4Dr2_m1296.04 6 1199
si4_m4Dr2_m1296.08 6 1305
si4_m4Dr2_m1296.01 6 1117
si4_m4Dr2_m1296.06 6 1138
si4_m4Dr2_m1296.02 6 1267
si4_m4Dr2_m1296.03 6 1183
si4_m4Dr2_m1296.09 6 1216
si6_b09_m800.03 3 559
si6_b09_m800.09 3 556
si6_b09_m800.07 3 631
si6_b09_m800.05 3 543
si6_b09_m800.04 3 614
si6_b09_m800.01 3 542
si6_b09_m800.00 3 542
si6_b09_m800.02 3 575
si6_b09_m800.06 3 672
si6_b09_m800.08 3 615
