family total $k=0$ $k=1$ $k=2$ $k=3$ $k=4$ $k=5$ larger unknown
scalefree 100 80 0 0 0 0 0 20 0
LV 793 71 33 37 26 8 16 452 150
images-CVIU11 200 2 3 20 5 0 0 0 170
meshes-CVIU11 200 0 0 0 0 0 0 141 59
largerLV 3038 112 70 17 53 6 8 1898 874
phase 200 0 0 0 0 0 0 0 200
