family total $k=0$ $k=1$ $k=2$ $k=3$ $k=4$ $k=5$ larger unknown
scalefree 100 80 0 0 0 0 0 1 19
LV 793 280 33 18 22 8 7 139 286
images-CVIU11 200 2 3 24 5 0 0 0 166
meshes-CVIU11 200 1 0 0 0 0 0 72 127
largerLV 3038 257 78 23 40 17 7 1726 890
phase 200 26 0 0 0 0 0 0 174
